Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,1,1,http://www.opendefinition.org/licenses/odc-by,False,Emergency situation,Related to emergency response,https://raw.githubusercontent.com/sonia04021991/Ontology,absent,0.75,5,0,0.003,0,2296871,Earthquake,0.149,0.153,0.155,0.155,0.160,7,7.0,7.0,7.0,7,False,True,[],en,https://www.orpha.net/sparql,https://raw.githubusercontent.com/sonia04021991/Ontology/main/eso.rdf,1.0,1.0,1.0,78896,-,1.0,1.0,1.0,True,1.0,1.0,0.000494817033898834,Not indicated,Name: absent; email: soniamehla_6160014@nitkkr.ac.in,Not indicated,Not indicated,Web:https://raw.githubusercontent.com/sonia04021991/Ontology Name:sonia Email:soniamehla_6160014@nitkkr.ac.in,False,not indicated,-,-,insufficient data,insufficient data,0.9866 (out of 10000 triples considered),1.0 (out of 2 triples considered),0.00,163,Insufficient data,2,41,51.0,51.0,51.0,101,35,46.75,54.0,60.0,75,35,63.0,70.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string,78896,No regex provided,False,1903346,True,Insufficient data,1.228,44.87,1.0,1.0,True,[],False
2022-07-31,1,1,http://www.opendefinition.org/licenses/odc-by,False,Emergency situation,Related to emergency response,https://raw.githubusercontent.com/sonia04021991/Ontology,absent,0.75,5,0,0.003,0,2296871,Earthquake,0.146,0.149,0.152,0.152,0.153,7,7.0,7.0,7.0,7,False,True,[],en,https://www.orpha.net/sparql,https://raw.githubusercontent.com/sonia04021991/Ontology/main/eso.rdf,1.0,1.0,1.0,78896,-,1.0,1.0,1.0,True,1.0,1.0,0.000494817033898834,Not indicated,Name: absent; email: soniamehla_6160014@nitkkr.ac.in,Not indicated,Not indicated,Web:https://raw.githubusercontent.com/sonia04021991/Ontology Name:sonia Email:soniamehla_6160014@nitkkr.ac.in,False,not indicated,-,-,insufficient data,insufficient data,0.9866 (out of 10000 triples considered),1.0 (out of 2 triples considered),0.00,163,Insufficient data,2,41,51.0,51.0,51.0,101,35,46.75,54.0,60.0,75,35,63.0,70.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string,78896,No regex provided,False,1903346,True,Insufficient data,1.228,0.33,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-08-07,-1,0,False,-,nan,False,absent,absent,0.0,5,0,0.003,-,0,Earthquake,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.000494817033898834,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:absent Name:absent Email:absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.2,0.05,-,-,endpoint absent,endpoint absent,False
2022-08-21,1,1,http://www.opendefinition.org/licenses/odc-by,False,Emergency situation,Related to emergency response,https://raw.githubusercontent.com/sonia04021991/Ontology,absent,0.75,5,0,0.003,0,2296871,Earthquake,0.148,0.150,0.152,0.156,0.157,7,7.0,7.0,7.0,7,False,True,[],en,https://www.orpha.net/sparql,https://raw.githubusercontent.com/sonia04021991/Ontology/main/eso.rdf,1.0,1.0,1.0,78896,-,1.0,1.0,1.0,True,1.0,1.0,0.000494817033898834,Not indicated,Name: absent; email: soniamehla_6160014@nitkkr.ac.in,Not indicated,Not indicated,Web:https://raw.githubusercontent.com/sonia04021991/Ontology Name:sonia Email:soniamehla_6160014@nitkkr.ac.in,False,not indicated,-,-,insufficient data,insufficient data,0.9866 (out of 10000 triples considered),1.0 (out of 2 triples considered),0.00,163,Insufficient data,2,41,51.0,51.0,51.0,101,35,46.75,54.0,60.0,75,35,63.0,70.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string,78896,No regex provided,False,1903346,True,Insufficient data,1.228,54.0,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-08-28,1,1,http://www.opendefinition.org/licenses/odc-by,False,Emergency situation,Related to emergency response,https://raw.githubusercontent.com/sonia04021991/Ontology,absent,0.75,5,0,0.003,0,2296871,Earthquake,0.152,0.154,0.155,0.158,0.158,7,7.0,7.0,7.0,7,False,True,[],en,https://www.orpha.net/sparql,https://raw.githubusercontent.com/sonia04021991/Ontology/main/eso.rdf,1.0,1.0,1.0,78896,-,1.0,1.0,1.0,True,1.0,1.0,0.000494817033898834,Not indicated,Name: absent; email: soniamehla_6160014@nitkkr.ac.in,Not indicated,Not indicated,Web:https://raw.githubusercontent.com/sonia04021991/Ontology Name:sonia Email:soniamehla_6160014@nitkkr.ac.in,False,not indicated,-,-,insufficient data,insufficient data,0.9866 (out of 10000 triples considered),1.0 (out of 2 triples considered),0.00,163,Insufficient data,2,41,51.0,51.0,51.0,101,35,46.75,54.0,60.0,75,35,63.0,70.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string,78896,No regex provided,False,1903346,True,Insufficient data,1.228,54.0,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-09-04,1,1,http://www.opendefinition.org/licenses/odc-by,False,Emergency situation,Related to emergency response,https://raw.githubusercontent.com/sonia04021991/Ontology,absent,0.75,5,0,0.003,0,2296871,Earthquake,0.149,0.152,0.155,0.158,0.158,7,7.0,7.0,7.0,7,False,True,[],en,https://www.orpha.net/sparql,https://raw.githubusercontent.com/sonia04021991/Ontology/main/eso.rdf,1.0,1.0,1.0,78896,-,1.0,1.0,1.0,True,1.0,1.0,0.000494817033898834,Not indicated,Name: absent; email: soniamehla_6160014@nitkkr.ac.in,Not indicated,Not indicated,Web:https://raw.githubusercontent.com/sonia04021991/Ontology Name:sonia Email:soniamehla_6160014@nitkkr.ac.in,False,not indicated,-,-,insufficient data,insufficient data,0.9866 (out of 10000 triples considered),1.0 (out of 2 triples considered),0.00,163,Insufficient data,14,41,51.0,51.0,51.0,101,35,46.75,54.0,60.0,75,35,63.0,70.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string,78896,No regex provided,False,1903346,True,Insufficient data,1.228,0.4,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-09-11,1,1,http://www.opendefinition.org/licenses/odc-by,False,Emergency situation,Related to emergency response,https://raw.githubusercontent.com/sonia04021991/Ontology,absent,0.75,5,0,0.003,0,2296871,Earthquake,0.151,0.155,0.156,0.158,0.172,7,7.0,7.0,7.0,7,False,True,[],en,https://www.orpha.net/sparql,https://raw.githubusercontent.com/sonia04021991/Ontology/main/eso.rdf,1.0,1.0,1.0,78896,-,1.0,1.0,1.0,True,1.0,1.0,0.000494817033898834,Not indicated,Name: absent; email: soniamehla_6160014@nitkkr.ac.in,Not indicated,Not indicated,Web:https://raw.githubusercontent.com/sonia04021991/Ontology Name:sonia Email:soniamehla_6160014@nitkkr.ac.in,False,not indicated,-,-,insufficient data,insufficient data,0.9866 (out of 10000 triples considered),1.0 (out of 2 triples considered),0.00,163,Insufficient data,14,41,51.0,51.0,51.0,101,35,46.75,54.0,60.0,75,35,63.0,70.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string,78896,No regex provided,False,1903346,True,Insufficient data,1.228,0.4,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-09-18,1,1,http://www.opendefinition.org/licenses/odc-by,False,Emergency situation,Related to emergency response,https://raw.githubusercontent.com/sonia04021991/Ontology,absent,0.75,5,0,0.003,0,2296871,Earthquake,0.152,0.155,0.156,0.157,0.158,7,7.0,7.0,7.0,7,False,True,[],en,https://www.orpha.net/sparql,https://raw.githubusercontent.com/sonia04021991/Ontology/main/eso.rdf,1.0,1.0,1.0,78896,-,1.0,1.0,1.0,True,1.0,1.0,0.000494817033898834,Not indicated,Name: absent; email: soniamehla_6160014@nitkkr.ac.in,Not indicated,Not indicated,Web:https://raw.githubusercontent.com/sonia04021991/Ontology Name:sonia Email:soniamehla_6160014@nitkkr.ac.in,False,not indicated,-,-,insufficient data,insufficient data,0.9866 (out of 10000 triples considered),1.0 (out of 2 triples considered),0.00,163,Insufficient data,14,41,51.0,51.0,51.0,101,35,46.75,54.0,60.0,75,35,63.0,70.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string,78896,No regex provided,False,1903346,True,Insufficient data,1.228,46.34,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-10-02,1,1,http://www.opendefinition.org/licenses/odc-by,False,Emergency situation,Related to emergency response,https://raw.githubusercontent.com/sonia04021991/Ontology,absent,0.75,5,0,0.003,0,2296871,Earthquake,0.153,0.155,0.155,0.157,0.178,7,7.0,7.0,7.0,7,False,True,[],en,https://www.orpha.net/sparql,https://raw.githubusercontent.com/sonia04021991/Ontology/main/eso.rdf,1.0,1.0,1.0,78896,-,1.0,1.0,1.0,True,1.0,1.0,0.000494817033898834,Not indicated,Name: absent; email: soniamehla_6160014@nitkkr.ac.in,Not indicated,Not indicated,Web:https://raw.githubusercontent.com/sonia04021991/Ontology Name:sonia Email:soniamehla_6160014@nitkkr.ac.in,False,not indicated,-,-,insufficient data,insufficient data,0.9866 (out of 10000 triples considered),1.0 (out of 2 triples considered),0.00,163,Insufficient data,14,41,51.0,51.0,51.0,101,35,46.75,54.0,60.0,75,35,63.0,70.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string,78896,No regex provided,False,1903346,True,Insufficient data,1.228,46.34,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-10-09,1,1,http://www.opendefinition.org/licenses/odc-by,False,Emergency situation,Related to emergency response,https://raw.githubusercontent.com/sonia04021991/Ontology,absent,0.75,5,0,0.003,0,2296871,Earthquake,0.143,0.168,0.170,0.178,0.183,6,6.0,6.0,7.0,7,False,True,[],en,https://www.orpha.net/sparql,https://raw.githubusercontent.com/sonia04021991/Ontology/main/eso.rdf,1.0,1.0,1.0,78896,-,1.0,1.0,1.0,True,1.0,1.0,0.000494817033898834,Not indicated,Name: absent; email: soniamehla_6160014@nitkkr.ac.in,Not indicated,Not indicated,Web:https://raw.githubusercontent.com/sonia04021991/Ontology Name:sonia Email:soniamehla_6160014@nitkkr.ac.in,False,not indicated,-,-,insufficient data,insufficient data,0.9866 (out of 10000 triples considered),1.0 (out of 2 triples considered),0.00,163,Insufficient data,14,41,51.0,51.0,51.0,101,35,46.75,54.0,60.0,75,35,63.0,70.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string,78896,No regex provided,False,1903346,True,Insufficient data,1.228,46.34,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
