Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,1,1,http://www.opendefinition.org/licenses/cc-by,Query fails on endpoint,EPO patents,This data set contains information about all EP patents- like applications- publications- technical classifications- citations- patent families and related non-EP patents.The data set is updated weekly,https://www.epo.org/linked-data/,absent,0.75,3,0,0.002,0,600000000,EuropeanPatentInformation,0.183,0.183,0.184,0.191,0.228,6,6.0,6.0,6.0,6,False,True,[],Could not process formulated query on indicated endpoint.,https://data.epo.org/linked-data/query,https://data.epo.org/linked-data/download/,-,-,-,Could not process formulated query on indicated enpdoint,-,-,-,1.0,Impossible to retrieve the terms defined in the dataset,-,-,0.0011970629311265886,Not indicated,Name: absent; email: mkracker@epo.org,Not indicated,"Dave Beckett; Nikki Rogers; ""Participants in W3Cs Semantic Web Deployment Working Group.""",Web:https://www.epo.org/linked-data/ Name:Martin Kracker / European Patent Office Email:mkracker@epo.org,False,not indicated,2000-07-11,2022-05-01,insufficient data,81,insufficient data,0.9903381642512077 (out of 207 triples considered),insufficient data,37300000,Insufficient data,223,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated enpdoint,No regex provided,False,HTTP Error 503: Service Unavailable,True,2008-01-14|64; 2010-10-11|10; 2013-01-01|0; 2013-09-03|0; 2013-11-05|0; 2013-12-03|0; 2014-02-04|0; 2014-06-01|0; 2014-07-01|0; 2014-09-01|0; 2014-10-01|0; 2014-11-01|0; 2014-12-01|0; 2015-01-15|0; 2015-04-01|0; 2015-05-01|0; 2015-07-01|0; 2015-09-01|0; 2015-10-01|0; 2015-11-01|0; 2015-12-01|0; 2016-01-01|0; 2016-02-01|0; 2016-05-01|0; 2016-08-01|0; 2016-11-01|0; 2017-01-01|0; 2017-02-01|0; 2017-05-01|0; 2017-08-01|0; 2018-01-01|0; 2018-02-01|0; 2018-05-01|0; 2018-08-01|0; 2019-01-01|0; 2019-02-01|0; 2019-05-01|0; 2019-08-01|0; 2020-01-01|0; 2020-02-01|0; 2020-05-01|0; 2020-08-01|0; 2021-01-01|0; 2021-02-01|0; 2021-05-01|0; 2021-08-01|0; 2022-01-01|0; 2022-02-01|0; 2022-05-01|0,0.987,44.83,-,-,impossible to verify,[],False
2022-07-31,1,1,http://www.opendefinition.org/licenses/cc-by,Query fails on endpoint,EPO patents,This data set contains information about all EP patents- like applications- publications- technical classifications- citations- patent families and related non-EP patents.The data set is updated weekly,https://www.epo.org/linked-data/,absent,0.75,3,0,0.002,0,600000000,EuropeanPatentInformation,0.181,0.182,0.182,0.227,0.230,6,6.0,6.0,6.0,6,False,True,[],Could not process formulated query on indicated endpoint.,https://data.epo.org/linked-data/query,https://data.epo.org/linked-data/download/,-,-,-,Could not process formulated query on indicated enpdoint,-,-,-,1.0,Impossible to retrieve the terms defined in the dataset,-,-,0.0011970629311265886,Not indicated,Name: absent; email: mkracker@epo.org,Not indicated,"Dave Beckett; Nikki Rogers; ""Participants in W3Cs Semantic Web Deployment Working Group.""",Web:https://www.epo.org/linked-data/ Name:Martin Kracker / European Patent Office Email:mkracker@epo.org,False,not indicated,2000-07-11,2022-05-01,insufficient data,94,insufficient data,0.9903381642512077 (out of 207 triples considered),insufficient data,37300000,Insufficient data,223,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated enpdoint,No regex provided,False,HTTP Error 503: Service Unavailable,True,2008-01-14|64; 2010-10-11|10; 2013-01-01|0; 2013-09-03|0; 2013-11-05|0; 2013-12-03|0; 2014-02-04|0; 2014-06-01|0; 2014-07-01|0; 2014-09-01|0; 2014-10-01|0; 2014-11-01|0; 2014-12-01|0; 2015-01-15|0; 2015-04-01|0; 2015-05-01|0; 2015-07-01|0; 2015-09-01|0; 2015-10-01|0; 2015-11-01|0; 2015-12-01|0; 2016-01-01|0; 2016-02-01|0; 2016-05-01|0; 2016-08-01|0; 2016-11-01|0; 2017-01-01|0; 2017-02-01|0; 2017-05-01|0; 2017-08-01|0; 2018-01-01|0; 2018-02-01|0; 2018-05-01|0; 2018-08-01|0; 2019-01-01|0; 2019-02-01|0; 2019-05-01|0; 2019-08-01|0; 2020-01-01|0; 2020-02-01|0; 2020-05-01|0; 2020-08-01|0; 2021-01-01|0; 2021-02-01|0; 2021-05-01|0; 2021-08-01|0; 2022-01-01|0; 2022-02-01|0; 2022-05-01|0,0.987,0.26,-,-,impossible to verify,Could not process formulated query on indicated enpdoint,False
2022-08-07,-1,0,False,-,nan,False,absent,absent,0.0,3,0,0.002,-,0,EuropeanPatentInformation,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.0011970629311265886,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:absent Name:absent Email:absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.2,0.05,-,-,endpoint absent,endpoint absent,False
2022-08-21,1,1,http://www.opendefinition.org/licenses/cc-by,Query fails on endpoint,EPO patents,This data set contains information about all EP patents- like applications- publications- technical classifications- citations- patent families and related non-EP patents.The data set is updated weekly,https://www.epo.org/linked-data/,absent,0.75,3,0,0.002,0,600000000,EuropeanPatentInformation,0.179,0.189,0.190,0.228,0.232,6,6.0,6.0,6.0,6,False,True,[],Could not process formulated query on indicated endpoint.,https://data.epo.org/linked-data/query,https://data.epo.org/linked-data/download/,-,-,-,Could not process formulated query on indicated enpdoint,-,-,-,1.0,Impossible to retrieve the terms defined in the dataset,-,-,0.0011970629311265886,Not indicated,Name: absent; email: mkracker@epo.org,Not indicated,"Dave Beckett; Nikki Rogers; ""Participants in W3Cs Semantic Web Deployment Working Group.""",Web:https://www.epo.org/linked-data/ Name:Martin Kracker / European Patent Office Email:mkracker@epo.org,False,not indicated,2000-07-11,2022-08-01,insufficient data,23,insufficient data,0.9903381642512077 (out of 207 triples considered),insufficient data,37300000,Insufficient data,223,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated enpdoint,No regex provided,False,HTTP Error 503: Service Unavailable,True,2008-01-14|64; 2010-10-11|10; 2013-01-01|0; 2013-09-03|0; 2013-11-05|0; 2013-12-03|0; 2014-02-04|0; 2014-06-01|0; 2014-07-01|0; 2014-09-01|0; 2014-10-01|0; 2014-11-01|0; 2014-12-01|0; 2015-01-15|0; 2015-04-01|0; 2015-05-01|0; 2015-07-01|0; 2015-09-01|0; 2015-10-01|0; 2015-11-01|0; 2015-12-01|0; 2016-01-01|0; 2016-02-01|0; 2016-05-01|0; 2016-08-01|0; 2016-11-01|0; 2017-01-01|0; 2017-02-01|0; 2017-05-01|0; 2017-08-01|0; 2018-01-01|0; 2018-02-01|0; 2018-05-01|0; 2018-08-01|0; 2019-01-01|0; 2019-02-01|0; 2019-05-01|0; 2019-08-01|0; 2020-01-01|0; 2020-02-01|0; 2020-05-01|0; 2020-08-01|0; 2021-01-01|0; 2021-02-01|0; 2021-05-01|0; 2021-08-01|0; 2022-01-01|0; 2022-02-01|0; 2022-05-01|0; 2022-08-01|0,0.987,43.4,-,-,impossible to verify,Could not process formulated query on indicated enpdoint,False
2022-08-28,1,1,http://www.opendefinition.org/licenses/cc-by,Query fails on endpoint,EPO patents,This data set contains information about all EP patents- like applications- publications- technical classifications- citations- patent families and related non-EP patents.The data set is updated weekly,https://www.epo.org/linked-data/,absent,0.75,3,0,0.002,0,600000000,EuropeanPatentInformation,0.187,0.188,0.190,0.229,0.233,5,6.0,6.0,6.0,6,False,True,[],Could not process formulated query on indicated endpoint.,https://data.epo.org/linked-data/query,https://data.epo.org/linked-data/download/,-,-,-,Could not process formulated query on indicated enpdoint,-,-,-,1.0,Impossible to retrieve the terms defined in the dataset,-,-,0.0011970629311265886,Not indicated,Name: absent; email: mkracker@epo.org,Not indicated,"Dave Beckett; Nikki Rogers; ""Participants in W3Cs Semantic Web Deployment Working Group.""",Web:https://www.epo.org/linked-data/ Name:Martin Kracker / European Patent Office Email:mkracker@epo.org,False,not indicated,2000-07-11,2022-08-01,insufficient data,30,insufficient data,0.9903381642512077 (out of 207 triples considered),insufficient data,37300000,Insufficient data,223,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated enpdoint,No regex provided,False,HTTP Error 503: Service Unavailable,True,2008-01-14|64; 2010-10-11|10; 2013-01-01|0; 2013-09-03|0; 2013-11-05|0; 2013-12-03|0; 2014-02-04|0; 2014-06-01|0; 2014-07-01|0; 2014-09-01|0; 2014-10-01|0; 2014-11-01|0; 2014-12-01|0; 2015-01-15|0; 2015-04-01|0; 2015-05-01|0; 2015-07-01|0; 2015-09-01|0; 2015-10-01|0; 2015-11-01|0; 2015-12-01|0; 2016-01-01|0; 2016-02-01|0; 2016-05-01|0; 2016-08-01|0; 2016-11-01|0; 2017-01-01|0; 2017-02-01|0; 2017-05-01|0; 2017-08-01|0; 2018-01-01|0; 2018-02-01|0; 2018-05-01|0; 2018-08-01|0; 2019-01-01|0; 2019-02-01|0; 2019-05-01|0; 2019-08-01|0; 2020-01-01|0; 2020-02-01|0; 2020-05-01|0; 2020-08-01|0; 2021-01-01|0; 2021-02-01|0; 2021-05-01|0; 2021-08-01|0; 2022-01-01|0; 2022-02-01|0; 2022-05-01|0; 2022-08-01|0,0.987,43.4,-,-,impossible to verify,Could not process formulated query on indicated enpdoint,False
2022-09-04,1,1,http://www.opendefinition.org/licenses/cc-by,Query fails on endpoint,EPO patents,This data set contains information about all EP patents- like applications- publications- technical classifications- citations- patent families and related non-EP patents.The data set is updated weekly,https://www.epo.org/linked-data/,absent,0.75,3,0,0.002,0,600000000,EuropeanPatentInformation,0.186,0.192,0.193,0.234,0.237,5,5.0,5.0,6.0,6,False,True,[],Could not process formulated query on indicated endpoint.,https://data.epo.org/linked-data/query,https://data.epo.org/linked-data/download/,-,-,-,Could not process formulated query on indicated enpdoint,-,-,-,1.0,Impossible to retrieve the terms defined in the dataset,-,-,0.0011970629311265886,Not indicated,Name: absent; email: mkracker@epo.org,Not indicated,"Dave Beckett; Nikki Rogers; ""Participants in W3Cs Semantic Web Deployment Working Group.""",Web:https://www.epo.org/linked-data/ Name:Martin Kracker / European Patent Office Email:mkracker@epo.org,False,not indicated,2000-07-11,2022-08-01,insufficient data,37,insufficient data,0.9903381642512077 (out of 207 triples considered),insufficient data,37300000,Insufficient data,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated enpdoint,No regex provided,False,<built-in method strip of str object at 0x7f2d7d465b90>,True,2008-01-14|64; 2010-10-11|10; 2013-01-01|0; 2013-09-03|0; 2013-11-05|0; 2013-12-03|0; 2014-02-04|0; 2014-06-01|0; 2014-07-01|0; 2014-09-01|0; 2014-10-01|0; 2014-11-01|0; 2014-12-01|0; 2015-01-15|0; 2015-04-01|0; 2015-05-01|0; 2015-07-01|0; 2015-09-01|0; 2015-10-01|0; 2015-11-01|0; 2015-12-01|0; 2016-01-01|0; 2016-02-01|0; 2016-05-01|0; 2016-08-01|0; 2016-11-01|0; 2017-01-01|0; 2017-02-01|0; 2017-05-01|0; 2017-08-01|0; 2018-01-01|0; 2018-02-01|0; 2018-05-01|0; 2018-08-01|0; 2019-01-01|0; 2019-02-01|0; 2019-05-01|0; 2019-08-01|0; 2020-01-01|0; 2020-02-01|0; 2020-05-01|0; 2020-08-01|0; 2021-01-01|0; 2021-02-01|0; 2021-05-01|0; 2021-08-01|0; 2022-01-01|0; 2022-02-01|0; 2022-05-01|0; 2022-08-01|0,0.937,0.31,-,-,impossible to verify,Could not process formulated query on indicated enpdoint,False
2022-09-11,1,1,http://www.opendefinition.org/licenses/cc-by,Query fails on endpoint,EPO patents,This data set contains information about all EP patents- like applications- publications- technical classifications- citations- patent families and related non-EP patents.The data set is updated weekly,https://www.epo.org/linked-data/,absent,0.75,3,0,0.002,0,600000000,EuropeanPatentInformation,0.188,0.190,0.192,0.235,0.236,4,6.0,6.0,6.0,6,False,True,[],Could not process formulated query on indicated endpoint.,https://data.epo.org/linked-data/query,https://data.epo.org/linked-data/download/,-,-,-,Could not process formulated query on indicated enpdoint,-,-,-,1.0,Impossible to retrieve the terms defined in the dataset,-,-,0.0011970629311265886,Not indicated,Name: absent; email: mkracker@epo.org,Not indicated,"Dave Beckett; Nikki Rogers; ""Participants in W3Cs Semantic Web Deployment Working Group.""",Web:https://www.epo.org/linked-data/ Name:Martin Kracker / European Patent Office Email:mkracker@epo.org,False,not indicated,2000-07-11,2022-08-01,insufficient data,44,insufficient data,0.9903381642512077 (out of 207 triples considered),insufficient data,37300000,Insufficient data,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated enpdoint,No regex provided,False,<built-in method strip of str object at 0x7f0e60c29350>,True,2008-01-14|64; 2010-10-11|10; 2013-01-01|0; 2013-09-03|0; 2013-11-05|0; 2013-12-03|0; 2014-02-04|0; 2014-06-01|0; 2014-07-01|0; 2014-09-01|0; 2014-10-01|0; 2014-11-01|0; 2014-12-01|0; 2015-01-15|0; 2015-04-01|0; 2015-05-01|0; 2015-07-01|0; 2015-09-01|0; 2015-10-01|0; 2015-11-01|0; 2015-12-01|0; 2016-01-01|0; 2016-02-01|0; 2016-05-01|0; 2016-08-01|0; 2016-11-01|0; 2017-01-01|0; 2017-02-01|0; 2017-05-01|0; 2017-08-01|0; 2018-01-01|0; 2018-02-01|0; 2018-05-01|0; 2018-08-01|0; 2019-01-01|0; 2019-02-01|0; 2019-05-01|0; 2019-08-01|0; 2020-01-01|0; 2020-02-01|0; 2020-05-01|0; 2020-08-01|0; 2021-01-01|0; 2021-02-01|0; 2021-05-01|0; 2021-08-01|0; 2022-01-01|0; 2022-02-01|0; 2022-05-01|0; 2022-08-01|0,0.887,0.29,-,-,impossible to verify,Could not process formulated query on indicated enpdoint,False
2022-09-18,1,1,http://www.opendefinition.org/licenses/cc-by,Query fails on endpoint,EPO patents,This data set contains information about all EP patents- like applications- publications- technical classifications- citations- patent families and related non-EP patents.The data set is updated weekly,https://www.epo.org/linked-data/,absent,0.75,3,0,0.002,0,600000000,EuropeanPatentInformation,0.185,0.186,0.194,0.231,0.240,5,6.0,6.0,6.0,6,False,True,[],Could not process formulated query on indicated endpoint.,https://data.epo.org/linked-data/query,https://data.epo.org/linked-data/download/,-,-,-,Could not process formulated query on indicated enpdoint,-,-,-,1.0,Impossible to retrieve the terms defined in the dataset,-,-,0.0011970629311265886,Not indicated,Name: absent; email: mkracker@epo.org,Not indicated,"Dave Beckett; Nikki Rogers; ""Participants in W3Cs Semantic Web Deployment Working Group.""",Web:https://www.epo.org/linked-data/ Name:Martin Kracker / European Patent Office Email:mkracker@epo.org,False,not indicated,2000-07-11,2022-08-01,insufficient data,51,insufficient data,0.9903381642512077 (out of 207 triples considered),insufficient data,37300000,Insufficient data,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated enpdoint,No regex provided,False,<built-in method strip of str object at 0x7f2162887570>,True,2008-01-14|64; 2010-10-11|10; 2013-01-01|0; 2013-09-03|0; 2013-11-05|0; 2013-12-03|0; 2014-02-04|0; 2014-06-01|0; 2014-07-01|0; 2014-09-01|0; 2014-10-01|0; 2014-11-01|0; 2014-12-01|0; 2015-01-15|0; 2015-04-01|0; 2015-05-01|0; 2015-07-01|0; 2015-09-01|0; 2015-10-01|0; 2015-11-01|0; 2015-12-01|0; 2016-01-01|0; 2016-02-01|0; 2016-05-01|0; 2016-08-01|0; 2016-11-01|0; 2017-01-01|0; 2017-02-01|0; 2017-05-01|0; 2017-08-01|0; 2018-01-01|0; 2018-02-01|0; 2018-05-01|0; 2018-08-01|0; 2019-01-01|0; 2019-02-01|0; 2019-05-01|0; 2019-08-01|0; 2020-01-01|0; 2020-02-01|0; 2020-05-01|0; 2020-08-01|0; 2021-01-01|0; 2021-02-01|0; 2021-05-01|0; 2021-08-01|0; 2022-01-01|0; 2022-02-01|0; 2022-05-01|0; 2022-08-01|0,0.937,35.36,-,-,impossible to verify,Could not process formulated query on indicated enpdoint,False
2022-10-02,1,1,http://www.opendefinition.org/licenses/cc-by,Query fails on endpoint,EPO patents,This data set contains information about all EP patents- like applications- publications- technical classifications- citations- patent families and related non-EP patents.The data set is updated weekly,https://www.epo.org/linked-data/,absent,0.75,3,0,0.002,0,600000000,EuropeanPatentInformation,0.191,0.194,0.196,0.248,0.274,1,1.0,1.0,1.0,5,False,True,[],Could not process formulated query on indicated endpoint.,https://data.epo.org/linked-data/query,https://data.epo.org/linked-data/download/,-,-,-,Could not process formulated query on indicated enpdoint,-,-,-,1.0,Impossible to retrieve the terms defined in the dataset,-,-,0.0011970629311265886,Not indicated,Name: absent; email: mkracker@epo.org,Not indicated,"Dave Beckett; Nikki Rogers; ""Participants in W3Cs Semantic Web Deployment Working Group.""",Web:https://www.epo.org/linked-data/ Name:Martin Kracker / European Patent Office Email:mkracker@epo.org,False,not indicated,2000-07-11,2022-08-01,insufficient data,65,insufficient data,0.9903381642512077 (out of 207 triples considered),insufficient data,37300000,Insufficient data,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated enpdoint,No regex provided,False,<built-in method strip of str object at 0x7f3dcf652af0>,True,2008-01-14|64; 2010-10-11|10; 2013-01-01|0; 2013-09-03|0; 2013-11-05|0; 2013-12-03|0; 2014-02-04|0; 2014-06-01|0; 2014-07-01|0; 2014-09-01|0; 2014-10-01|0; 2014-11-01|0; 2014-12-01|0; 2015-01-15|0; 2015-04-01|0; 2015-05-01|0; 2015-07-01|0; 2015-09-01|0; 2015-10-01|0; 2015-11-01|0; 2015-12-01|0; 2016-01-01|0; 2016-02-01|0; 2016-05-01|0; 2016-08-01|0; 2016-11-01|0; 2017-01-01|0; 2017-02-01|0; 2017-05-01|0; 2017-08-01|0; 2018-01-01|0; 2018-02-01|0; 2018-05-01|0; 2018-08-01|0; 2019-01-01|0; 2019-02-01|0; 2019-05-01|0; 2019-08-01|0; 2020-01-01|0; 2020-02-01|0; 2020-05-01|0; 2020-08-01|0; 2021-01-01|0; 2021-02-01|0; 2021-05-01|0; 2021-08-01|0; 2022-01-01|0; 2022-02-01|0; 2022-05-01|0; 2022-08-01|0,0.937,35.36,-,-,impossible to verify,Could not process formulated query on indicated enpdoint,False
2022-10-09,1,1,http://www.opendefinition.org/licenses/cc-by,Query fails on endpoint,EPO patents,This data set contains information about all EP patents- like applications- publications- technical classifications- citations- patent families and related non-EP patents.The data set is updated weekly,https://www.epo.org/linked-data/,absent,0.75,3,0,0.002,0,600000000,EuropeanPatentInformation,0.188,0.190,0.192,0.232,0.241,2,5.0,5.0,5.0,5,False,True,[],Could not process formulated query on indicated endpoint.,https://data.epo.org/linked-data/query,https://data.epo.org/linked-data/download/,-,-,-,Could not process formulated query on indicated enpdoint,-,-,-,1.0,Impossible to retrieve the terms defined in the dataset,-,-,0.0011970629311265886,Not indicated,Name: absent; email: mkracker@epo.org,Not indicated,"Dave Beckett; Nikki Rogers; ""Participants in W3Cs Semantic Web Deployment Working Group.""",Web:https://www.epo.org/linked-data/ Name:Martin Kracker / European Patent Office Email:mkracker@epo.org,False,not indicated,2000-07-11,2022-08-01,insufficient data,72,insufficient data,0.9903381642512077 (out of 207 triples considered),insufficient data,37300000,Insufficient data,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated enpdoint,No regex provided,False,<built-in method strip of str object at 0x7fec6f0cb2d0>,True,2008-01-14|64; 2010-10-11|10; 2013-01-01|0; 2013-09-03|0; 2013-11-05|0; 2013-12-03|0; 2014-02-04|0; 2014-06-01|0; 2014-07-01|0; 2014-09-01|0; 2014-10-01|0; 2014-11-01|0; 2014-12-01|0; 2015-01-15|0; 2015-04-01|0; 2015-05-01|0; 2015-07-01|0; 2015-09-01|0; 2015-10-01|0; 2015-11-01|0; 2015-12-01|0; 2016-01-01|0; 2016-02-01|0; 2016-05-01|0; 2016-08-01|0; 2016-11-01|0; 2017-01-01|0; 2017-02-01|0; 2017-05-01|0; 2017-08-01|0; 2018-01-01|0; 2018-02-01|0; 2018-05-01|0; 2018-08-01|0; 2019-01-01|0; 2019-02-01|0; 2019-05-01|0; 2019-08-01|0; 2020-01-01|0; 2020-02-01|0; 2020-05-01|0; 2020-08-01|0; 2021-01-01|0; 2021-02-01|0; 2021-05-01|0; 2021-08-01|0; 2022-01-01|0; 2022-02-01|0; 2022-05-01|0; 2022-08-01|0,0.937,35.36,-,-,impossible to verify,Could not process formulated query on indicated enpdoint,False
