Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,0,0,Creative Commons Attribution Share-Alike - cc-by-sa -,-,Academic Offer of UNL,Datos relacionados con la oferta académica de la Universidad Nacional de Loja: Areas- Carreras- Módulos- Docentes- Asignaturas,Absent,absent,0.5,[],{},nan,-,0,academicofferofunl,-,-,-,-,-,-,-,-,-,-,-,-,endpoint offline,endpoint offline,http://91.239.64.176:8890/sparql,Not provided,-,-,-,endpoint offline,-,-,-,-,endpoint offline,-,-,-,endpoint offline,Name: Ana González - Daniel Jimenez; Email:dannyjimenez110@gmail.com,endpoint offline,endpoint offline,Web:Absent Name:Ana González  - Daniel Jiménez  Email:dannyjimenez110@gmail.com,endpoint offline,endpoint offline,-,-,insufficient data,insufficient data,endpoint offline,endpoint offline,0,0,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,True,endpoint offline,endpoint offline,insufficient data,0.374,44.74,-,-,endpoint offline,endpoint offline,True
2022-07-31,0,0,Creative Commons Attribution Share-Alike - cc-by-sa -,-,Academic Offer of UNL,Datos relacionados con la oferta académica de la Universidad Nacional de Loja: Areas- Carreras- Módulos- Docentes- Asignaturas,Absent,absent,0.5,[],{},nan,-,0,academicofferofunl,-,-,-,-,-,-,-,-,-,-,-,-,endpoint offline,endpoint offline,http://91.239.64.176:8890/sparql,Not provided,-,-,-,endpoint offline,-,-,-,-,endpoint offline,-,-,-,endpoint offline,Name: Ana González - Daniel Jimenez; Email:dannyjimenez110@gmail.com,endpoint offline,endpoint offline,Web:Absent Name:Ana González  - Daniel Jiménez  Email:dannyjimenez110@gmail.com,endpoint offline,endpoint offline,-,-,insufficient data,insufficient data,endpoint offline,endpoint offline,0,0,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,True,endpoint offline,endpoint offline,insufficient data,0.374,0.1,-,-,endpoint offline,endpoint offline,True
2022-08-07,0,0,Creative Commons Attribution Share-Alike - cc-by-sa -,-,Academic Offer of UNL,Datos relacionados con la oferta académica de la Universidad Nacional de Loja: Areas- Carreras- Módulos- Docentes- Asignaturas,Absent,absent,0.5,[],{},nan,-,0,academicofferofunl,-,-,-,-,-,-,-,-,-,-,-,-,endpoint offline,endpoint offline,http://91.239.64.176:8890/sparql,Not provided,-,-,-,endpoint offline,-,-,-,-,endpoint offline,-,-,-,endpoint offline,Name: Ana González - Daniel Jimenez; Email:dannyjimenez110@gmail.com,endpoint offline,endpoint offline,Web:Absent Name:Ana González  - Daniel Jiménez  Email:dannyjimenez110@gmail.com,endpoint offline,endpoint offline,-,-,insufficient data,insufficient data,endpoint offline,endpoint offline,0,0,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,True,endpoint offline,endpoint offline,insufficient data,0.374,0.1,-,-,endpoint offline,endpoint offline,True
2022-08-21,0,0,Creative Commons Attribution Share-Alike - cc-by-sa -,-,Academic Offer of UNL,Datos relacionados con la oferta académica de la Universidad Nacional de Loja: Areas- Carreras- Módulos- Docentes- Asignaturas,Absent,absent,0.5,[],{},nan,-,0,academicofferofunl,-,-,-,-,-,-,-,-,-,-,-,-,endpoint offline,endpoint offline,http://91.239.64.176:8890/sparql,Not provided,-,-,-,endpoint offline,-,-,-,-,endpoint offline,-,-,-,endpoint offline,Name: Ana González - Daniel Jimenez; Email:dannyjimenez110@gmail.com,endpoint offline,endpoint offline,Web:Absent Name:Ana González  - Daniel Jiménez  Email:dannyjimenez110@gmail.com,endpoint offline,endpoint offline,-,-,insufficient data,insufficient data,endpoint offline,endpoint offline,0,0,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,True,endpoint offline,endpoint offline,insufficient data,0.374,16.45,-,-,endpoint offline,endpoint offline,True
2022-08-28,0,0,Creative Commons Attribution Share-Alike - cc-by-sa -,-,Academic Offer of UNL,Datos relacionados con la oferta académica de la Universidad Nacional de Loja: Areas- Carreras- Módulos- Docentes- Asignaturas,Absent,absent,0.5,[],{},nan,-,0,academicofferofunl,-,-,-,-,-,-,-,-,-,-,-,-,endpoint offline,endpoint offline,http://91.239.64.176:8890/sparql,Not provided,-,-,-,endpoint offline,-,-,-,-,endpoint offline,-,-,-,endpoint offline,Name: Ana González - Daniel Jimenez; Email:dannyjimenez110@gmail.com,endpoint offline,endpoint offline,Web:Absent Name:Ana González  - Daniel Jiménez  Email:dannyjimenez110@gmail.com,endpoint offline,endpoint offline,-,-,insufficient data,insufficient data,endpoint offline,endpoint offline,0,0,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,True,endpoint offline,endpoint offline,insufficient data,0.374,16.45,-,-,endpoint offline,endpoint offline,True
2022-09-04,0,-1,Creative Commons Attribution Share-Alike - cc-by-sa -,-,Academic Offer of UNL,Datos relacionados con la oferta académica de la Universidad Nacional de Loja: Areas- Carreras- Módulos- Docentes- Asignaturas,Absent,absent,0.5,[],{},nan,-,0,academicofferofunl,-,-,-,-,-,-,-,-,-,-,-,-,endpoint offline,endpoint offline,http://91.239.64.176:8890/sparql,Not provided,-,-,-,endpoint offline,-,-,-,-,endpoint offline,-,-,-,endpoint offline,Name: Ana González - Daniel Jimenez; Email:dannyjimenez110@gmail.com,endpoint offline,endpoint offline,Web:Absent Name:Ana González  - Daniel Jiménez  Email:dannyjimenez110@gmail.com,endpoint offline,endpoint offline,-,-,insufficient data,insufficient data,endpoint offline,endpoint offline,0,0,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,True,endpoint offline,endpoint offline,insufficient data,0.374,0.0,-,-,endpoint offline,endpoint offline,True
2022-09-11,-1,-1,False,-,nan,False,absent,absent,0.0,[],{},nan,-,0,academicofferofunl,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:absent Name:absent Email:absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.2,0.07,-,-,endpoint absent,endpoint absent,False
2022-09-18,0,-1,Creative Commons Attribution Share-Alike - cc-by-sa -,-,Academic Offer of UNL,Datos relacionados con la oferta académica de la Universidad Nacional de Loja: Areas- Carreras- Módulos- Docentes- Asignaturas,Absent,absent,0.5,[],{},nan,-,0,academicofferofunl,-,-,-,-,-,-,-,-,-,-,-,-,endpoint offline,endpoint offline,http://91.239.64.176:8890/sparql,Not provided,-,-,-,endpoint offline,-,-,-,-,endpoint offline,-,-,-,endpoint offline,Name: Ana González - Daniel Jimenez; Email:dannyjimenez110@gmail.com,endpoint offline,endpoint offline,Web:Absent Name:Ana González  - Daniel Jiménez  Email:dannyjimenez110@gmail.com,endpoint offline,endpoint offline,-,-,insufficient data,insufficient data,endpoint offline,endpoint offline,0,0,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,True,endpoint offline,endpoint offline,insufficient data,0.374,14.11,-,-,endpoint offline,endpoint offline,True
2022-10-02,0,-1,Creative Commons Attribution Share-Alike - cc-by-sa -,-,Academic Offer of UNL,Datos relacionados con la oferta académica de la Universidad Nacional de Loja: Areas- Carreras- Módulos- Docentes- Asignaturas,Absent,absent,0.5,[],{},nan,-,0,academicofferofunl,-,-,-,-,-,-,-,-,-,-,-,-,endpoint offline,endpoint offline,http://91.239.64.176:8890/sparql,Not provided,-,-,-,endpoint offline,-,-,-,-,endpoint offline,-,-,-,endpoint offline,Name: Ana González - Daniel Jimenez; Email:dannyjimenez110@gmail.com,endpoint offline,endpoint offline,Web:Absent Name:Ana González  - Daniel Jiménez  Email:dannyjimenez110@gmail.com,endpoint offline,endpoint offline,-,-,insufficient data,insufficient data,endpoint offline,endpoint offline,0,0,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,True,endpoint offline,endpoint offline,insufficient data,0.374,14.11,-,-,endpoint offline,endpoint offline,True
2022-10-09,0,-1,Creative Commons Attribution Share-Alike - cc-by-sa -,-,Academic Offer of UNL,Datos relacionados con la oferta académica de la Universidad Nacional de Loja: Areas- Carreras- Módulos- Docentes- Asignaturas,Absent,absent,0.5,[],{},nan,-,0,academicofferofunl,-,-,-,-,-,-,-,-,-,-,-,-,endpoint offline,endpoint offline,http://91.239.64.176:8890/sparql,Not provided,-,-,-,endpoint offline,-,-,-,-,endpoint offline,-,-,-,endpoint offline,Name: Ana González - Daniel Jimenez; Email:dannyjimenez110@gmail.com,endpoint offline,endpoint offline,Web:Absent Name:Ana González  - Daniel Jiménez  Email:dannyjimenez110@gmail.com,endpoint offline,endpoint offline,-,-,insufficient data,insufficient data,endpoint offline,endpoint offline,0,0,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,True,endpoint offline,endpoint offline,insufficient data,0.374,14.11,-,-,endpoint offline,endpoint offline,True
