Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,Restricted access to the endpoint,1,Creative Commons CCZero - cc-zero -,Restricted access to the endpoint,aksw.org Research Group dataset,This dataset contains projects- sub groups- people and pages or the Agile Knowledge Management and Semantic Web (AKSW) Research Group @ University of Leipzig.,http://aksw.org/,absent,0.75,[],{},nan,-,0,aksworg,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,nan,https://tinyurl.com/aksworg-ttl,-,-,-,Restricted access to the endpoint,-,-,-,-,Restricted access to the endpoint,-,-,-,Restricted access to the endpoint,Name: Sebastian Tramp; Email:tramp@informatik.uni-leipzig.de,Restricted access to the endpoint,Restricted access to the endpoint,Web:http://aksw.org/ Name:AKSW Research Group Email:aksw@informatik.uni-leipzig.de,Restricted access to the endpoint,Restricted access to the endpoint,-,-,insufficient data,insufficient data,Restricted access to the endpoint,Restricted access to the endpoint,0,0,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,True,Restricted access to the endpoint,Restricted access to the endpoint,insufficient data,0.537,44.76,-,-,Restricted access to the endpoint,Restricted access to the endpoint,False
2022-07-31,Restricted access to the endpoint,1,Creative Commons CCZero - cc-zero -,Restricted access to the endpoint,aksw.org Research Group dataset,This dataset contains projects- sub groups- people and pages or the Agile Knowledge Management and Semantic Web (AKSW) Research Group @ University of Leipzig.,http://aksw.org/,absent,0.75,[],{},nan,-,0,aksworg,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,nan,https://tinyurl.com/aksworg-ttl,-,-,-,Restricted access to the endpoint,-,-,-,-,Restricted access to the endpoint,-,-,-,Restricted access to the endpoint,Name: Sebastian Tramp; Email:tramp@informatik.uni-leipzig.de,Restricted access to the endpoint,Restricted access to the endpoint,Web:http://aksw.org/ Name:AKSW Research Group Email:aksw@informatik.uni-leipzig.de,Restricted access to the endpoint,Restricted access to the endpoint,-,-,insufficient data,insufficient data,Restricted access to the endpoint,Restricted access to the endpoint,0,0,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,True,Restricted access to the endpoint,Restricted access to the endpoint,insufficient data,0.537,0.14,-,-,Restricted access to the endpoint,Restricted access to the endpoint,False
2022-08-07,Restricted access to the endpoint,1,Creative Commons CCZero - cc-zero -,Restricted access to the endpoint,aksw.org Research Group dataset,This dataset contains projects- sub groups- people and pages or the Agile Knowledge Management and Semantic Web (AKSW) Research Group @ University of Leipzig.,http://aksw.org/,absent,0.75,[],{},nan,-,0,aksworg,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,nan,https://tinyurl.com/aksworg-ttl,-,-,-,Restricted access to the endpoint,-,-,-,-,Restricted access to the endpoint,-,-,-,Restricted access to the endpoint,Name: Sebastian Tramp; Email:tramp@informatik.uni-leipzig.de,Restricted access to the endpoint,Restricted access to the endpoint,Web:http://aksw.org/ Name:AKSW Research Group Email:aksw@informatik.uni-leipzig.de,Restricted access to the endpoint,Restricted access to the endpoint,-,-,insufficient data,insufficient data,Restricted access to the endpoint,Restricted access to the endpoint,0,0,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,True,Restricted access to the endpoint,Restricted access to the endpoint,insufficient data,0.537,0.14,-,-,Restricted access to the endpoint,Restricted access to the endpoint,False
2022-08-21,Restricted access to the endpoint,1,Creative Commons CCZero - cc-zero -,Restricted access to the endpoint,aksw.org Research Group dataset,This dataset contains projects- sub groups- people and pages or the Agile Knowledge Management and Semantic Web (AKSW) Research Group @ University of Leipzig.,http://aksw.org/,absent,0.75,[],{},nan,-,0,aksworg,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,nan,https://tinyurl.com/aksworg-ttl,-,-,-,Restricted access to the endpoint,-,-,-,-,Restricted access to the endpoint,-,-,-,Restricted access to the endpoint,Name: Sebastian Tramp; Email:tramp@informatik.uni-leipzig.de,Restricted access to the endpoint,Restricted access to the endpoint,Web:http://aksw.org/ Name:AKSW Research Group Email:aksw@informatik.uni-leipzig.de,Restricted access to the endpoint,Restricted access to the endpoint,-,-,insufficient data,insufficient data,Restricted access to the endpoint,Restricted access to the endpoint,0,0,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,True,Restricted access to the endpoint,Restricted access to the endpoint,insufficient data,0.537,23.61,-,-,Restricted access to the endpoint,Restricted access to the endpoint,False
2022-08-28,Restricted access to the endpoint,1,Creative Commons CCZero - cc-zero -,Restricted access to the endpoint,aksw.org Research Group dataset,This dataset contains projects- sub groups- people and pages or the Agile Knowledge Management and Semantic Web (AKSW) Research Group @ University of Leipzig.,http://aksw.org/,absent,0.75,[],{},nan,-,0,aksworg,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,nan,https://tinyurl.com/aksworg-ttl,-,-,-,Restricted access to the endpoint,-,-,-,-,Restricted access to the endpoint,-,-,-,Restricted access to the endpoint,Name: Sebastian Tramp; Email:tramp@informatik.uni-leipzig.de,Restricted access to the endpoint,Restricted access to the endpoint,Web:http://aksw.org/ Name:AKSW Research Group Email:aksw@informatik.uni-leipzig.de,Restricted access to the endpoint,Restricted access to the endpoint,-,-,insufficient data,insufficient data,Restricted access to the endpoint,Restricted access to the endpoint,0,0,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,True,Restricted access to the endpoint,Restricted access to the endpoint,insufficient data,0.537,23.61,-,-,Restricted access to the endpoint,Restricted access to the endpoint,False
2022-09-04,Restricted access to the endpoint,1,Creative Commons CCZero - cc-zero -,Restricted access to the endpoint,aksw.org Research Group dataset,This dataset contains projects- sub groups- people and pages or the Agile Knowledge Management and Semantic Web (AKSW) Research Group @ University of Leipzig.,http://aksw.org/,absent,0.75,[],{},nan,-,0,aksworg,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,nan,https://tinyurl.com/aksworg-ttl,-,-,-,Restricted access to the endpoint,-,-,-,-,Restricted access to the endpoint,-,-,-,Restricted access to the endpoint,Name: Sebastian Tramp; Email:tramp@informatik.uni-leipzig.de,Restricted access to the endpoint,Restricted access to the endpoint,Web:http://aksw.org/ Name:AKSW Research Group Email:aksw@informatik.uni-leipzig.de,Restricted access to the endpoint,Restricted access to the endpoint,-,-,insufficient data,insufficient data,Restricted access to the endpoint,Restricted access to the endpoint,0,0,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,True,Restricted access to the endpoint,Restricted access to the endpoint,insufficient data,0.537,0.0,-,-,Restricted access to the endpoint,Restricted access to the endpoint,False
2022-09-11,Restricted access to the endpoint,1,Creative Commons CCZero - cc-zero -,Restricted access to the endpoint,aksw.org Research Group dataset,This dataset contains projects- sub groups- people and pages or the Agile Knowledge Management and Semantic Web (AKSW) Research Group @ University of Leipzig.,http://aksw.org/,absent,0.75,[],{},nan,-,0,aksworg,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,nan,https://tinyurl.com/aksworg-ttl,-,-,-,Restricted access to the endpoint,-,-,-,-,Restricted access to the endpoint,-,-,-,Restricted access to the endpoint,Name: Sebastian Tramp; Email:tramp@informatik.uni-leipzig.de,Restricted access to the endpoint,Restricted access to the endpoint,Web:http://aksw.org/ Name:AKSW Research Group Email:aksw@informatik.uni-leipzig.de,Restricted access to the endpoint,Restricted access to the endpoint,-,-,insufficient data,insufficient data,Restricted access to the endpoint,Restricted access to the endpoint,0,0,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,True,Restricted access to the endpoint,Restricted access to the endpoint,insufficient data,0.537,0.18,-,-,Restricted access to the endpoint,Restricted access to the endpoint,False
2022-09-18,Restricted access to the endpoint,1,Creative Commons CCZero - cc-zero -,Restricted access to the endpoint,aksw.org Research Group dataset,This dataset contains projects- sub groups- people and pages or the Agile Knowledge Management and Semantic Web (AKSW) Research Group @ University of Leipzig.,http://aksw.org/,absent,0.75,[],{},nan,-,0,aksworg,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,nan,https://tinyurl.com/aksworg-ttl,-,-,-,Restricted access to the endpoint,-,-,-,-,Restricted access to the endpoint,-,-,-,Restricted access to the endpoint,Name: Sebastian Tramp; Email:tramp@informatik.uni-leipzig.de,Restricted access to the endpoint,Restricted access to the endpoint,Web:http://aksw.org/ Name:AKSW Research Group Email:aksw@informatik.uni-leipzig.de,Restricted access to the endpoint,Restricted access to the endpoint,-,-,insufficient data,insufficient data,Restricted access to the endpoint,Restricted access to the endpoint,0,0,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,True,Restricted access to the endpoint,Restricted access to the endpoint,insufficient data,0.537,20.26,-,-,Restricted access to the endpoint,Restricted access to the endpoint,False
2022-10-02,Restricted access to the endpoint,1,Creative Commons CCZero - cc-zero -,Restricted access to the endpoint,aksw.org Research Group dataset,This dataset contains projects- sub groups- people and pages or the Agile Knowledge Management and Semantic Web (AKSW) Research Group @ University of Leipzig.,http://aksw.org/,absent,0.75,[],{},nan,-,0,aksworg,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,nan,https://tinyurl.com/aksworg-ttl,-,-,-,Restricted access to the endpoint,-,-,-,-,Restricted access to the endpoint,-,-,-,Restricted access to the endpoint,Name: Sebastian Tramp; Email:tramp@informatik.uni-leipzig.de,Restricted access to the endpoint,Restricted access to the endpoint,Web:http://aksw.org/ Name:AKSW Research Group Email:aksw@informatik.uni-leipzig.de,Restricted access to the endpoint,Restricted access to the endpoint,-,-,insufficient data,insufficient data,Restricted access to the endpoint,Restricted access to the endpoint,0,0,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,True,Restricted access to the endpoint,Restricted access to the endpoint,insufficient data,0.537,20.26,-,-,Restricted access to the endpoint,Restricted access to the endpoint,False
2022-10-09,Restricted access to the endpoint,1,Creative Commons CCZero - cc-zero -,Restricted access to the endpoint,aksw.org Research Group dataset,This dataset contains projects- sub groups- people and pages or the Agile Knowledge Management and Semantic Web (AKSW) Research Group @ University of Leipzig.,http://aksw.org/,absent,0.75,[],{},nan,-,0,aksworg,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,nan,https://tinyurl.com/aksworg-ttl,-,-,-,Restricted access to the endpoint,-,-,-,-,Restricted access to the endpoint,-,-,-,Restricted access to the endpoint,Name: Sebastian Tramp; Email:tramp@informatik.uni-leipzig.de,Restricted access to the endpoint,Restricted access to the endpoint,Web:http://aksw.org/ Name:AKSW Research Group Email:aksw@informatik.uni-leipzig.de,Restricted access to the endpoint,Restricted access to the endpoint,-,-,insufficient data,insufficient data,Restricted access to the endpoint,Restricted access to the endpoint,0,0,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,Restricted access to the endpoint,True,Restricted access to the endpoint,Restricted access to the endpoint,insufficient data,0.537,20.26,-,-,Restricted access to the endpoint,Restricted access to the endpoint,False
