Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,-1,0,Other (Open) - other-open -,-,eVOC (Expressed Sequence Annotation for Humans),Provides structured controlled vocabularies for the annotation of expressed sequences with respect to anatomical system- cell type- developmental stage- experimental technique- microarray platform- pathology- pooling- tissue preparation and treatment.,http://bioportal.bioontology.org/ontologies/1013,True,1.0,104,0.572,0.056,-,16187,bioportalev,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.0006021973913601088,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1013 Name:Evoc Administrators Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,2.26,36655,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.463,44.75,-,-,endpoint absent,endpoint absent,True
2022-07-31,-1,0,Other (Open) - other-open -,-,eVOC (Expressed Sequence Annotation for Humans),Provides structured controlled vocabularies for the annotation of expressed sequences with respect to anatomical system- cell type- developmental stage- experimental technique- microarray platform- pathology- pooling- tissue preparation and treatment.,http://bioportal.bioontology.org/ontologies/1013,True,1.0,104,0.572,0.056,-,16187,bioportalev,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.0006021973913601088,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1013 Name:Evoc Administrators Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,2.26,36655,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.463,0.12,-,-,endpoint absent,endpoint absent,True
2022-08-07,-1,0,Other (Open) - other-open -,-,eVOC (Expressed Sequence Annotation for Humans),Provides structured controlled vocabularies for the annotation of expressed sequences with respect to anatomical system- cell type- developmental stage- experimental technique- microarray platform- pathology- pooling- tissue preparation and treatment.,http://bioportal.bioontology.org/ontologies/1013,absent,0.75,104,0.572,0.056,-,16187,bioportalev,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.0006021973913601088,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1013 Name:Evoc Administrators Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,2.26,36655,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.45,0.12,-,-,endpoint absent,endpoint absent,True
2022-08-21,-1,0,Other (Open) - other-open -,-,eVOC (Expressed Sequence Annotation for Humans),Provides structured controlled vocabularies for the annotation of expressed sequences with respect to anatomical system- cell type- developmental stage- experimental technique- microarray platform- pathology- pooling- tissue preparation and treatment.,http://bioportal.bioontology.org/ontologies/1013,True,1.0,104,0.572,0.056,-,16187,bioportalev,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.0006021973913601088,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1013 Name:Evoc Administrators Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,2.26,36655,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.463,20.36,-,-,endpoint absent,endpoint absent,True
2022-08-28,-1,0,Other (Open) - other-open -,-,eVOC (Expressed Sequence Annotation for Humans),Provides structured controlled vocabularies for the annotation of expressed sequences with respect to anatomical system- cell type- developmental stage- experimental technique- microarray platform- pathology- pooling- tissue preparation and treatment.,http://bioportal.bioontology.org/ontologies/1013,True,1.0,104,0.572,0.056,-,16187,bioportalev,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.0006021973913601088,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1013 Name:Evoc Administrators Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,2.26,36655,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.463,20.36,-,-,endpoint absent,endpoint absent,True
2022-09-04,-1,-1,Other (Open) - other-open -,-,eVOC (Expressed Sequence Annotation for Humans),Provides structured controlled vocabularies for the annotation of expressed sequences with respect to anatomical system- cell type- developmental stage- experimental technique- microarray platform- pathology- pooling- tissue preparation and treatment.,http://bioportal.bioontology.org/ontologies/1013,True,1.0,104,0.572,0.056,-,16187,bioportalev,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.0006021973913601088,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1013 Name:Evoc Administrators Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,2.26,36655,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.463,0.0,-,-,endpoint absent,endpoint absent,True
2022-09-11,-1,-1,Other (Open) - other-open -,-,eVOC (Expressed Sequence Annotation for Humans),Provides structured controlled vocabularies for the annotation of expressed sequences with respect to anatomical system- cell type- developmental stage- experimental technique- microarray platform- pathology- pooling- tissue preparation and treatment.,http://bioportal.bioontology.org/ontologies/1013,True,1.0,104,0.572,0.056,-,16187,bioportalev,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.0006021973913601088,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1013 Name:Evoc Administrators Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,2.26,36655,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.463,0.15,-,-,endpoint absent,endpoint absent,True
2022-09-18,-1,-1,Other (Open) - other-open -,-,eVOC (Expressed Sequence Annotation for Humans),Provides structured controlled vocabularies for the annotation of expressed sequences with respect to anatomical system- cell type- developmental stage- experimental technique- microarray platform- pathology- pooling- tissue preparation and treatment.,http://bioportal.bioontology.org/ontologies/1013,True,1.0,104,0.572,0.056,-,16187,bioportalev,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.0006021973913601088,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1013 Name:Evoc Administrators Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,2.26,36655,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.463,17.47,-,-,endpoint absent,endpoint absent,True
2022-10-02,-1,-1,Other (Open) - other-open -,-,eVOC (Expressed Sequence Annotation for Humans),Provides structured controlled vocabularies for the annotation of expressed sequences with respect to anatomical system- cell type- developmental stage- experimental technique- microarray platform- pathology- pooling- tissue preparation and treatment.,http://bioportal.bioontology.org/ontologies/1013,True,1.0,104,0.572,0.056,-,16187,bioportalev,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.0006021973913601088,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1013 Name:Evoc Administrators Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,2.26,36655,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.463,17.47,-,-,endpoint absent,endpoint absent,True
2022-10-09,-1,-1,Other (Open) - other-open -,-,eVOC (Expressed Sequence Annotation for Humans),Provides structured controlled vocabularies for the annotation of expressed sequences with respect to anatomical system- cell type- developmental stage- experimental technique- microarray platform- pathology- pooling- tissue preparation and treatment.,http://bioportal.bioontology.org/ontologies/1013,True,1.0,104,0.572,0.056,-,16187,bioportalev,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.0006021973913601088,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1013 Name:Evoc Administrators Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,2.26,36655,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.463,17.47,-,-,endpoint absent,endpoint absent,True
