Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,-1,0,Other (Open) - other-open -,-,Systems Biology,"The Systems Biology Ontology is a set of controlled- relational vocabularies of terms commonly used in Systems Biology- and in particular in computational modeling. The ontology consists of six orthogonal vocabularies defining: the roles of reaction participants (eg. ""substrate"")- quantitative parameters (eg. ""Michaelis constant"")- a precise classification of mathematical expressions that describe the system (eg. ""mass action rate law"")- the modeling framework used (eg. ""logical framework"")- and a branch each to describe entity (eg. ""macromolecule"") and interaction (eg. ""process"") types- and a branch to define the different types of metadata that may be present within a model.SBO terms can be used to introduce a layer of semantic information into the standard description of a model- or to annotate the results of biochemical experiments in order to facilitate their efficient reuse. SBO is an Open Biomedical Ontologies (OBO) candidate ontology- and is free for use. More information about SBO can be found from the project FAQ- at http://www.ebi.ac.uk/sbo/SBO is a project of the BioModels.net effort and is developed through community collaboration.",http://bioportal.bioontology.org/ontologies/1046,True,1.0,41,0.813,0.022,-,4572,bioportalsbo,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.00011733676261540992,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1046 Name:Nicolas Le Novere Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.22,1023,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.361,44.74,-,-,endpoint absent,endpoint absent,True
2022-07-31,-1,0,Other (Open) - other-open -,-,Systems Biology,"The Systems Biology Ontology is a set of controlled- relational vocabularies of terms commonly used in Systems Biology- and in particular in computational modeling. The ontology consists of six orthogonal vocabularies defining: the roles of reaction participants (eg. ""substrate"")- quantitative parameters (eg. ""Michaelis constant"")- a precise classification of mathematical expressions that describe the system (eg. ""mass action rate law"")- the modeling framework used (eg. ""logical framework"")- and a branch each to describe entity (eg. ""macromolecule"") and interaction (eg. ""process"") types- and a branch to define the different types of metadata that may be present within a model.SBO terms can be used to introduce a layer of semantic information into the standard description of a model- or to annotate the results of biochemical experiments in order to facilitate their efficient reuse. SBO is an Open Biomedical Ontologies (OBO) candidate ontology- and is free for use. More information about SBO can be found from the project FAQ- at http://www.ebi.ac.uk/sbo/SBO is a project of the BioModels.net effort and is developed through community collaboration.",http://bioportal.bioontology.org/ontologies/1046,True,1.0,41,0.813,0.022,-,4572,bioportalsbo,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.00011733676261540992,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1046 Name:Nicolas Le Novere Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.22,1023,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.361,0.1,-,-,endpoint absent,endpoint absent,True
2022-08-07,-1,0,Other (Open) - other-open -,-,Systems Biology,"The Systems Biology Ontology is a set of controlled- relational vocabularies of terms commonly used in Systems Biology- and in particular in computational modeling. The ontology consists of six orthogonal vocabularies defining: the roles of reaction participants (eg. ""substrate"")- quantitative parameters (eg. ""Michaelis constant"")- a precise classification of mathematical expressions that describe the system (eg. ""mass action rate law"")- the modeling framework used (eg. ""logical framework"")- and a branch each to describe entity (eg. ""macromolecule"") and interaction (eg. ""process"") types- and a branch to define the different types of metadata that may be present within a model.SBO terms can be used to introduce a layer of semantic information into the standard description of a model- or to annotate the results of biochemical experiments in order to facilitate their efficient reuse. SBO is an Open Biomedical Ontologies (OBO) candidate ontology- and is free for use. More information about SBO can be found from the project FAQ- at http://www.ebi.ac.uk/sbo/SBO is a project of the BioModels.net effort and is developed through community collaboration.",http://bioportal.bioontology.org/ontologies/1046,absent,0.75,41,0.813,0.022,-,4572,bioportalsbo,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.00011733676261540992,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1046 Name:Nicolas Le Novere Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.22,1023,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.348,0.09,-,-,endpoint absent,endpoint absent,True
2022-08-21,-1,0,Other (Open) - other-open -,-,Systems Biology,"The Systems Biology Ontology is a set of controlled- relational vocabularies of terms commonly used in Systems Biology- and in particular in computational modeling. The ontology consists of six orthogonal vocabularies defining: the roles of reaction participants (eg. ""substrate"")- quantitative parameters (eg. ""Michaelis constant"")- a precise classification of mathematical expressions that describe the system (eg. ""mass action rate law"")- the modeling framework used (eg. ""logical framework"")- and a branch each to describe entity (eg. ""macromolecule"") and interaction (eg. ""process"") types- and a branch to define the different types of metadata that may be present within a model.SBO terms can be used to introduce a layer of semantic information into the standard description of a model- or to annotate the results of biochemical experiments in order to facilitate their efficient reuse. SBO is an Open Biomedical Ontologies (OBO) candidate ontology- and is free for use. More information about SBO can be found from the project FAQ- at http://www.ebi.ac.uk/sbo/SBO is a project of the BioModels.net effort and is developed through community collaboration.",http://bioportal.bioontology.org/ontologies/1046,True,1.0,41,0.813,0.022,-,4572,bioportalsbo,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.00011733676261540992,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1046 Name:Nicolas Le Novere Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.22,1023,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.361,15.88,-,-,endpoint absent,endpoint absent,True
2022-08-28,-1,0,Other (Open) - other-open -,-,Systems Biology,"The Systems Biology Ontology is a set of controlled- relational vocabularies of terms commonly used in Systems Biology- and in particular in computational modeling. The ontology consists of six orthogonal vocabularies defining: the roles of reaction participants (eg. ""substrate"")- quantitative parameters (eg. ""Michaelis constant"")- a precise classification of mathematical expressions that describe the system (eg. ""mass action rate law"")- the modeling framework used (eg. ""logical framework"")- and a branch each to describe entity (eg. ""macromolecule"") and interaction (eg. ""process"") types- and a branch to define the different types of metadata that may be present within a model.SBO terms can be used to introduce a layer of semantic information into the standard description of a model- or to annotate the results of biochemical experiments in order to facilitate their efficient reuse. SBO is an Open Biomedical Ontologies (OBO) candidate ontology- and is free for use. More information about SBO can be found from the project FAQ- at http://www.ebi.ac.uk/sbo/SBO is a project of the BioModels.net effort and is developed through community collaboration.",http://bioportal.bioontology.org/ontologies/1046,True,1.0,41,0.813,0.022,-,4572,bioportalsbo,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.00011733676261540992,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1046 Name:Nicolas Le Novere Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.22,1023,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.361,15.88,-,-,endpoint absent,endpoint absent,True
2022-09-04,-1,-1,Other (Open) - other-open -,-,Systems Biology,"The Systems Biology Ontology is a set of controlled- relational vocabularies of terms commonly used in Systems Biology- and in particular in computational modeling. The ontology consists of six orthogonal vocabularies defining: the roles of reaction participants (eg. ""substrate"")- quantitative parameters (eg. ""Michaelis constant"")- a precise classification of mathematical expressions that describe the system (eg. ""mass action rate law"")- the modeling framework used (eg. ""logical framework"")- and a branch each to describe entity (eg. ""macromolecule"") and interaction (eg. ""process"") types- and a branch to define the different types of metadata that may be present within a model.SBO terms can be used to introduce a layer of semantic information into the standard description of a model- or to annotate the results of biochemical experiments in order to facilitate their efficient reuse. SBO is an Open Biomedical Ontologies (OBO) candidate ontology- and is free for use. More information about SBO can be found from the project FAQ- at http://www.ebi.ac.uk/sbo/SBO is a project of the BioModels.net effort and is developed through community collaboration.",http://bioportal.bioontology.org/ontologies/1046,True,1.0,41,0.813,0.022,-,4572,bioportalsbo,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.00011733676261540992,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1046 Name:Nicolas Le Novere Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.22,1023,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.361,0.0,-,-,endpoint absent,endpoint absent,True
2022-09-11,-1,-1,Other (Open) - other-open -,-,Systems Biology,"The Systems Biology Ontology is a set of controlled- relational vocabularies of terms commonly used in Systems Biology- and in particular in computational modeling. The ontology consists of six orthogonal vocabularies defining: the roles of reaction participants (eg. ""substrate"")- quantitative parameters (eg. ""Michaelis constant"")- a precise classification of mathematical expressions that describe the system (eg. ""mass action rate law"")- the modeling framework used (eg. ""logical framework"")- and a branch each to describe entity (eg. ""macromolecule"") and interaction (eg. ""process"") types- and a branch to define the different types of metadata that may be present within a model.SBO terms can be used to introduce a layer of semantic information into the standard description of a model- or to annotate the results of biochemical experiments in order to facilitate their efficient reuse. SBO is an Open Biomedical Ontologies (OBO) candidate ontology- and is free for use. More information about SBO can be found from the project FAQ- at http://www.ebi.ac.uk/sbo/SBO is a project of the BioModels.net effort and is developed through community collaboration.",http://bioportal.bioontology.org/ontologies/1046,True,1.0,41,0.813,0.022,-,4572,bioportalsbo,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.00011733676261540992,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1046 Name:Nicolas Le Novere Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.22,1023,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.361,0.12,-,-,endpoint absent,endpoint absent,True
2022-09-18,-1,-1,Other (Open) - other-open -,-,Systems Biology,"The Systems Biology Ontology is a set of controlled- relational vocabularies of terms commonly used in Systems Biology- and in particular in computational modeling. The ontology consists of six orthogonal vocabularies defining: the roles of reaction participants (eg. ""substrate"")- quantitative parameters (eg. ""Michaelis constant"")- a precise classification of mathematical expressions that describe the system (eg. ""mass action rate law"")- the modeling framework used (eg. ""logical framework"")- and a branch each to describe entity (eg. ""macromolecule"") and interaction (eg. ""process"") types- and a branch to define the different types of metadata that may be present within a model.SBO terms can be used to introduce a layer of semantic information into the standard description of a model- or to annotate the results of biochemical experiments in order to facilitate their efficient reuse. SBO is an Open Biomedical Ontologies (OBO) candidate ontology- and is free for use. More information about SBO can be found from the project FAQ- at http://www.ebi.ac.uk/sbo/SBO is a project of the BioModels.net effort and is developed through community collaboration.",http://bioportal.bioontology.org/ontologies/1046,True,1.0,41,0.813,0.022,-,4572,bioportalsbo,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.00011733676261540992,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1046 Name:Nicolas Le Novere Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.22,1023,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.361,13.62,-,-,endpoint absent,endpoint absent,True
2022-10-02,-1,-1,Other (Open) - other-open -,-,Systems Biology,"The Systems Biology Ontology is a set of controlled- relational vocabularies of terms commonly used in Systems Biology- and in particular in computational modeling. The ontology consists of six orthogonal vocabularies defining: the roles of reaction participants (eg. ""substrate"")- quantitative parameters (eg. ""Michaelis constant"")- a precise classification of mathematical expressions that describe the system (eg. ""mass action rate law"")- the modeling framework used (eg. ""logical framework"")- and a branch each to describe entity (eg. ""macromolecule"") and interaction (eg. ""process"") types- and a branch to define the different types of metadata that may be present within a model.SBO terms can be used to introduce a layer of semantic information into the standard description of a model- or to annotate the results of biochemical experiments in order to facilitate their efficient reuse. SBO is an Open Biomedical Ontologies (OBO) candidate ontology- and is free for use. More information about SBO can be found from the project FAQ- at http://www.ebi.ac.uk/sbo/SBO is a project of the BioModels.net effort and is developed through community collaboration.",http://bioportal.bioontology.org/ontologies/1046,True,1.0,41,0.813,0.022,-,4572,bioportalsbo,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.00011733676261540992,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1046 Name:Nicolas Le Novere Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.22,1023,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.361,13.62,-,-,endpoint absent,endpoint absent,True
2022-10-09,-1,-1,Other (Open) - other-open -,-,Systems Biology,"The Systems Biology Ontology is a set of controlled- relational vocabularies of terms commonly used in Systems Biology- and in particular in computational modeling. The ontology consists of six orthogonal vocabularies defining: the roles of reaction participants (eg. ""substrate"")- quantitative parameters (eg. ""Michaelis constant"")- a precise classification of mathematical expressions that describe the system (eg. ""mass action rate law"")- the modeling framework used (eg. ""logical framework"")- and a branch each to describe entity (eg. ""macromolecule"") and interaction (eg. ""process"") types- and a branch to define the different types of metadata that may be present within a model.SBO terms can be used to introduce a layer of semantic information into the standard description of a model- or to annotate the results of biochemical experiments in order to facilitate their efficient reuse. SBO is an Open Biomedical Ontologies (OBO) candidate ontology- and is free for use. More information about SBO can be found from the project FAQ- at http://www.ebi.ac.uk/sbo/SBO is a project of the BioModels.net effort and is developed through community collaboration.",http://bioportal.bioontology.org/ontologies/1046,True,1.0,41,0.813,0.022,-,4572,bioportalsbo,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.00011733676261540992,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1046 Name:Nicolas Le Novere Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.22,1023,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.361,13.62,-,-,endpoint absent,endpoint absent,True
