Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,-1,0,Creative Commons Attribution - cc-by -,-,blabla.itemlist,A Linked Data Wrapper upon the Blabla API to produce Linked Data.,http://rdf.onekin.org/blabla/itemlist/(login),absent,0.75,[],{},nan,-,0,blablaitemlist,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataCreation; http://purl.org/net/provenance/ns#DataItem; ; http://purl.org/net/provenance/ns#CreationGuideline; https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; N488df47e4be3436586d29a0d6e00c6d3; Ne5f19eba79dd40e7b7df4a50640d1900; 2022-07-19T15:54:27; N70ec6442223348d09f648e436ea77280; http://rdf.onekin.org/blabla/itemlist/(login); N5be17bea7414442bad30959929eb594c,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataCreation; http://purl.org/net/provenance/ns#DataItem; ; http://purl.org/net/provenance/ns#CreationGuideline; https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; N488df47e4be3436586d29a0d6e00c6d3; Ne5f19eba79dd40e7b7df4a50640d1900; 2022-07-19T15:54:27; N70ec6442223348d09f648e436ea77280; http://rdf.onekin.org/blabla/itemlist/(login); N5be17bea7414442bad30959929eb594c,absent,absent,Web:http://rdf.onekin.org/blabla/itemlist/(login) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-07-19,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataCreation; http://purl.org/net/provenance/ns#DataItem; ; http://purl.org/net/provenance/ns#CreationGuideline; https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; N488df47e4be3436586d29a0d6e00c6d3; Ne5f19eba79dd40e7b7df4a50640d1900; 2022-07-19T15:54:27; N70ec6442223348d09f648e436ea77280; http://rdf.onekin.org/blabla/itemlist/(login); N5be17bea7414442bad30959929eb594c,False,endpoint absent,endpoint absent,insufficient data,1.087,44.85,-,-,endpoint absent,absent,False
2022-07-31,-1,0,Creative Commons Attribution - cc-by -,-,blabla.itemlist,A Linked Data Wrapper upon the Blabla API to produce Linked Data.,http://rdf.onekin.org/blabla/itemlist/(login),absent,0.75,[],{},nan,-,0,blablaitemlist,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/blabla/itemlist/(login) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.287,0.08,-,-,endpoint absent,endpoint absent,True
2022-08-07,-1,0,Creative Commons Attribution - cc-by -,-,blabla.itemlist,A Linked Data Wrapper upon the Blabla API to produce Linked Data.,http://rdf.onekin.org/blabla/itemlist/(login),absent,0.75,[],{},nan,-,0,blablaitemlist,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/blabla/itemlist/(login) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.287,0.08,-,-,endpoint absent,endpoint absent,True
2022-08-21,-1,0,Creative Commons Attribution - cc-by -,-,blabla.itemlist,A Linked Data Wrapper upon the Blabla API to produce Linked Data.,http://rdf.onekin.org/blabla/itemlist/(login),absent,0.75,[],{},nan,-,0,blablaitemlist,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/blabla/itemlist/(login) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.287,12.62,-,-,endpoint absent,endpoint absent,True
2022-08-28,-1,0,Creative Commons Attribution - cc-by -,-,blabla.itemlist,A Linked Data Wrapper upon the Blabla API to produce Linked Data.,http://rdf.onekin.org/blabla/itemlist/(login),absent,0.75,[],{},nan,-,0,blablaitemlist,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/blabla/itemlist/(login) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.287,12.62,-,-,endpoint absent,endpoint absent,True
2022-09-04,-1,-1,Creative Commons Attribution - cc-by -,-,blabla.itemlist,A Linked Data Wrapper upon the Blabla API to produce Linked Data.,http://rdf.onekin.org/blabla/itemlist/(login),absent,0.75,[],{},nan,-,0,blablaitemlist,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,N9da591b9a2fa473cad296bde23e8bbe7; N46f2b8f5e567418dabc100374cc416d9; 2022-09-05T04:28:21; N8214f648aa254365b63bab3c8fa481ca; N5f8756de928e462093debe75f0600e18; ; http://rdf.onekin.org/blabla/itemlist/(login); https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; http://purl.org/net/provenance/ns#DataCreation; http://rdf.onekin.org; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataItem,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,N9da591b9a2fa473cad296bde23e8bbe7; N46f2b8f5e567418dabc100374cc416d9; 2022-09-05T04:28:21; N8214f648aa254365b63bab3c8fa481ca; N5f8756de928e462093debe75f0600e18; ; http://rdf.onekin.org/blabla/itemlist/(login); https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; http://purl.org/net/provenance/ns#DataCreation; http://rdf.onekin.org; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataItem,absent,absent,Web:http://rdf.onekin.org/blabla/itemlist/(login) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-09-05,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,N9da591b9a2fa473cad296bde23e8bbe7; N46f2b8f5e567418dabc100374cc416d9; 2022-09-05T04:28:21; N8214f648aa254365b63bab3c8fa481ca; N5f8756de928e462093debe75f0600e18; ; http://rdf.onekin.org/blabla/itemlist/(login); https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; http://purl.org/net/provenance/ns#DataCreation; http://rdf.onekin.org; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataItem,False,endpoint absent,endpoint absent,insufficient data,0.537,0.0,-,-,endpoint absent,absent,False
2022-09-11,-1,-1,Creative Commons Attribution - cc-by -,-,blabla.itemlist,A Linked Data Wrapper upon the Blabla API to produce Linked Data.,http://rdf.onekin.org/blabla/itemlist/(login),absent,0.75,[],{},nan,-,0,blablaitemlist,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,Na8d752ee033c410f93eac99f8cd316b0; 2022-09-11T18:13:56; N3cec24a055bc4e21a78aa6b6bba77eb2; http://purl.org/net/provenance/ns#DataCreation; N3f40d92dd6784e37b91bc1c411386800; http://purl.org/net/provenance/ns#DataItem; http://rdf.onekin.org; http://purl.org/net/provenance/ns#CreationGuideline; https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; http://rdf.onekin.org/blabla/itemlist/(login); Ne2d8f1e1665f482ba04ad15609e82972; ,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,Na8d752ee033c410f93eac99f8cd316b0; 2022-09-11T18:13:56; N3cec24a055bc4e21a78aa6b6bba77eb2; http://purl.org/net/provenance/ns#DataCreation; N3f40d92dd6784e37b91bc1c411386800; http://purl.org/net/provenance/ns#DataItem; http://rdf.onekin.org; http://purl.org/net/provenance/ns#CreationGuideline; https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; http://rdf.onekin.org/blabla/itemlist/(login); Ne2d8f1e1665f482ba04ad15609e82972; ,absent,absent,Web:http://rdf.onekin.org/blabla/itemlist/(login) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-09-11,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,Na8d752ee033c410f93eac99f8cd316b0; 2022-09-11T18:13:56; N3cec24a055bc4e21a78aa6b6bba77eb2; http://purl.org/net/provenance/ns#DataCreation; N3f40d92dd6784e37b91bc1c411386800; http://purl.org/net/provenance/ns#DataItem; http://rdf.onekin.org; http://purl.org/net/provenance/ns#CreationGuideline; https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; http://rdf.onekin.org/blabla/itemlist/(login); Ne2d8f1e1665f482ba04ad15609e82972; ,False,endpoint absent,endpoint absent,insufficient data,0.537,0.18,-,-,endpoint absent,absent,False
2022-09-18,-1,-1,Creative Commons Attribution - cc-by -,-,blabla.itemlist,A Linked Data Wrapper upon the Blabla API to produce Linked Data.,http://rdf.onekin.org/blabla/itemlist/(login),absent,0.75,[],{},nan,-,0,blablaitemlist,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,http://rdf.onekin.org/blabla/itemlist/(login); http://purl.org/net/provenance/ns#DataCreation; Nc31d2bc972d94cdabd0396522dcb54c4; ; https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; http://purl.org/net/provenance/ns#DataItem; N8928ac172f214b9e95abe42826f42b2d; N17f17857379c456196e2bacfd204fd16; http://purl.org/net/provenance/ns#CreationGuideline; http://rdf.onekin.org; 2022-09-18T18:27:33; N89fa985e615f4c1eb889cd5fd9ba4f98,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,http://rdf.onekin.org/blabla/itemlist/(login); http://purl.org/net/provenance/ns#DataCreation; Nc31d2bc972d94cdabd0396522dcb54c4; ; https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; http://purl.org/net/provenance/ns#DataItem; N8928ac172f214b9e95abe42826f42b2d; N17f17857379c456196e2bacfd204fd16; http://purl.org/net/provenance/ns#CreationGuideline; http://rdf.onekin.org; 2022-09-18T18:27:33; N89fa985e615f4c1eb889cd5fd9ba4f98,absent,absent,Web:http://rdf.onekin.org/blabla/itemlist/(login) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-09-18,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,http://rdf.onekin.org/blabla/itemlist/(login); http://purl.org/net/provenance/ns#DataCreation; Nc31d2bc972d94cdabd0396522dcb54c4; ; https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; http://purl.org/net/provenance/ns#DataItem; N8928ac172f214b9e95abe42826f42b2d; N17f17857379c456196e2bacfd204fd16; http://purl.org/net/provenance/ns#CreationGuideline; http://rdf.onekin.org; 2022-09-18T18:27:33; N89fa985e615f4c1eb889cd5fd9ba4f98,False,endpoint absent,endpoint absent,insufficient data,0.537,20.26,-,-,endpoint absent,absent,False
2022-10-02,-1,-1,Creative Commons Attribution - cc-by -,-,blabla.itemlist,A Linked Data Wrapper upon the Blabla API to produce Linked Data.,http://rdf.onekin.org/blabla/itemlist/(login),absent,0.75,[],{},nan,-,0,blablaitemlist,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/blabla/itemlist/(login) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.287,10.83,-,-,endpoint absent,endpoint absent,True
2022-10-09,-1,-1,Creative Commons Attribution - cc-by -,-,blabla.itemlist,A Linked Data Wrapper upon the Blabla API to produce Linked Data.,http://rdf.onekin.org/blabla/itemlist/(login),absent,0.75,[],{},nan,-,0,blablaitemlist,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,N665f1c07105b47a58e9184335de040a8; http://purl.org/net/provenance/ns#DataItem; http://rdf.onekin.org; N210c4ae1e9bd43379def28f8db77ac69; https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; Nf241aa12cabf480c9ce5fd3634e5e166; http://rdf.onekin.org/blabla/itemlist/(login); N342ba7be9ac24033937fc49b89af1620; http://purl.org/net/provenance/ns#CreationGuideline; 2022-10-09T18:45:42; http://purl.org/net/provenance/ns#DataCreation; ,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,N665f1c07105b47a58e9184335de040a8; http://purl.org/net/provenance/ns#DataItem; http://rdf.onekin.org; N210c4ae1e9bd43379def28f8db77ac69; https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; Nf241aa12cabf480c9ce5fd3634e5e166; http://rdf.onekin.org/blabla/itemlist/(login); N342ba7be9ac24033937fc49b89af1620; http://purl.org/net/provenance/ns#CreationGuideline; 2022-10-09T18:45:42; http://purl.org/net/provenance/ns#DataCreation; ,absent,absent,Web:http://rdf.onekin.org/blabla/itemlist/(login) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-10-09,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,N665f1c07105b47a58e9184335de040a8; http://purl.org/net/provenance/ns#DataItem; http://rdf.onekin.org; N210c4ae1e9bd43379def28f8db77ac69; https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; Nf241aa12cabf480c9ce5fd3634e5e166; http://rdf.onekin.org/blabla/itemlist/(login); N342ba7be9ac24033937fc49b89af1620; http://purl.org/net/provenance/ns#CreationGuideline; 2022-10-09T18:45:42; http://purl.org/net/provenance/ns#DataCreation; ,False,endpoint absent,endpoint absent,insufficient data,0.537,20.26,-,-,endpoint absent,absent,False
