Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,-1,0,False,-,blabla.itemlist,A Linked Data Wrapper upon the Blabla API to produce Linked Data.,http://rdf.onekin.org/blabla/itemlist/(login),absent,0.75,[],{},nan,-,0,blablaitemlist_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; http://rdf.onekin.org/blabla/itemlist/(login); http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataCreation; N95027cd51f1d42d98671d3054b0c0eb9; N4cdbdab486b94ce5baeb8eb7e2390d4e; 2022-07-19T15:54:51; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataItem; ; N296bf22677864e01bc94e6c419edb19c; Ne29fe42026a24bffb948897a194b3ddd,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; http://rdf.onekin.org/blabla/itemlist/(login); http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataCreation; N95027cd51f1d42d98671d3054b0c0eb9; N4cdbdab486b94ce5baeb8eb7e2390d4e; 2022-07-19T15:54:51; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataItem; ; N296bf22677864e01bc94e6c419edb19c; Ne29fe42026a24bffb948897a194b3ddd,absent,absent,Web:http://rdf.onekin.org/blabla/itemlist/(login) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-07-19,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; http://rdf.onekin.org/blabla/itemlist/(login); http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataCreation; N95027cd51f1d42d98671d3054b0c0eb9; N4cdbdab486b94ce5baeb8eb7e2390d4e; 2022-07-19T15:54:51; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataItem; ; N296bf22677864e01bc94e6c419edb19c; Ne29fe42026a24bffb948897a194b3ddd,False,endpoint absent,endpoint absent,insufficient data,1.037,44.84,-,-,endpoint absent,absent,False
2022-07-31,-1,0,False,-,blabla.itemlist,A Linked Data Wrapper upon the Blabla API to produce Linked Data.,http://rdf.onekin.org/blabla/itemlist/(login),absent,0.75,[],{},nan,-,0,blablaitemlist_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/blabla/itemlist/(login) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.237,0.06,-,-,endpoint absent,endpoint absent,True
2022-08-07,-1,0,False,-,blabla.itemlist,A Linked Data Wrapper upon the Blabla API to produce Linked Data.,http://rdf.onekin.org/blabla/itemlist/(login),absent,0.75,[],{},nan,-,0,blablaitemlist_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/blabla/itemlist/(login) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.237,0.06,-,-,endpoint absent,endpoint absent,True
2022-08-21,-1,0,False,-,blabla.itemlist,A Linked Data Wrapper upon the Blabla API to produce Linked Data.,http://rdf.onekin.org/blabla/itemlist/(login),absent,0.75,[],{},nan,-,0,blablaitemlist_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/blabla/itemlist/(login) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.237,10.42,-,-,endpoint absent,endpoint absent,True
2022-08-28,-1,0,False,-,blabla.itemlist,A Linked Data Wrapper upon the Blabla API to produce Linked Data.,http://rdf.onekin.org/blabla/itemlist/(login),absent,0.75,[],{},nan,-,0,blablaitemlist_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/blabla/itemlist/(login) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.237,10.42,-,-,endpoint absent,endpoint absent,True
2022-09-04,-1,-1,False,-,blabla.itemlist,A Linked Data Wrapper upon the Blabla API to produce Linked Data.,http://rdf.onekin.org/blabla/itemlist/(login),absent,0.75,[],{},nan,-,0,blablaitemlist_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,; Nfab510ad09ee4281bfece549cf0432d8; Nf1aa0bdf9ccc42d183e129dd95477b0e; http://purl.org/net/provenance/ns#DataItem; 2022-09-05T04:28:45; N212d8ad9500743319314a8223fa2a870; https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; http://rdf.onekin.org; N18d52dbbdc6f4858bf9865d6ebd8b3e5; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataCreation; http://rdf.onekin.org/blabla/itemlist/(login),endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,; Nfab510ad09ee4281bfece549cf0432d8; Nf1aa0bdf9ccc42d183e129dd95477b0e; http://purl.org/net/provenance/ns#DataItem; 2022-09-05T04:28:45; N212d8ad9500743319314a8223fa2a870; https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; http://rdf.onekin.org; N18d52dbbdc6f4858bf9865d6ebd8b3e5; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataCreation; http://rdf.onekin.org/blabla/itemlist/(login),absent,absent,Web:http://rdf.onekin.org/blabla/itemlist/(login) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-09-05,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,; Nfab510ad09ee4281bfece549cf0432d8; Nf1aa0bdf9ccc42d183e129dd95477b0e; http://purl.org/net/provenance/ns#DataItem; 2022-09-05T04:28:45; N212d8ad9500743319314a8223fa2a870; https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; http://rdf.onekin.org; N18d52dbbdc6f4858bf9865d6ebd8b3e5; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataCreation; http://rdf.onekin.org/blabla/itemlist/(login),False,endpoint absent,endpoint absent,insufficient data,0.487,0.0,-,-,endpoint absent,absent,False
2022-09-11,-1,-1,False,-,blabla.itemlist,A Linked Data Wrapper upon the Blabla API to produce Linked Data.,http://rdf.onekin.org/blabla/itemlist/(login),absent,0.75,[],{},nan,-,0,blablaitemlist_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,N101978d333da4311aa07e671719aa522; http://purl.org/net/provenance/ns#DataItem; N6d6342fccd354f11ba3de3966ed03877; Nf2a848bbf2c44dc495df1e1a32ea82e3; http://rdf.onekin.org; ; http://purl.org/net/provenance/ns#DataCreation; 2022-09-11T18:14:20; N0f31599291e74cef925e039f1c8169bd; https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; http://purl.org/net/provenance/ns#CreationGuideline; http://rdf.onekin.org/blabla/itemlist/(login),endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,N101978d333da4311aa07e671719aa522; http://purl.org/net/provenance/ns#DataItem; N6d6342fccd354f11ba3de3966ed03877; Nf2a848bbf2c44dc495df1e1a32ea82e3; http://rdf.onekin.org; ; http://purl.org/net/provenance/ns#DataCreation; 2022-09-11T18:14:20; N0f31599291e74cef925e039f1c8169bd; https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; http://purl.org/net/provenance/ns#CreationGuideline; http://rdf.onekin.org/blabla/itemlist/(login),absent,absent,Web:http://rdf.onekin.org/blabla/itemlist/(login) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-09-11,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,N101978d333da4311aa07e671719aa522; http://purl.org/net/provenance/ns#DataItem; N6d6342fccd354f11ba3de3966ed03877; Nf2a848bbf2c44dc495df1e1a32ea82e3; http://rdf.onekin.org; ; http://purl.org/net/provenance/ns#DataCreation; 2022-09-11T18:14:20; N0f31599291e74cef925e039f1c8169bd; https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; http://purl.org/net/provenance/ns#CreationGuideline; http://rdf.onekin.org/blabla/itemlist/(login),False,endpoint absent,endpoint absent,insufficient data,0.487,0.16,-,-,endpoint absent,absent,False
2022-09-18,-1,-1,False,-,blabla.itemlist,A Linked Data Wrapper upon the Blabla API to produce Linked Data.,http://rdf.onekin.org/blabla/itemlist/(login),absent,0.75,[],{},nan,-,0,blablaitemlist_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,http://purl.org/net/provenance/ns#DataItem; http://rdf.onekin.org; ; http://purl.org/net/provenance/ns#CreationGuideline; Nd8ed4199fa0a44da9eacabae31c03f21; 2022-09-18T18:27:57; N6f48aa9c8a2e49f49a578fc27c44ffde; https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; http://purl.org/net/provenance/ns#DataCreation; http://rdf.onekin.org/blabla/itemlist/(login); Ndcb078e628694c6a902d3df6b7a31c9c; N60e65d4e88814db7a5b41e2b3e5eacd0,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,http://purl.org/net/provenance/ns#DataItem; http://rdf.onekin.org; ; http://purl.org/net/provenance/ns#CreationGuideline; Nd8ed4199fa0a44da9eacabae31c03f21; 2022-09-18T18:27:57; N6f48aa9c8a2e49f49a578fc27c44ffde; https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; http://purl.org/net/provenance/ns#DataCreation; http://rdf.onekin.org/blabla/itemlist/(login); Ndcb078e628694c6a902d3df6b7a31c9c; N60e65d4e88814db7a5b41e2b3e5eacd0,absent,absent,Web:http://rdf.onekin.org/blabla/itemlist/(login) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-09-18,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,http://purl.org/net/provenance/ns#DataItem; http://rdf.onekin.org; ; http://purl.org/net/provenance/ns#CreationGuideline; Nd8ed4199fa0a44da9eacabae31c03f21; 2022-09-18T18:27:57; N6f48aa9c8a2e49f49a578fc27c44ffde; https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; http://purl.org/net/provenance/ns#DataCreation; http://rdf.onekin.org/blabla/itemlist/(login); Ndcb078e628694c6a902d3df6b7a31c9c; N60e65d4e88814db7a5b41e2b3e5eacd0,False,endpoint absent,endpoint absent,insufficient data,0.487,18.38,-,-,endpoint absent,absent,False
2022-10-02,-1,-1,False,-,blabla.itemlist,A Linked Data Wrapper upon the Blabla API to produce Linked Data.,http://rdf.onekin.org/blabla/itemlist/(login),absent,0.75,[],{},nan,-,0,blablaitemlist_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/blabla/itemlist/(login) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.237,8.94,-,-,endpoint absent,endpoint absent,True
2022-10-09,-1,-1,False,-,blabla.itemlist,A Linked Data Wrapper upon the Blabla API to produce Linked Data.,http://rdf.onekin.org/blabla/itemlist/(login),absent,0.75,[],{},nan,-,0,blablaitemlist_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,N6ae0eebe85fa46c8800b916a4457c84f; http://rdf.onekin.org/blabla/itemlist/(login); N932adf08f64649bbb4d5ed628648946b; https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; http://purl.org/net/provenance/ns#DataItem; N8a323995b2cf461fb4d91ff1e8d747a7; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataCreation; ; http://rdf.onekin.org; Na49877b70eaf4ec1bb3001cc7f65d80e; 2022-10-09T18:46:06,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,N6ae0eebe85fa46c8800b916a4457c84f; http://rdf.onekin.org/blabla/itemlist/(login); N932adf08f64649bbb4d5ed628648946b; https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; http://purl.org/net/provenance/ns#DataItem; N8a323995b2cf461fb4d91ff1e8d747a7; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataCreation; ; http://rdf.onekin.org; Na49877b70eaf4ec1bb3001cc7f65d80e; 2022-10-09T18:46:06,absent,absent,Web:http://rdf.onekin.org/blabla/itemlist/(login) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-10-09,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,N6ae0eebe85fa46c8800b916a4457c84f; http://rdf.onekin.org/blabla/itemlist/(login); N932adf08f64649bbb4d5ed628648946b; https://raw.githubusercontent.com/onekin/ldw/master/blabla/blabla.itemlist.xml; http://purl.org/net/provenance/ns#DataItem; N8a323995b2cf461fb4d91ff1e8d747a7; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataCreation; ; http://rdf.onekin.org; Na49877b70eaf4ec1bb3001cc7f65d80e; 2022-10-09T18:46:06,False,endpoint absent,endpoint absent,insufficient data,0.487,18.38,-,-,endpoint absent,absent,False
