Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,1,0,Creative Commons Attribution - cc-by -,False,French Plant Health Bulletins,Plant Health Bulletins (PHB) are named Bulletins de Santé du Végétal (BSV) in french. This dataset is an open archive of PHB published after 2009.The dataset is one result of the french project untitled VESPA (Value and optimization of epidemiosurveillance devices in a sustainable crop protection strategy) leading by INRA.A PHB is an information document- both technical and regulatory in nature- written under the responsibility of a regional epidemiological surveillance committee. A PHB gathers information about the health status of crops. It first presents pest risk analysis- and it is also used to disseminate regulatory information (mandatory control order- national notes- regulation evolution- etc.) and non-regulatory information (description of pest biology or prophylactic methods- such as management of intercropping- tillage- choice of cultivars- etc.).To access PHB a french thesaurus has been developed called FrenchCropUsage. This is a thesaurus of types of crops- organized according to their destination (direct human food- animal feed- food industry- etc) and the type of culture system (field crop- market gardening- etc.). This thesaurus represents the French point of view. More information are available at http://ontology.irstea.fr/pmwiki.php/Site/BSV, http://ontology.irstea.fr/bsv/,absent,0.75,[],{},nan,75,309458,bsv,0.059,0.060,0.062,0.066,0.067,17,17.0,17.0,17.0,17,False,False,[],fr; en, http://ontology.irstea.fr/bsv//sparql,Not provided,1.0,1.0,1.0,1565,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Stephan Bernard; Email:stephan.bernard@irstea.fr,http://ontology.irstea.fr/irstea/IRSTEA,Not indicated,Web: http://ontology.irstea.fr/bsv/ Name:catherine roussey Email:catherine.roussey@irstea.fr,False,not indicated,2016-02-29,2016-02-29,0,2332,0.9875298101842577 (out of 309458 triples considered),1.0 (out of 7 triples considered),0.00,0,Insufficient data,7,30,75.0,79.0,87.0,179,29,34.75,41.0,46.25,66,31,74.0,80.0,88.75,179,No new vocabulary defined,http://ontology.irstea.fr/irstea/ontology/Region; http://ontology.irstea.fr/bsv/ontology/Bulletin,1565,No regex provided,False,0,False,2016-02-29|0,1.179,44.86,1.0,1.0,False,[],True
2022-07-31,1,0,Creative Commons Attribution - cc-by -,False,French Plant Health Bulletins,Plant Health Bulletins (PHB) are named Bulletins de Santé du Végétal (BSV) in french. This dataset is an open archive of PHB published after 2009.The dataset is one result of the french project untitled VESPA (Value and optimization of epidemiosurveillance devices in a sustainable crop protection strategy) leading by INRA.A PHB is an information document- both technical and regulatory in nature- written under the responsibility of a regional epidemiological surveillance committee. A PHB gathers information about the health status of crops. It first presents pest risk analysis- and it is also used to disseminate regulatory information (mandatory control order- national notes- regulation evolution- etc.) and non-regulatory information (description of pest biology or prophylactic methods- such as management of intercropping- tillage- choice of cultivars- etc.).To access PHB a french thesaurus has been developed called FrenchCropUsage. This is a thesaurus of types of crops- organized according to their destination (direct human food- animal feed- food industry- etc) and the type of culture system (field crop- market gardening- etc.). This thesaurus represents the French point of view. More information are available at http://ontology.irstea.fr/pmwiki.php/Site/BSV, http://ontology.irstea.fr/bsv/,absent,0.75,[],{},nan,75,309458,bsv,0.062,0.064,0.064,0.064,0.064,16,16.0,16.0,16.0,16,False,False,[],fr; en, http://ontology.irstea.fr/bsv//sparql,Not provided,1.0,1.0,1.0,1565,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Stephan Bernard; Email:stephan.bernard@irstea.fr,http://ontology.irstea.fr/irstea/IRSTEA,Not indicated,Web: http://ontology.irstea.fr/bsv/ Name:catherine roussey Email:catherine.roussey@irstea.fr,False,not indicated,2016-02-29,2016-02-29,0,2344,0.9875298101842577 (out of 309458 triples considered),1.0 (out of 7 triples considered),0.00,0,Insufficient data,7,30,75.0,79.0,87.0,179,29,34.75,41.0,46.25,66,31,74.0,80.0,88.75,179,No new vocabulary defined,http://ontology.irstea.fr/irstea/ontology/Region; http://ontology.irstea.fr/bsv/ontology/Bulletin,1565,No regex provided,False,0,False,2016-02-29|0,1.179,0.31,1.0,1.0,False,Could not process formulated query on indicated enpdoint,True
2022-08-07,1,0,Creative Commons Attribution - cc-by -,False,French Plant Health Bulletins,Plant Health Bulletins (PHB) are named Bulletins de Santé du Végétal (BSV) in french. This dataset is an open archive of PHB published after 2009.The dataset is one result of the french project untitled VESPA (Value and optimization of epidemiosurveillance devices in a sustainable crop protection strategy) leading by INRA.A PHB is an information document- both technical and regulatory in nature- written under the responsibility of a regional epidemiological surveillance committee. A PHB gathers information about the health status of crops. It first presents pest risk analysis- and it is also used to disseminate regulatory information (mandatory control order- national notes- regulation evolution- etc.) and non-regulatory information (description of pest biology or prophylactic methods- such as management of intercropping- tillage- choice of cultivars- etc.).To access PHB a french thesaurus has been developed called FrenchCropUsage. This is a thesaurus of types of crops- organized according to their destination (direct human food- animal feed- food industry- etc) and the type of culture system (field crop- market gardening- etc.). This thesaurus represents the French point of view. More information are available at http://ontology.irstea.fr/pmwiki.php/Site/BSV, http://ontology.irstea.fr/bsv/,absent,0.75,[],{},nan,75,309458,bsv,0.061,0.062,0.063,0.065,0.065,16,16.0,16.0,16.0,16,False,False,[],fr; en, http://ontology.irstea.fr/bsv//sparql,Not provided,1.0,1.0,1.0,1565,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Stephan Bernard; Email:stephan.bernard@irstea.fr,http://ontology.irstea.fr/irstea/IRSTEA,Not indicated,Web: http://ontology.irstea.fr/bsv/ Name:catherine roussey Email:catherine.roussey@irstea.fr,False,not indicated,2016-02-29,2016-02-29,0,2352,0.9875298101842577 (out of 309458 triples considered),1.0 (out of 7 triples considered),0.00,0,Insufficient data,7,30,75.0,79.0,87.0,179,29,34.75,41.0,46.25,66,31,74.0,80.0,88.75,179,No new vocabulary defined,http://ontology.irstea.fr/irstea/ontology/Region; http://ontology.irstea.fr/bsv/ontology/Bulletin,1565,No regex provided,False,0,False,2016-02-29|0,1.179,0.31,1.0,1.0,False,Could not process formulated query on indicated enpdoint,True
2022-08-21,1,0,Creative Commons Attribution - cc-by -,False,French Plant Health Bulletins,Plant Health Bulletins (PHB) are named Bulletins de Santé du Végétal (BSV) in french. This dataset is an open archive of PHB published after 2009.The dataset is one result of the french project untitled VESPA (Value and optimization of epidemiosurveillance devices in a sustainable crop protection strategy) leading by INRA.A PHB is an information document- both technical and regulatory in nature- written under the responsibility of a regional epidemiological surveillance committee. A PHB gathers information about the health status of crops. It first presents pest risk analysis- and it is also used to disseminate regulatory information (mandatory control order- national notes- regulation evolution- etc.) and non-regulatory information (description of pest biology or prophylactic methods- such as management of intercropping- tillage- choice of cultivars- etc.).To access PHB a french thesaurus has been developed called FrenchCropUsage. This is a thesaurus of types of crops- organized according to their destination (direct human food- animal feed- food industry- etc) and the type of culture system (field crop- market gardening- etc.). This thesaurus represents the French point of view. More information are available at http://ontology.irstea.fr/pmwiki.php/Site/BSV, http://ontology.irstea.fr/bsv/,absent,0.75,[],{},nan,75,309458,bsv,0.060,0.062,0.062,0.064,0.065,16,16.0,16.0,16.0,16,False,False,[],fr; en, http://ontology.irstea.fr/bsv//sparql,Not provided,1.0,1.0,1.0,1565,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Stephan Bernard; Email:stephan.bernard@irstea.fr,http://ontology.irstea.fr/irstea/IRSTEA,Not indicated,Web: http://ontology.irstea.fr/bsv/ Name:catherine roussey Email:catherine.roussey@irstea.fr,False,not indicated,2016-02-29,2016-02-29,0,2365,0.9875298101842577 (out of 309458 triples considered),1.0 (out of 7 triples considered),0.00,0,Insufficient data,7,30,75.0,79.0,87.0,179,29,34.75,41.0,46.25,66,31,74.0,80.0,88.75,179,No new vocabulary defined,http://ontology.irstea.fr/irstea/ontology/Region; http://ontology.irstea.fr/bsv/ontology/Bulletin,1565,No regex provided,False,0,False,2016-02-29|0,1.129,49.65,1.0,1.0,False,Could not process formulated query on indicated enpdoint,True
2022-08-28,1,0,Creative Commons Attribution - cc-by -,False,French Plant Health Bulletins,Plant Health Bulletins (PHB) are named Bulletins de Santé du Végétal (BSV) in french. This dataset is an open archive of PHB published after 2009.The dataset is one result of the french project untitled VESPA (Value and optimization of epidemiosurveillance devices in a sustainable crop protection strategy) leading by INRA.A PHB is an information document- both technical and regulatory in nature- written under the responsibility of a regional epidemiological surveillance committee. A PHB gathers information about the health status of crops. It first presents pest risk analysis- and it is also used to disseminate regulatory information (mandatory control order- national notes- regulation evolution- etc.) and non-regulatory information (description of pest biology or prophylactic methods- such as management of intercropping- tillage- choice of cultivars- etc.).To access PHB a french thesaurus has been developed called FrenchCropUsage. This is a thesaurus of types of crops- organized according to their destination (direct human food- animal feed- food industry- etc) and the type of culture system (field crop- market gardening- etc.). This thesaurus represents the French point of view. More information are available at http://ontology.irstea.fr/pmwiki.php/Site/BSV, http://ontology.irstea.fr/bsv/,absent,0.75,[],{},nan,75,309458,bsv,0.066,0.066,0.066,0.069,0.071,15,16.0,16.0,16.0,16,False,False,[],fr; en, http://ontology.irstea.fr/bsv//sparql,Not provided,1.0,1.0,1.0,1565,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Stephan Bernard; Email:stephan.bernard@irstea.fr,http://ontology.irstea.fr/irstea/IRSTEA,Not indicated,Web: http://ontology.irstea.fr/bsv/ Name:catherine roussey Email:catherine.roussey@irstea.fr,False,not indicated,2016-02-29,2016-02-29,0,2372,0.9875298101842577 (out of 309458 triples considered),1.0 (out of 7 triples considered),0.00,0,Insufficient data,7,30,75.0,79.0,87.0,179,29,34.75,41.0,46.25,66,31,74.0,80.0,88.75,179,No new vocabulary defined,http://ontology.irstea.fr/irstea/ontology/Region; http://ontology.irstea.fr/bsv/ontology/Bulletin,1565,No regex provided,False,0,False,2016-02-29|0,1.129,49.65,1.0,1.0,False,Could not process formulated query on indicated enpdoint,True
2022-09-04,0,-1,Creative Commons Attribution - cc-by -,-,French Plant Health Bulletins,Plant Health Bulletins (PHB) are named Bulletins de Santé du Végétal (BSV) in french. This dataset is an open archive of PHB published after 2009.The dataset is one result of the french project untitled VESPA (Value and optimization of epidemiosurveillance devices in a sustainable crop protection strategy) leading by INRA.A PHB is an information document- both technical and regulatory in nature- written under the responsibility of a regional epidemiological surveillance committee. A PHB gathers information about the health status of crops. It first presents pest risk analysis- and it is also used to disseminate regulatory information (mandatory control order- national notes- regulation evolution- etc.) and non-regulatory information (description of pest biology or prophylactic methods- such as management of intercropping- tillage- choice of cultivars- etc.).To access PHB a french thesaurus has been developed called FrenchCropUsage. This is a thesaurus of types of crops- organized according to their destination (direct human food- animal feed- food industry- etc) and the type of culture system (field crop- market gardening- etc.). This thesaurus represents the French point of view. More information are available at http://ontology.irstea.fr/pmwiki.php/Site/BSV, http://ontology.irstea.fr/bsv/,absent,0.75,[],{},nan,-,0,bsv,-,-,-,-,-,-,-,-,-,-,-,-,endpoint offline,endpoint offline,http://ontology.irstea.fr/bsv/,Not provided,-,-,-,endpoint offline,-,-,-,-,endpoint offline,-,-,-,endpoint offline,Name: Stephan Bernard; Email:stephan.bernard@irstea.fr,endpoint offline,endpoint offline,Web: http://ontology.irstea.fr/bsv/ Name:catherine roussey Email:catherine.roussey@irstea.fr,endpoint offline,endpoint offline,-,-,insufficient data,insufficient data,endpoint offline,endpoint offline,0,0,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,False,endpoint offline,endpoint offline,insufficient data,0.337,0.0,-,-,endpoint offline,endpoint offline,True
2022-09-11,1,-1,Creative Commons Attribution - cc-by -,False,French Plant Health Bulletins,Plant Health Bulletins (PHB) are named Bulletins de Santé du Végétal (BSV) in french. This dataset is an open archive of PHB published after 2009.The dataset is one result of the french project untitled VESPA (Value and optimization of epidemiosurveillance devices in a sustainable crop protection strategy) leading by INRA.A PHB is an information document- both technical and regulatory in nature- written under the responsibility of a regional epidemiological surveillance committee. A PHB gathers information about the health status of crops. It first presents pest risk analysis- and it is also used to disseminate regulatory information (mandatory control order- national notes- regulation evolution- etc.) and non-regulatory information (description of pest biology or prophylactic methods- such as management of intercropping- tillage- choice of cultivars- etc.).To access PHB a french thesaurus has been developed called FrenchCropUsage. This is a thesaurus of types of crops- organized according to their destination (direct human food- animal feed- food industry- etc) and the type of culture system (field crop- market gardening- etc.). This thesaurus represents the French point of view. More information are available at http://ontology.irstea.fr/pmwiki.php/Site/BSV, http://ontology.irstea.fr/bsv/,absent,0.75,[],{},nan,75,309458,bsv,0.063,0.066,0.066,0.066,0.067,14,15.0,15.0,15.0,16,False,False,[],fr; en, http://ontology.irstea.fr/bsv//sparql,Not provided,1.0,1.0,1.0,1565,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Stephan Bernard; Email:stephan.bernard@irstea.fr,http://ontology.irstea.fr/irstea/IRSTEA,Not indicated,Web: http://ontology.irstea.fr/bsv/ Name:catherine roussey Email:catherine.roussey@irstea.fr,False,not indicated,2016-02-29,2016-02-29,0,2386,0.9875298101842577 (out of 309458 triples considered),1.0 (out of 7 triples considered),0.00,0,Insufficient data,Could not process formulated query on indicated enpdoint,30,75.0,79.0,87.0,179,29,34.75,41.0,46.25,66,31,74.0,80.0,88.75,179,No new vocabulary defined,http://ontology.irstea.fr/irstea/ontology/Region; http://ontology.irstea.fr/bsv/ontology/Bulletin,1565,No regex provided,False,0,False,2016-02-29|0,1.079,0.35,1.0,1.0,False,Could not process formulated query on indicated enpdoint,True
2022-09-18,1,-1,Creative Commons Attribution - cc-by -,False,French Plant Health Bulletins,Plant Health Bulletins (PHB) are named Bulletins de Santé du Végétal (BSV) in french. This dataset is an open archive of PHB published after 2009.The dataset is one result of the french project untitled VESPA (Value and optimization of epidemiosurveillance devices in a sustainable crop protection strategy) leading by INRA.A PHB is an information document- both technical and regulatory in nature- written under the responsibility of a regional epidemiological surveillance committee. A PHB gathers information about the health status of crops. It first presents pest risk analysis- and it is also used to disseminate regulatory information (mandatory control order- national notes- regulation evolution- etc.) and non-regulatory information (description of pest biology or prophylactic methods- such as management of intercropping- tillage- choice of cultivars- etc.).To access PHB a french thesaurus has been developed called FrenchCropUsage. This is a thesaurus of types of crops- organized according to their destination (direct human food- animal feed- food industry- etc) and the type of culture system (field crop- market gardening- etc.). This thesaurus represents the French point of view. More information are available at http://ontology.irstea.fr/pmwiki.php/Site/BSV, http://ontology.irstea.fr/bsv/,absent,0.75,[],{},nan,75,309458,bsv,0.062,0.062,0.063,0.064,0.069,15,16.0,16.0,16.0,16,False,False,[],fr; en, http://ontology.irstea.fr/bsv//sparql,Not provided,1.0,1.0,1.0,1565,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Stephan Bernard; Email:stephan.bernard@irstea.fr,http://ontology.irstea.fr/irstea/IRSTEA,Not indicated,Web: http://ontology.irstea.fr/bsv/ Name:catherine roussey Email:catherine.roussey@irstea.fr,False,not indicated,2016-02-29,2016-02-29,0,2393,0.9875298101842577 (out of 309458 triples considered),1.0 (out of 7 triples considered),0.00,0,Insufficient data,Could not process formulated query on indicated enpdoint,30,75.0,79.0,87.0,179,29,34.75,41.0,46.25,66,31,74.0,80.0,88.75,179,No new vocabulary defined,http://ontology.irstea.fr/irstea/ontology/Region; http://ontology.irstea.fr/bsv/ontology/Bulletin,1565,No regex provided,False,0,False,2016-02-29|0,1.079,40.72,1.0,1.0,False,Could not process formulated query on indicated enpdoint,True
2022-10-02,1,-1,Creative Commons Attribution - cc-by -,False,French Plant Health Bulletins,Plant Health Bulletins (PHB) are named Bulletins de Santé du Végétal (BSV) in french. This dataset is an open archive of PHB published after 2009.The dataset is one result of the french project untitled VESPA (Value and optimization of epidemiosurveillance devices in a sustainable crop protection strategy) leading by INRA.A PHB is an information document- both technical and regulatory in nature- written under the responsibility of a regional epidemiological surveillance committee. A PHB gathers information about the health status of crops. It first presents pest risk analysis- and it is also used to disseminate regulatory information (mandatory control order- national notes- regulation evolution- etc.) and non-regulatory information (description of pest biology or prophylactic methods- such as management of intercropping- tillage- choice of cultivars- etc.).To access PHB a french thesaurus has been developed called FrenchCropUsage. This is a thesaurus of types of crops- organized according to their destination (direct human food- animal feed- food industry- etc) and the type of culture system (field crop- market gardening- etc.). This thesaurus represents the French point of view. More information are available at http://ontology.irstea.fr/pmwiki.php/Site/BSV, http://ontology.irstea.fr/bsv/,absent,0.75,[],{},nan,0,592997,bsv,0.062,0.064,0.065,0.067,0.068,14,16.0,16.0,16.0,16,False,False,[],fr; en, http://ontology.irstea.fr/bsv//sparql,Not provided,1.0,1.0,1.0,1819,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Stephan Bernard; Email:stephan.bernard@irstea.fr,Not indicated,Not indicated,Web: http://ontology.irstea.fr/bsv/ Name:catherine roussey Email:catherine.roussey@irstea.fr,False,not indicated,-,-,insufficient data,insufficient data,0.9876103926326777 (out of 592997 triples considered),1.0 (out of 2 triples considered),0.00,0,Insufficient data,Could not process formulated query on indicated enpdoint,43,109.0,119.0,128.0,211,21,31.0,36.5,42.0,66,27,110.0,119.0,129.0,211,No new vocabulary defined,http://ontology.inrae.fr/bsv/ontology/Bulletin; http://w3id.org/meta-share/meta-share/Size; http://purl.org/dc/terms/Text; http://ontology.inrae.fr/bsv/ontology/AutomaticAnnotation,1819,No regex provided,False,0,False,Insufficient data,1.027,38.75,1.0,1.0,False,Could not process formulated query on indicated enpdoint,False
2022-10-09,1,-1,Creative Commons Attribution - cc-by -,False,French Plant Health Bulletins,Plant Health Bulletins (PHB) are named Bulletins de Santé du Végétal (BSV) in french. This dataset is an open archive of PHB published after 2009.The dataset is one result of the french project untitled VESPA (Value and optimization of epidemiosurveillance devices in a sustainable crop protection strategy) leading by INRA.A PHB is an information document- both technical and regulatory in nature- written under the responsibility of a regional epidemiological surveillance committee. A PHB gathers information about the health status of crops. It first presents pest risk analysis- and it is also used to disseminate regulatory information (mandatory control order- national notes- regulation evolution- etc.) and non-regulatory information (description of pest biology or prophylactic methods- such as management of intercropping- tillage- choice of cultivars- etc.).To access PHB a french thesaurus has been developed called FrenchCropUsage. This is a thesaurus of types of crops- organized according to their destination (direct human food- animal feed- food industry- etc) and the type of culture system (field crop- market gardening- etc.). This thesaurus represents the French point of view. More information are available at http://ontology.irstea.fr/pmwiki.php/Site/BSV, http://ontology.irstea.fr/bsv/,absent,0.75,[],{},nan,0,592997,bsv,0.056,0.059,0.070,0.073,0.088,12,14.0,14.0,14.0,14,False,False,[],fr; en, http://ontology.irstea.fr/bsv//sparql,Not provided,1.0,1.0,1.0,1819,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Stephan Bernard; Email:stephan.bernard@irstea.fr,Not indicated,Not indicated,Web: http://ontology.irstea.fr/bsv/ Name:catherine roussey Email:catherine.roussey@irstea.fr,False,not indicated,-,-,insufficient data,insufficient data,0.9876103926326777 (out of 592997 triples considered),1.0 (out of 2 triples considered),0.00,0,Insufficient data,Could not process formulated query on indicated enpdoint,43,109.0,119.0,128.0,211,21,31.0,36.5,42.0,66,27,110.0,119.0,129.0,211,No new vocabulary defined,http://ontology.inrae.fr/bsv/ontology/Bulletin; http://w3id.org/meta-share/meta-share/Size; http://purl.org/dc/terms/Text; http://ontology.inrae.fr/bsv/ontology/AutomaticAnnotation,1819,No regex provided,False,0,False,Insufficient data,1.027,38.75,1.0,1.0,False,Could not process formulated query on indicated enpdoint,False
