Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,1,0,Creative Commons Attribution - cc-by -,False,English Heritage Periods List,English Heritage Periods List,absent,False,0.5,1,0,0.001,0,360106,englishheritageperiodslist,0.426,0.430,0.431,0.436,0.441,3,3.0,3.0,3.0,3,False,True,[],QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. Response:bIncomplete or invalid Group Graph pattern. Could not handle &quot;     BIND(LANG(?o) as ?triples&quot; in ARC2_SPARQLPlusParser,http://heritagedata.org/live/sparql,Not provided,-,-,-,61,-,0.0,1.0,-,Impossible to retrieve the terms defined in the dataset,0.0,0.0,8.280915739779956e-05,Not indicated,Name: Ceri Binding; Email:ceri.binding@southwales.ac.uk,Not indicated,Could not process formulated query on indicated enpdoint,Web:absent Name:absent Email:absent,False,not indicated,-,-,insufficient data,insufficient data,insufficient data,Could not process formulated query on indicated endpoint,0.00,0,Insufficient data,28,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,61,No regex provided,True,12,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint,0.626,44.78,1.0,1.0,impossible to verify,Could not process formulated query on indicated enpdoint,True
2022-07-31,1,0,Creative Commons Attribution - cc-by -,False,English Heritage Periods List,English Heritage Periods List,absent,False,0.5,1,0,0.001,0,360106,englishheritageperiodslist,0.428,0.430,0.434,0.446,1.445,2,3.0,3.0,3.0,3,False,True,[],QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. Response:bIncomplete or invalid Group Graph pattern. Could not handle &quot;     BIND(LANG(?o) as ?triples&quot; in ARC2_SPARQLPlusParser,http://heritagedata.org/live/sparql,Not provided,-,-,-,61,-,0.0,1.0,-,Impossible to retrieve the terms defined in the dataset,0.0,0.0,8.280915739779956e-05,Not indicated,Name: Ceri Binding; Email:ceri.binding@southwales.ac.uk,Not indicated,Could not process formulated query on indicated enpdoint,Web:absent Name:absent Email:absent,False,not indicated,-,-,insufficient data,insufficient data,insufficient data,Could not process formulated query on indicated endpoint,0.00,0,Insufficient data,28,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,61,No regex provided,True,12,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint,0.626,0.17,1.0,1.0,impossible to verify,Could not process formulated query on indicated enpdoint,True
2022-08-07,1,0,Creative Commons Attribution - cc-by -,False,English Heritage Periods List,English Heritage Periods List,absent,absent,0.5,1,0,0.001,0,360106,englishheritageperiodslist,0.416,0.420,0.425,0.428,0.540,3,3.0,3.0,3.0,3,False,True,[],QueryBadFormed: a bad request has been sent to the endpoint; probably the sparql query is bad formed. Response:bIncomplete or invalid Group Graph pattern. Could not handle &quot;     BIND(LANG(?o) as ?triples&quot; in ARC2_SPARQLPlusParser,http://heritagedata.org/live/sparql,Not provided,-,-,-,61,-,0.0,1.0,-,Impossible to retrieve the terms defined in the dataset,0.0,0.0,8.280915739779956e-05,Not indicated,Name: Ceri Binding; Email:ceri.binding@southwales.ac.uk,Not indicated,Could not process formulated query on indicated enpdoint,Web:absent Name:absent Email:absent,False,not indicated,-,-,insufficient data,insufficient data,insufficient data,Could not process formulated query on indicated endpoint,0.00,0,Insufficient data,28,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,61,No regex provided,True,12,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint,0.626,0.17,1.0,1.0,impossible to verify,Could not process formulated query on indicated enpdoint,True
2022-08-21,1,0,Creative Commons Attribution - cc-by -,False,English Heritage Periods List,English Heritage Periods List,absent,False,0.5,1,0,0.001,0,360106,englishheritageperiodslist,0.414,0.418,0.432,0.434,0.448,2,3.0,3.0,3.0,3,False,True,[],QueryBadFormed: a bad request has been sent to the endpoint; probably the sparql query is bad formed. Response:bIncomplete or invalid Group Graph pattern. Could not handle &quot;     BIND(LANG(?o) as ?triples&quot; in ARC2_SPARQLPlusParser,http://heritagedata.org/live/sparql,Not provided,-,-,-,61,-,0.0,1.0,-,Impossible to retrieve the terms defined in the dataset,0.0,0.0,8.280915739779956e-05,Not indicated,Name: Ceri Binding; Email:ceri.binding@southwales.ac.uk,Not indicated,Could not process formulated query on indicated enpdoint,Web:absent Name:absent Email:absent,False,not indicated,-,-,insufficient data,insufficient data,insufficient data,Could not process formulated query on indicated endpoint,0.00,0,Insufficient data,28,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,61,No regex provided,True,12,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint,0.626,27.53,1.0,1.0,impossible to verify,Could not process formulated query on indicated enpdoint,True
2022-08-28,1,0,Creative Commons Attribution - cc-by -,False,English Heritage Periods List,English Heritage Periods List,absent,False,0.5,1,0,0.001,0,360187,englishheritageperiodslist,0.439,0.447,0.452,0.454,0.471,3,3.0,3.0,3.0,3,False,True,[],QueryBadFormed: a bad request has been sent to the endpoint; probably the sparql query is bad formed. Response:bIncomplete or invalid Group Graph pattern. Could not handle &quot;     BIND(LANG(?o) as ?triples&quot; in ARC2_SPARQLPlusParser,http://heritagedata.org/live/sparql,Not provided,-,-,-,61,-,0.0,1.0,-,Impossible to retrieve the terms defined in the dataset,0.0,0.0,8.280915739779956e-05,Not indicated,Name: Ceri Binding; Email:ceri.binding@southwales.ac.uk,Not indicated,Could not process formulated query on indicated enpdoint,Web:absent Name:absent Email:absent,False,not indicated,-,-,insufficient data,insufficient data,insufficient data,Could not process formulated query on indicated endpoint,0.00,0,Insufficient data,28,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,61,No regex provided,True,12,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint,0.626,27.53,1.0,1.0,impossible to verify,Could not process formulated query on indicated enpdoint,True
2022-09-04,1,0,Creative Commons Attribution - cc-by -,False,English Heritage Periods List,English Heritage Periods List,absent,False,0.5,1,0,0.001,0,360187,englishheritageperiodslist,0.440,0.447,0.466,0.470,0.554,3,3.0,3.0,3.0,3,False,True,[],QueryBadFormed: a bad request has been sent to the endpoint; probably the sparql query is bad formed. Response:bIncomplete or invalid Group Graph pattern. Could not handle &quot;     BIND(LANG(?o) as ?triples&quot; in ARC2_SPARQLPlusParser,http://heritagedata.org/live/sparql,Not provided,-,-,-,61,-,-,1.0,-,Impossible to retrieve the terms defined in the dataset,-,-,8.280915739779956e-05,Not indicated,Name: Ceri Binding; Email:ceri.binding@southwales.ac.uk,Not indicated,Could not process formulated query on indicated enpdoint,Web:absent Name:absent Email:absent,False,not indicated,-,-,insufficient data,insufficient data,insufficient data,Could not process formulated query on indicated endpoint,0.00,0,Insufficient data,28,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,61,No regex provided,True,12,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint,0.626,0.2,1.0,1.0,impossible to verify,Could not process formulated query on indicated enpdoint,True
2022-09-11,1,0,Creative Commons Attribution - cc-by -,False,English Heritage Periods List,English Heritage Periods List,absent,False,0.5,1,0,0.001,0,360187,englishheritageperiodslist,0.421,0.434,0.435,0.438,0.445,3,3.0,3.0,3.0,3,False,True,[],QueryBadFormed: a bad request has been sent to the endpoint; probably the sparql query is bad formed. Response:bIncomplete or invalid Group Graph pattern. Could not handle &quot;     BIND(LANG(?o) as ?triples&quot; in ARC2_SPARQLPlusParser,http://heritagedata.org/live/sparql,Not provided,-,-,-,61,-,-,1.0,-,Impossible to retrieve the terms defined in the dataset,-,-,8.280915739779956e-05,Not indicated,Name: Ceri Binding; Email:ceri.binding@southwales.ac.uk,Not indicated,Could not process formulated query on indicated enpdoint,Web:absent Name:absent Email:absent,False,not indicated,-,-,insufficient data,insufficient data,insufficient data,Could not process formulated query on indicated endpoint,0.00,0,Insufficient data,28,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,61,No regex provided,True,12,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint,0.626,0.2,1.0,1.0,impossible to verify,Could not process formulated query on indicated enpdoint,True
2022-09-18,1,0,Creative Commons Attribution - cc-by -,False,English Heritage Periods List,English Heritage Periods List,absent,False,0.5,1,0,0.001,0,360187,englishheritageperiodslist,0.440,0.448,0.453,0.458,0.464,3,3.0,3.0,3.0,3,False,True,[],QueryBadFormed: a bad request has been sent to the endpoint; probably the sparql query is bad formed. Response:bIncomplete or invalid Group Graph pattern. Could not handle &quot;     BIND(LANG(?o) as ?triples&quot; in ARC2_SPARQLPlusParser,http://heritagedata.org/live/sparql,Not provided,-,-,-,61,-,-,1.0,-,Impossible to retrieve the terms defined in the dataset,-,-,8.280915739779956e-05,Not indicated,Name: Ceri Binding; Email:ceri.binding@southwales.ac.uk,Not indicated,Could not process formulated query on indicated enpdoint,Web:absent Name:absent Email:absent,False,not indicated,-,-,insufficient data,insufficient data,insufficient data,Could not process formulated query on indicated endpoint,0.00,0,Insufficient data,28,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,61,No regex provided,True,12,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint,0.626,23.62,1.0,1.0,impossible to verify,Could not process formulated query on indicated enpdoint,True
2022-10-02,1,0,Creative Commons Attribution - cc-by -,False,English Heritage Periods List,English Heritage Periods List,absent,False,0.5,1,0,0.001,0,360187,englishheritageperiodslist,0.424,0.426,0.435,0.441,0.445,3,3.0,3.0,3.0,3,False,True,[],QueryBadFormed: a bad request has been sent to the endpoint; probably the sparql query is bad formed. Response:bIncomplete or invalid Group Graph pattern. Could not handle &quot;     BIND(LANG(?o) as ?triples&quot; in ARC2_SPARQLPlusParser,http://heritagedata.org/live/sparql,Not provided,-,-,-,61,-,-,1.0,-,Impossible to retrieve the terms defined in the dataset,-,-,8.280915739779956e-05,Not indicated,Name: Ceri Binding; Email:ceri.binding@southwales.ac.uk,Not indicated,Could not process formulated query on indicated enpdoint,Web:absent Name:absent Email:absent,False,not indicated,-,-,insufficient data,insufficient data,insufficient data,Could not process formulated query on indicated endpoint,0.00,0,Insufficient data,28,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,61,No regex provided,True,12,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint,0.626,23.62,1.0,1.0,impossible to verify,Could not process formulated query on indicated enpdoint,True
2022-10-09,1,0,Creative Commons Attribution - cc-by -,False,English Heritage Periods List,English Heritage Periods List,absent,False,0.5,1,0,0.001,0,360187,englishheritageperiodslist,0.421,0.470,0.473,0.498,0.605,2,2.0,2.0,2.0,2,False,True,[],QueryBadFormed: a bad request has been sent to the endpoint; probably the sparql query is bad formed. Response:bIncomplete or invalid Group Graph pattern. Could not handle &quot;     BIND(LANG(?o) as ?triples&quot; in ARC2_SPARQLPlusParser,http://heritagedata.org/live/sparql,Not provided,-,-,-,61,-,-,1.0,-,Impossible to retrieve the terms defined in the dataset,-,-,8.280915739779956e-05,Not indicated,Name: Ceri Binding; Email:ceri.binding@southwales.ac.uk,Not indicated,Could not process formulated query on indicated enpdoint,Web:absent Name:absent Email:absent,False,not indicated,-,-,insufficient data,insufficient data,insufficient data,Could not process formulated query on indicated endpoint,0.00,0,Insufficient data,28,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,61,No regex provided,True,12,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint,0.626,23.62,1.0,1.0,impossible to verify,Could not process formulated query on indicated enpdoint,True
