Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,-1,0,False,-,geo.place,Geo.place LDW for schema:Place,http://rdf.onekin.org/geo/place/(text),absent,0.75,[],{},nan,-,0,geoplace_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,http://rdf.onekin.org; http://rdf.onekin.org/geo/place/(text); ; Nbe2d660cef9747a08cd9a0ecace46d6e; http://purl.org/net/provenance/ns#DataItem; https://raw.githubusercontent.com/onekin/ldw/master/geo/geo.place.xml; 2022-07-22T13:46:08; http://purl.org/net/provenance/ns#DataCreation; http://purl.org/net/provenance/ns#CreationGuideline; N8170d1c9b80148119092c0b3bf06606e; N72ab605838e54566a798ef9adf754cc2; N6528d29999ce48638cb5da1de5e4dc72,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,http://rdf.onekin.org; http://rdf.onekin.org/geo/place/(text); ; Nbe2d660cef9747a08cd9a0ecace46d6e; http://purl.org/net/provenance/ns#DataItem; https://raw.githubusercontent.com/onekin/ldw/master/geo/geo.place.xml; 2022-07-22T13:46:08; http://purl.org/net/provenance/ns#DataCreation; http://purl.org/net/provenance/ns#CreationGuideline; N8170d1c9b80148119092c0b3bf06606e; N72ab605838e54566a798ef9adf754cc2; N6528d29999ce48638cb5da1de5e4dc72,absent,absent,Web:http://rdf.onekin.org/geo/place/(text) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-07-22,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,http://rdf.onekin.org; http://rdf.onekin.org/geo/place/(text); ; Nbe2d660cef9747a08cd9a0ecace46d6e; http://purl.org/net/provenance/ns#DataItem; https://raw.githubusercontent.com/onekin/ldw/master/geo/geo.place.xml; 2022-07-22T13:46:08; http://purl.org/net/provenance/ns#DataCreation; http://purl.org/net/provenance/ns#CreationGuideline; N8170d1c9b80148119092c0b3bf06606e; N72ab605838e54566a798ef9adf754cc2; N6528d29999ce48638cb5da1de5e4dc72,False,endpoint absent,endpoint absent,insufficient data,1.037,44.84,-,-,endpoint absent,absent,False
2022-07-31,-1,0,False,-,geo.place,Geo.place LDW for schema:Place,http://rdf.onekin.org/geo/place/(text),absent,0.75,[],{},nan,-,0,geoplace_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/geo/place/(text) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.237,0.06,-,-,endpoint absent,endpoint absent,True
2022-08-07,-1,0,False,-,geo.place,Geo.place LDW for schema:Place,http://rdf.onekin.org/geo/place/(text),absent,0.75,[],{},nan,-,0,geoplace_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/geo/place/(text) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.237,0.06,-,-,endpoint absent,endpoint absent,True
2022-08-21,-1,0,False,-,geo.place,Geo.place LDW for schema:Place,http://rdf.onekin.org/geo/place/(text),absent,0.75,[],{},nan,-,0,geoplace_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/geo/place/(text) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.237,10.42,-,-,endpoint absent,endpoint absent,True
2022-08-28,-1,0,False,-,geo.place,Geo.place LDW for schema:Place,http://rdf.onekin.org/geo/place/(text),absent,0.75,[],{},nan,-,0,geoplace_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/geo/place/(text) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.237,10.42,-,-,endpoint absent,endpoint absent,True
2022-09-04,-1,-1,False,-,geo.place,Geo.place LDW for schema:Place,http://rdf.onekin.org/geo/place/(text),absent,0.75,[],{},nan,-,0,geoplace_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,http://purl.org/net/provenance/ns#DataItem; Ne3ce91330f70459880864f7f24a8bf4c; 2022-09-08T00:27:35; Nc58125a16feb44368a343842c623192f; N7dc7531b86c74b5998f11f3d0100324a; https://raw.githubusercontent.com/onekin/ldw/master/geo/geo.place.xml; http://purl.org/net/provenance/ns#CreationGuideline; http://rdf.onekin.org/geo/place/(text); Nc1e3c2ced8b549259f1bc79530e8e1b7; http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataCreation; ,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,http://purl.org/net/provenance/ns#DataItem; Ne3ce91330f70459880864f7f24a8bf4c; 2022-09-08T00:27:35; Nc58125a16feb44368a343842c623192f; N7dc7531b86c74b5998f11f3d0100324a; https://raw.githubusercontent.com/onekin/ldw/master/geo/geo.place.xml; http://purl.org/net/provenance/ns#CreationGuideline; http://rdf.onekin.org/geo/place/(text); Nc1e3c2ced8b549259f1bc79530e8e1b7; http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataCreation; ,absent,absent,Web:http://rdf.onekin.org/geo/place/(text) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-09-08,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,http://purl.org/net/provenance/ns#DataItem; Ne3ce91330f70459880864f7f24a8bf4c; 2022-09-08T00:27:35; Nc58125a16feb44368a343842c623192f; N7dc7531b86c74b5998f11f3d0100324a; https://raw.githubusercontent.com/onekin/ldw/master/geo/geo.place.xml; http://purl.org/net/provenance/ns#CreationGuideline; http://rdf.onekin.org/geo/place/(text); Nc1e3c2ced8b549259f1bc79530e8e1b7; http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataCreation; ,False,endpoint absent,endpoint absent,insufficient data,0.487,0.16,-,-,endpoint absent,absent,False
2022-09-11,-1,-1,False,-,geo.place,Geo.place LDW for schema:Place,http://rdf.onekin.org/geo/place/(text),absent,0.75,[],{},nan,-,0,geoplace_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,; http://purl.org/net/provenance/ns#DataItem; http://rdf.onekin.org/geo/place/(text); Nbeb638d7438047b6849f70356f4ec6b7; http://purl.org/net/provenance/ns#DataCreation; 2022-09-14T13:06:49; https://raw.githubusercontent.com/onekin/ldw/master/geo/geo.place.xml; http://purl.org/net/provenance/ns#CreationGuideline; N54fa42f241cc4b96ad6b33afab872de6; N4e291bb4730940d2ac5226409586f2a7; http://rdf.onekin.org; N0d95ebc79e074fdea456bf1afe95c3f5,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,; http://purl.org/net/provenance/ns#DataItem; http://rdf.onekin.org/geo/place/(text); Nbeb638d7438047b6849f70356f4ec6b7; http://purl.org/net/provenance/ns#DataCreation; 2022-09-14T13:06:49; https://raw.githubusercontent.com/onekin/ldw/master/geo/geo.place.xml; http://purl.org/net/provenance/ns#CreationGuideline; N54fa42f241cc4b96ad6b33afab872de6; N4e291bb4730940d2ac5226409586f2a7; http://rdf.onekin.org; N0d95ebc79e074fdea456bf1afe95c3f5,absent,absent,Web:http://rdf.onekin.org/geo/place/(text) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-09-14,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,; http://purl.org/net/provenance/ns#DataItem; http://rdf.onekin.org/geo/place/(text); Nbeb638d7438047b6849f70356f4ec6b7; http://purl.org/net/provenance/ns#DataCreation; 2022-09-14T13:06:49; https://raw.githubusercontent.com/onekin/ldw/master/geo/geo.place.xml; http://purl.org/net/provenance/ns#CreationGuideline; N54fa42f241cc4b96ad6b33afab872de6; N4e291bb4730940d2ac5226409586f2a7; http://rdf.onekin.org; N0d95ebc79e074fdea456bf1afe95c3f5,False,endpoint absent,endpoint absent,insufficient data,0.487,0.16,-,-,endpoint absent,absent,False
2022-09-18,-1,-1,False,-,geo.place,Geo.place LDW for schema:Place,http://rdf.onekin.org/geo/place/(text),absent,0.75,[],{},nan,-,0,geoplace_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,2022-09-21T12:49:23; http://rdf.onekin.org; http://rdf.onekin.org/geo/place/(text); ; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataItem; Ndfe40b25f4934d4aa8229dc7c9dcce8a; Nbbca977b1215476594cfd52474480887; https://raw.githubusercontent.com/onekin/ldw/master/geo/geo.place.xml; http://purl.org/net/provenance/ns#DataCreation; Ncc1c164bf95e4acbb24394b411dc64cf; N1f039b39601949488c9559d41c033a8a,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,2022-09-21T12:49:23; http://rdf.onekin.org; http://rdf.onekin.org/geo/place/(text); ; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataItem; Ndfe40b25f4934d4aa8229dc7c9dcce8a; Nbbca977b1215476594cfd52474480887; https://raw.githubusercontent.com/onekin/ldw/master/geo/geo.place.xml; http://purl.org/net/provenance/ns#DataCreation; Ncc1c164bf95e4acbb24394b411dc64cf; N1f039b39601949488c9559d41c033a8a,absent,absent,Web:http://rdf.onekin.org/geo/place/(text) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-09-21,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,2022-09-21T12:49:23; http://rdf.onekin.org; http://rdf.onekin.org/geo/place/(text); ; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataItem; Ndfe40b25f4934d4aa8229dc7c9dcce8a; Nbbca977b1215476594cfd52474480887; https://raw.githubusercontent.com/onekin/ldw/master/geo/geo.place.xml; http://purl.org/net/provenance/ns#DataCreation; Ncc1c164bf95e4acbb24394b411dc64cf; N1f039b39601949488c9559d41c033a8a,False,endpoint absent,endpoint absent,insufficient data,0.487,18.38,-,-,endpoint absent,absent,False
2022-10-02,-1,-1,False,-,geo.place,Geo.place LDW for schema:Place,http://rdf.onekin.org/geo/place/(text),absent,0.75,[],{},nan,-,0,geoplace_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/geo/place/(text) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.237,8.94,-,-,endpoint absent,endpoint absent,True
2022-10-09,-1,-1,False,-,geo.place,Geo.place LDW for schema:Place,http://rdf.onekin.org/geo/place/(text),absent,0.75,[],{},nan,-,0,geoplace_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,Na05d2a3e0f984698b119e200c6ceec17; https://raw.githubusercontent.com/onekin/ldw/master/geo/geo.place.xml; N7a37205b374b4389ba5275a5088d423a; http://purl.org/net/provenance/ns#DataCreation; http://purl.org/net/provenance/ns#CreationGuideline; 2022-10-13T02:19:14; http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataItem; N0cd70fb956734c54971d9daf198e594f; N724fec1aad964e9aac01f7f52d428797; http://rdf.onekin.org/geo/place/(text); ,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,Na05d2a3e0f984698b119e200c6ceec17; https://raw.githubusercontent.com/onekin/ldw/master/geo/geo.place.xml; N7a37205b374b4389ba5275a5088d423a; http://purl.org/net/provenance/ns#DataCreation; http://purl.org/net/provenance/ns#CreationGuideline; 2022-10-13T02:19:14; http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataItem; N0cd70fb956734c54971d9daf198e594f; N724fec1aad964e9aac01f7f52d428797; http://rdf.onekin.org/geo/place/(text); ,absent,absent,Web:http://rdf.onekin.org/geo/place/(text) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-10-13,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,Na05d2a3e0f984698b119e200c6ceec17; https://raw.githubusercontent.com/onekin/ldw/master/geo/geo.place.xml; N7a37205b374b4389ba5275a5088d423a; http://purl.org/net/provenance/ns#DataCreation; http://purl.org/net/provenance/ns#CreationGuideline; 2022-10-13T02:19:14; http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataItem; N0cd70fb956734c54971d9daf198e594f; N724fec1aad964e9aac01f7f52d428797; http://rdf.onekin.org/geo/place/(text); ,False,endpoint absent,endpoint absent,insufficient data,0.487,18.38,-,-,endpoint absent,absent,False
