Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,-1,0,False,-,instagram.person,Instagram User LDW,http://rdf.onekin.org/instagram/person/(user_id),absent,0.75,[],{},nan,-,0,instagramperson_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,http://purl.org/net/provenance/ns#DataItem; N3bfef95490b54632bc64bd22d5a9dc93; http://rdf.onekin.org; N25ce3ef53179465cb8827b0948d1ab9d; http://rdf.onekin.org/instagram/person/(user_id); 2022-07-22T18:35:41; ; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataCreation; N7904bc5e01b640868a790352cfb2af14; N5a6ce58293e243039de7b11e8ced06de; https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.person.xml,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,http://purl.org/net/provenance/ns#DataItem; N3bfef95490b54632bc64bd22d5a9dc93; http://rdf.onekin.org; N25ce3ef53179465cb8827b0948d1ab9d; http://rdf.onekin.org/instagram/person/(user_id); 2022-07-22T18:35:41; ; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataCreation; N7904bc5e01b640868a790352cfb2af14; N5a6ce58293e243039de7b11e8ced06de; https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.person.xml,absent,absent,Web:http://rdf.onekin.org/instagram/person/(user_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-07-22,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,http://purl.org/net/provenance/ns#DataItem; N3bfef95490b54632bc64bd22d5a9dc93; http://rdf.onekin.org; N25ce3ef53179465cb8827b0948d1ab9d; http://rdf.onekin.org/instagram/person/(user_id); 2022-07-22T18:35:41; ; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataCreation; N7904bc5e01b640868a790352cfb2af14; N5a6ce58293e243039de7b11e8ced06de; https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.person.xml,False,endpoint absent,endpoint absent,insufficient data,1.037,44.84,-,-,endpoint absent,absent,False
2022-07-31,-1,0,False,-,instagram.person,Instagram User LDW,http://rdf.onekin.org/instagram/person/(user_id),absent,0.75,[],{},nan,-,0,instagramperson_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/instagram/person/(user_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.237,0.06,-,-,endpoint absent,endpoint absent,True
2022-08-07,-1,0,False,-,instagram.person,Instagram User LDW,http://rdf.onekin.org/instagram/person/(user_id),absent,0.75,[],{},nan,-,0,instagramperson_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/instagram/person/(user_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.237,0.06,-,-,endpoint absent,endpoint absent,True
2022-08-21,-1,0,False,-,instagram.person,Instagram User LDW,http://rdf.onekin.org/instagram/person/(user_id),absent,0.75,[],{},nan,-,0,instagramperson_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/instagram/person/(user_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.237,10.42,-,-,endpoint absent,endpoint absent,True
2022-08-28,-1,0,False,-,instagram.person,Instagram User LDW,http://rdf.onekin.org/instagram/person/(user_id),absent,0.75,[],{},nan,-,0,instagramperson_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/instagram/person/(user_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.237,10.42,-,-,endpoint absent,endpoint absent,True
2022-09-04,-1,-1,False,-,instagram.person,Instagram User LDW,http://rdf.onekin.org/instagram/person/(user_id),absent,0.75,[],{},nan,-,0,instagramperson_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,http://purl.org/net/provenance/ns#DataItem; https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.person.xml; http://rdf.onekin.org; N931dae7193ce4279b2f8c1bf16cf6afb; N1ec08ed549d04e0f88169213be48777e; http://purl.org/net/provenance/ns#DataCreation; Nfb4c2e1086d1482082a5369794ced8c4; http://purl.org/net/provenance/ns#CreationGuideline; http://rdf.onekin.org/instagram/person/(user_id); 2022-09-08T04:42:05; ; Naf4ff96d483b487b827dd8211b6bba52,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,http://purl.org/net/provenance/ns#DataItem; https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.person.xml; http://rdf.onekin.org; N931dae7193ce4279b2f8c1bf16cf6afb; N1ec08ed549d04e0f88169213be48777e; http://purl.org/net/provenance/ns#DataCreation; Nfb4c2e1086d1482082a5369794ced8c4; http://purl.org/net/provenance/ns#CreationGuideline; http://rdf.onekin.org/instagram/person/(user_id); 2022-09-08T04:42:05; ; Naf4ff96d483b487b827dd8211b6bba52,absent,absent,Web:http://rdf.onekin.org/instagram/person/(user_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-09-08,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,http://purl.org/net/provenance/ns#DataItem; https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.person.xml; http://rdf.onekin.org; N931dae7193ce4279b2f8c1bf16cf6afb; N1ec08ed549d04e0f88169213be48777e; http://purl.org/net/provenance/ns#DataCreation; Nfb4c2e1086d1482082a5369794ced8c4; http://purl.org/net/provenance/ns#CreationGuideline; http://rdf.onekin.org/instagram/person/(user_id); 2022-09-08T04:42:05; ; Naf4ff96d483b487b827dd8211b6bba52,False,endpoint absent,endpoint absent,insufficient data,0.487,0.16,-,-,endpoint absent,absent,False
2022-09-11,-1,-1,False,-,instagram.person,Instagram User LDW,http://rdf.onekin.org/instagram/person/(user_id),absent,0.75,[],{},nan,-,0,instagramperson_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,Na1c8de4cb17c4d27a4dd0d83dcb83e0e; http://purl.org/net/provenance/ns#DataItem; 2022-09-14T17:07:51; http://purl.org/net/provenance/ns#DataCreation; N7c5392393750452181e508699bfbcf5c; http://rdf.onekin.org/instagram/person/(user_id); https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.person.xml; http://purl.org/net/provenance/ns#CreationGuideline; http://rdf.onekin.org; Nd9f6b0d0402341f39e0055d60cc07a83; N9675f6f77af74e179de769bcbd8369a1; ,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,Na1c8de4cb17c4d27a4dd0d83dcb83e0e; http://purl.org/net/provenance/ns#DataItem; 2022-09-14T17:07:51; http://purl.org/net/provenance/ns#DataCreation; N7c5392393750452181e508699bfbcf5c; http://rdf.onekin.org/instagram/person/(user_id); https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.person.xml; http://purl.org/net/provenance/ns#CreationGuideline; http://rdf.onekin.org; Nd9f6b0d0402341f39e0055d60cc07a83; N9675f6f77af74e179de769bcbd8369a1; ,absent,absent,Web:http://rdf.onekin.org/instagram/person/(user_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-09-14,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,Na1c8de4cb17c4d27a4dd0d83dcb83e0e; http://purl.org/net/provenance/ns#DataItem; 2022-09-14T17:07:51; http://purl.org/net/provenance/ns#DataCreation; N7c5392393750452181e508699bfbcf5c; http://rdf.onekin.org/instagram/person/(user_id); https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.person.xml; http://purl.org/net/provenance/ns#CreationGuideline; http://rdf.onekin.org; Nd9f6b0d0402341f39e0055d60cc07a83; N9675f6f77af74e179de769bcbd8369a1; ,False,endpoint absent,endpoint absent,insufficient data,0.487,0.16,-,-,endpoint absent,absent,False
2022-09-18,-1,-1,False,-,instagram.person,Instagram User LDW,http://rdf.onekin.org/instagram/person/(user_id),absent,0.75,[],{},nan,-,0,instagramperson_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,http://rdf.onekin.org; http://rdf.onekin.org/instagram/person/(user_id); 2022-09-21T16:51:54; http://purl.org/net/provenance/ns#DataItem; http://purl.org/net/provenance/ns#CreationGuideline; ; Ncaf3a757d5af47cbaabefd52617de565; http://purl.org/net/provenance/ns#DataCreation; N2f879508bf744c36bb0f34d95d1fc444; https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.person.xml; N8f39883a11ac430386881284b6c5745f; N1291cb537fcf4150b48de803e8c6f898,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,http://rdf.onekin.org; http://rdf.onekin.org/instagram/person/(user_id); 2022-09-21T16:51:54; http://purl.org/net/provenance/ns#DataItem; http://purl.org/net/provenance/ns#CreationGuideline; ; Ncaf3a757d5af47cbaabefd52617de565; http://purl.org/net/provenance/ns#DataCreation; N2f879508bf744c36bb0f34d95d1fc444; https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.person.xml; N8f39883a11ac430386881284b6c5745f; N1291cb537fcf4150b48de803e8c6f898,absent,absent,Web:http://rdf.onekin.org/instagram/person/(user_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-09-21,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,http://rdf.onekin.org; http://rdf.onekin.org/instagram/person/(user_id); 2022-09-21T16:51:54; http://purl.org/net/provenance/ns#DataItem; http://purl.org/net/provenance/ns#CreationGuideline; ; Ncaf3a757d5af47cbaabefd52617de565; http://purl.org/net/provenance/ns#DataCreation; N2f879508bf744c36bb0f34d95d1fc444; https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.person.xml; N8f39883a11ac430386881284b6c5745f; N1291cb537fcf4150b48de803e8c6f898,False,endpoint absent,endpoint absent,insufficient data,0.487,18.38,-,-,endpoint absent,absent,False
2022-10-02,-1,-1,False,-,instagram.person,Instagram User LDW,http://rdf.onekin.org/instagram/person/(user_id),absent,0.75,[],{},nan,-,0,instagramperson_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/instagram/person/(user_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.237,8.94,-,-,endpoint absent,endpoint absent,True
2022-10-09,-1,-1,False,-,instagram.person,Instagram User LDW,http://rdf.onekin.org/instagram/person/(user_id),absent,0.75,[],{},nan,-,0,instagramperson_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,N7a59133247bd4629b7f43cc54de6466d; N5599c0441dcc49e2af213ad93a18d0a4; ; http://purl.org/net/provenance/ns#CreationGuideline; N3384b455eb004f3494777ecb095232e4; http://rdf.onekin.org/instagram/person/(user_id); https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.person.xml; 2022-10-13T06:34:36; N3131d3ae997e41b3be8544dcdc605606; http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataCreation; http://purl.org/net/provenance/ns#DataItem,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,N7a59133247bd4629b7f43cc54de6466d; N5599c0441dcc49e2af213ad93a18d0a4; ; http://purl.org/net/provenance/ns#CreationGuideline; N3384b455eb004f3494777ecb095232e4; http://rdf.onekin.org/instagram/person/(user_id); https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.person.xml; 2022-10-13T06:34:36; N3131d3ae997e41b3be8544dcdc605606; http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataCreation; http://purl.org/net/provenance/ns#DataItem,absent,absent,Web:http://rdf.onekin.org/instagram/person/(user_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-10-13,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,N7a59133247bd4629b7f43cc54de6466d; N5599c0441dcc49e2af213ad93a18d0a4; ; http://purl.org/net/provenance/ns#CreationGuideline; N3384b455eb004f3494777ecb095232e4; http://rdf.onekin.org/instagram/person/(user_id); https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.person.xml; 2022-10-13T06:34:36; N3131d3ae997e41b3be8544dcdc605606; http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataCreation; http://purl.org/net/provenance/ns#DataItem,False,endpoint absent,endpoint absent,insufficient data,0.487,18.38,-,-,endpoint absent,absent,False
