Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,-1,0,False,-,instagram.videoobject,Instagram LDW for videoobjects,http://rdf.onekin.org/instagram/videoobject/(media_id),absent,0.75,[],{},nan,-,0,instagramvideoobject_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.videoobject.xml; http://rdf.onekin.org; http://purl.org/net/provenance/ns#CreationGuideline; Nb2d9b1b64d6249e786299876a48a5acc; Nb0d4d1b72acc4ab795526ebd28e8ca18; http://purl.org/net/provenance/ns#DataCreation; ; N77045b62eb404b128a0ed142e00d075e; 2022-07-22T18:36:05; http://purl.org/net/provenance/ns#DataItem; http://rdf.onekin.org/instagram/videoobject/(media_id); N4a769146225f48188f301848369508b5,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.videoobject.xml; http://rdf.onekin.org; http://purl.org/net/provenance/ns#CreationGuideline; Nb2d9b1b64d6249e786299876a48a5acc; Nb0d4d1b72acc4ab795526ebd28e8ca18; http://purl.org/net/provenance/ns#DataCreation; ; N77045b62eb404b128a0ed142e00d075e; 2022-07-22T18:36:05; http://purl.org/net/provenance/ns#DataItem; http://rdf.onekin.org/instagram/videoobject/(media_id); N4a769146225f48188f301848369508b5,absent,absent,Web:http://rdf.onekin.org/instagram/videoobject/(media_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-07-22,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.videoobject.xml; http://rdf.onekin.org; http://purl.org/net/provenance/ns#CreationGuideline; Nb2d9b1b64d6249e786299876a48a5acc; Nb0d4d1b72acc4ab795526ebd28e8ca18; http://purl.org/net/provenance/ns#DataCreation; ; N77045b62eb404b128a0ed142e00d075e; 2022-07-22T18:36:05; http://purl.org/net/provenance/ns#DataItem; http://rdf.onekin.org/instagram/videoobject/(media_id); N4a769146225f48188f301848369508b5,False,endpoint absent,endpoint absent,insufficient data,1.037,44.84,-,-,endpoint absent,absent,False
2022-07-31,-1,0,False,-,instagram.videoobject,Instagram LDW for videoobjects,http://rdf.onekin.org/instagram/videoobject/(media_id),absent,0.75,[],{},nan,-,0,instagramvideoobject_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/instagram/videoobject/(media_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.237,0.06,-,-,endpoint absent,endpoint absent,True
2022-08-07,-1,0,False,-,instagram.videoobject,Instagram LDW for videoobjects,http://rdf.onekin.org/instagram/videoobject/(media_id),absent,0.75,[],{},nan,-,0,instagramvideoobject_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/instagram/videoobject/(media_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.237,0.06,-,-,endpoint absent,endpoint absent,True
2022-08-21,-1,0,False,-,instagram.videoobject,Instagram LDW for videoobjects,http://rdf.onekin.org/instagram/videoobject/(media_id),absent,0.75,[],{},nan,-,0,instagramvideoobject_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/instagram/videoobject/(media_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.237,10.42,-,-,endpoint absent,endpoint absent,True
2022-08-28,-1,0,False,-,instagram.videoobject,Instagram LDW for videoobjects,http://rdf.onekin.org/instagram/videoobject/(media_id),absent,0.75,[],{},nan,-,0,instagramvideoobject_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/instagram/videoobject/(media_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.237,10.42,-,-,endpoint absent,endpoint absent,True
2022-09-04,-1,-1,False,-,instagram.videoobject,Instagram LDW for videoobjects,http://rdf.onekin.org/instagram/videoobject/(media_id),absent,0.75,[],{},nan,-,0,instagramvideoobject_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,N9007ec92b24a42cdb5a4d1366ac9afe3; ; http://rdf.onekin.org/instagram/videoobject/(media_id); 2022-09-08T04:42:29; http://rdf.onekin.org; Nba80be4e7f304888a1986bd5a8d17d73; http://purl.org/net/provenance/ns#DataItem; http://purl.org/net/provenance/ns#CreationGuideline; Nb66930b31c7e4b56aa68b56a1cf5cd89; https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.videoobject.xml; N5b1882536d5445fc841be74460a8c853; http://purl.org/net/provenance/ns#DataCreation,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,N9007ec92b24a42cdb5a4d1366ac9afe3; ; http://rdf.onekin.org/instagram/videoobject/(media_id); 2022-09-08T04:42:29; http://rdf.onekin.org; Nba80be4e7f304888a1986bd5a8d17d73; http://purl.org/net/provenance/ns#DataItem; http://purl.org/net/provenance/ns#CreationGuideline; Nb66930b31c7e4b56aa68b56a1cf5cd89; https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.videoobject.xml; N5b1882536d5445fc841be74460a8c853; http://purl.org/net/provenance/ns#DataCreation,absent,absent,Web:http://rdf.onekin.org/instagram/videoobject/(media_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-09-08,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,N9007ec92b24a42cdb5a4d1366ac9afe3; ; http://rdf.onekin.org/instagram/videoobject/(media_id); 2022-09-08T04:42:29; http://rdf.onekin.org; Nba80be4e7f304888a1986bd5a8d17d73; http://purl.org/net/provenance/ns#DataItem; http://purl.org/net/provenance/ns#CreationGuideline; Nb66930b31c7e4b56aa68b56a1cf5cd89; https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.videoobject.xml; N5b1882536d5445fc841be74460a8c853; http://purl.org/net/provenance/ns#DataCreation,False,endpoint absent,endpoint absent,insufficient data,0.487,0.16,-,-,endpoint absent,absent,False
2022-09-11,-1,-1,False,-,instagram.videoobject,Instagram LDW for videoobjects,http://rdf.onekin.org/instagram/videoobject/(media_id),absent,0.75,[],{},nan,-,0,instagramvideoobject_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,2022-09-14T17:08:15; Nfbe2e19fbb6046ab951ee00bd5b151d6; http://purl.org/net/provenance/ns#CreationGuideline; ; http://rdf.onekin.org/instagram/videoobject/(media_id); N20c30345ba814830bdc872a431f8e3f6; http://purl.org/net/provenance/ns#DataItem; N1c1a5146e81b423ab74cc9c42dc6d750; http://rdf.onekin.org; N59d5a74e0dfa45e4bf31a0985ab54e3e; https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.videoobject.xml; http://purl.org/net/provenance/ns#DataCreation,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,2022-09-14T17:08:15; Nfbe2e19fbb6046ab951ee00bd5b151d6; http://purl.org/net/provenance/ns#CreationGuideline; ; http://rdf.onekin.org/instagram/videoobject/(media_id); N20c30345ba814830bdc872a431f8e3f6; http://purl.org/net/provenance/ns#DataItem; N1c1a5146e81b423ab74cc9c42dc6d750; http://rdf.onekin.org; N59d5a74e0dfa45e4bf31a0985ab54e3e; https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.videoobject.xml; http://purl.org/net/provenance/ns#DataCreation,absent,absent,Web:http://rdf.onekin.org/instagram/videoobject/(media_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-09-14,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,2022-09-14T17:08:15; Nfbe2e19fbb6046ab951ee00bd5b151d6; http://purl.org/net/provenance/ns#CreationGuideline; ; http://rdf.onekin.org/instagram/videoobject/(media_id); N20c30345ba814830bdc872a431f8e3f6; http://purl.org/net/provenance/ns#DataItem; N1c1a5146e81b423ab74cc9c42dc6d750; http://rdf.onekin.org; N59d5a74e0dfa45e4bf31a0985ab54e3e; https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.videoobject.xml; http://purl.org/net/provenance/ns#DataCreation,False,endpoint absent,endpoint absent,insufficient data,0.487,0.16,-,-,endpoint absent,absent,False
2022-09-18,-1,-1,False,-,instagram.videoobject,Instagram LDW for videoobjects,http://rdf.onekin.org/instagram/videoobject/(media_id),absent,0.75,[],{},nan,-,0,instagramvideoobject_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,; http://purl.org/net/provenance/ns#DataItem; http://purl.org/net/provenance/ns#DataCreation; https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.videoobject.xml; N220c71a0fd964494ae12df9caa13a33c; Nee56015afd94464e984f36631929679b; http://rdf.onekin.org/instagram/videoobject/(media_id); Nf6911020949248509f1fc9507704bb58; http://rdf.onekin.org; Na93b8fca90cf49f7a20b347de36998b9; 2022-09-21T16:52:18; http://purl.org/net/provenance/ns#CreationGuideline,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,; http://purl.org/net/provenance/ns#DataItem; http://purl.org/net/provenance/ns#DataCreation; https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.videoobject.xml; N220c71a0fd964494ae12df9caa13a33c; Nee56015afd94464e984f36631929679b; http://rdf.onekin.org/instagram/videoobject/(media_id); Nf6911020949248509f1fc9507704bb58; http://rdf.onekin.org; Na93b8fca90cf49f7a20b347de36998b9; 2022-09-21T16:52:18; http://purl.org/net/provenance/ns#CreationGuideline,absent,absent,Web:http://rdf.onekin.org/instagram/videoobject/(media_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-09-21,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,; http://purl.org/net/provenance/ns#DataItem; http://purl.org/net/provenance/ns#DataCreation; https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.videoobject.xml; N220c71a0fd964494ae12df9caa13a33c; Nee56015afd94464e984f36631929679b; http://rdf.onekin.org/instagram/videoobject/(media_id); Nf6911020949248509f1fc9507704bb58; http://rdf.onekin.org; Na93b8fca90cf49f7a20b347de36998b9; 2022-09-21T16:52:18; http://purl.org/net/provenance/ns#CreationGuideline,False,endpoint absent,endpoint absent,insufficient data,0.487,18.38,-,-,endpoint absent,absent,False
2022-10-02,-1,-1,False,-,instagram.videoobject,Instagram LDW for videoobjects,http://rdf.onekin.org/instagram/videoobject/(media_id),absent,0.75,[],{},nan,-,0,instagramvideoobject_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/instagram/videoobject/(media_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.237,8.94,-,-,endpoint absent,endpoint absent,True
2022-10-09,-1,-1,False,-,instagram.videoobject,Instagram LDW for videoobjects,http://rdf.onekin.org/instagram/videoobject/(media_id),absent,0.75,[],{},nan,-,0,instagramvideoobject_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,http://rdf.onekin.org; N65cb166acbaa49aa9ac3f9cac5efaf7d; N7c6ad1404dba44e29797366d16d40c06; http://purl.org/net/provenance/ns#DataCreation; N8d09a365cf244d8fa14d079c6c2f053a; Nf2afa13865424f8fbe1ebc7c758b41b0; 2022-10-13T06:35:03; http://purl.org/net/provenance/ns#DataItem; http://rdf.onekin.org/instagram/videoobject/(media_id); ; https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.videoobject.xml; http://purl.org/net/provenance/ns#CreationGuideline,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,http://rdf.onekin.org; N65cb166acbaa49aa9ac3f9cac5efaf7d; N7c6ad1404dba44e29797366d16d40c06; http://purl.org/net/provenance/ns#DataCreation; N8d09a365cf244d8fa14d079c6c2f053a; Nf2afa13865424f8fbe1ebc7c758b41b0; 2022-10-13T06:35:03; http://purl.org/net/provenance/ns#DataItem; http://rdf.onekin.org/instagram/videoobject/(media_id); ; https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.videoobject.xml; http://purl.org/net/provenance/ns#CreationGuideline,absent,absent,Web:http://rdf.onekin.org/instagram/videoobject/(media_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-10-13,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,http://rdf.onekin.org; N65cb166acbaa49aa9ac3f9cac5efaf7d; N7c6ad1404dba44e29797366d16d40c06; http://purl.org/net/provenance/ns#DataCreation; N8d09a365cf244d8fa14d079c6c2f053a; Nf2afa13865424f8fbe1ebc7c758b41b0; 2022-10-13T06:35:03; http://purl.org/net/provenance/ns#DataItem; http://rdf.onekin.org/instagram/videoobject/(media_id); ; https://raw.githubusercontent.com/onekin/ldw/master/instagram/instagram.videoobject.xml; http://purl.org/net/provenance/ns#CreationGuideline,False,endpoint absent,endpoint absent,insufficient data,0.487,18.38,-,-,endpoint absent,absent,False
