Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,1,0,Creative Commons Attribution - cc-by -,False,LDQM - Accessibility of DBpedia resources,This dataset contains the results of a quality assessment focused on the accessibility of IRIs contained in the DBpedia resources about persons and places. This assessment was performed using the [LD Sniffer](https://github.com/nandana/ld-sniffer) tool. The information about the evaluation process- metrics used- and results are described using the [Linked Data Quality Model](http://www.linkeddata.es/ontology/ldq#). ,http://nandana.github.io/ld-sniffer/,absent,0.75,[],{},nan,1,19935088,ldqmdbpedia2016,0.116,0.116,0.116,0.116,0.205,8,9.0,9.0,9.0,9,False,False,[],en,http://linkeddata.es/resource/ldqm/sparql,Not provided,1.0,1.0,1.0,56,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Nandana Mihindukulasooriya; Email:nandana.cse@gmail.com,Not indicated,Not indicated,Web:http://nandana.github.io/ld-sniffer/ Name:Nandana Mihindukulasooriya Email:nandana.cse@gmail.com,False,not indicated,2016-05-05,2016-05-05,527,2269,0.9881 (out of 10000 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,23,28,59.0,68.0,77.0,92,29,45.0,52.0,57.0,75,28,58.0,66.0,76.0,92,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://purl.org/net/EvaluationResult#Evaluation; http://purl.org/net/EvaluationResult#QualityValue; http://purl.org/eis/vocab/qpro#QualityReport; http://www.linkeddata.es/ontology/ldq#AssessmentTechnique; http://purl.org/net/QualityModel#BaseMeasure; http://purl.org/net/QualityModel#QualityMeasure; http://purl.org/net/QualityModel#DerivedMeasure; http://purl.org/net/QualityModel#QualityIndicator; http://www.wurvoc.org/vocabularies/om-1.8/Ratio_scale; http://purl.org/net/QualityModel#QualityCharacteristic; http://purl.org/eis/vocab/qpro#QualityProblem; http://linkeddata.es/resource/ldqm/Defect/UndereferenceableURI,56,No regex provided,False,5936644,True,2016-05-05|527,1.071,44.84,1.0,1.0,True,[],True
2022-07-31,1,0,Creative Commons Attribution - cc-by -,False,LDQM - Accessibility of DBpedia resources,This dataset contains the results of a quality assessment focused on the accessibility of IRIs contained in the DBpedia resources about persons and places. This assessment was performed using the [LD Sniffer](https://github.com/nandana/ld-sniffer) tool. The information about the evaluation process- metrics used- and results are described using the [Linked Data Quality Model](http://www.linkeddata.es/ontology/ldq#). ,http://nandana.github.io/ld-sniffer/,absent,0.75,[],{},nan,1,19935088,ldqmdbpedia2016,0.101,0.101,0.103,0.103,0.167,10,10.0,10.0,11.0,11,False,False,[],en,http://linkeddata.es/resource/ldqm/sparql,Not provided,1.0,1.0,1.0,56,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Nandana Mihindukulasooriya; Email:nandana.cse@gmail.com,Not indicated,Not indicated,Web:http://nandana.github.io/ld-sniffer/ Name:Nandana Mihindukulasooriya Email:nandana.cse@gmail.com,False,not indicated,2016-05-05,2016-05-05,527,2281,0.9881 (out of 10000 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,23,28,59.0,68.0,77.0,92,29,45.0,52.0,57.0,75,28,58.0,66.0,76.0,92,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://purl.org/net/EvaluationResult#Evaluation; http://purl.org/net/EvaluationResult#QualityValue; http://purl.org/eis/vocab/qpro#QualityReport; http://www.linkeddata.es/ontology/ldq#AssessmentTechnique; http://purl.org/net/QualityModel#BaseMeasure; http://purl.org/net/QualityModel#QualityMeasure; http://purl.org/net/QualityModel#DerivedMeasure; http://purl.org/net/QualityModel#QualityIndicator; http://www.wurvoc.org/vocabularies/om-1.8/Ratio_scale; http://purl.org/net/QualityModel#QualityCharacteristic; http://purl.org/eis/vocab/qpro#QualityProblem; http://linkeddata.es/resource/ldqm/Defect/UndereferenceableURI,56,No regex provided,False,5936644,True,2016-05-05|527,1.071,0.29,1.0,1.0,True,Could not process formulated query on indicated enpdoint,True
2022-08-07,1,0,Creative Commons Attribution - cc-by -,False,LDQM - Accessibility of DBpedia resources,This dataset contains the results of a quality assessment focused on the accessibility of IRIs contained in the DBpedia resources about persons and places. This assessment was performed using the [LD Sniffer](https://github.com/nandana/ld-sniffer) tool. The information about the evaluation process- metrics used- and results are described using the [Linked Data Quality Model](http://www.linkeddata.es/ontology/ldq#). ,http://nandana.github.io/ld-sniffer/,absent,0.75,[],{},nan,1,19935088,ldqmdbpedia2016,0.099,0.102,0.102,0.102,0.166,10,10.0,10.0,11.0,11,False,False,[],en,http://linkeddata.es/resource/ldqm/sparql,Not provided,1.0,1.0,1.0,56,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Nandana Mihindukulasooriya; Email:nandana.cse@gmail.com,Not indicated,Not indicated,Web:http://nandana.github.io/ld-sniffer/ Name:Nandana Mihindukulasooriya Email:nandana.cse@gmail.com,False,not indicated,2016-05-05,2016-05-05,527,2288,0.9881 (out of 10000 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,23,28,59.0,68.0,77.0,92,29,45.0,52.0,57.0,75,28,58.0,66.0,76.0,92,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://purl.org/net/EvaluationResult#Evaluation; http://purl.org/net/EvaluationResult#QualityValue; http://purl.org/eis/vocab/qpro#QualityReport; http://www.linkeddata.es/ontology/ldq#AssessmentTechnique; http://purl.org/net/QualityModel#BaseMeasure; http://purl.org/net/QualityModel#QualityMeasure; http://purl.org/net/QualityModel#DerivedMeasure; http://purl.org/net/QualityModel#QualityIndicator; http://www.wurvoc.org/vocabularies/om-1.8/Ratio_scale; http://purl.org/net/QualityModel#QualityCharacteristic; http://purl.org/eis/vocab/qpro#QualityProblem; http://linkeddata.es/resource/ldqm/Defect/UndereferenceableURI,56,No regex provided,False,5936644,True,2016-05-05|527,1.071,0.29,1.0,1.0,True,Could not process formulated query on indicated enpdoint,True
2022-08-21,1,0,Creative Commons Attribution - cc-by -,False,LDQM - Accessibility of DBpedia resources,This dataset contains the results of a quality assessment focused on the accessibility of IRIs contained in the DBpedia resources about persons and places. This assessment was performed using the [LD Sniffer](https://github.com/nandana/ld-sniffer) tool. The information about the evaluation process- metrics used- and results are described using the [Linked Data Quality Model](http://www.linkeddata.es/ontology/ldq#). ,http://nandana.github.io/ld-sniffer/,absent,0.75,[],{},nan,1,19935088,ldqmdbpedia2016,0.099,0.102,0.103,0.103,0.167,10,10.0,10.0,10.0,10,False,False,[],en,http://linkeddata.es/resource/ldqm/sparql,Not provided,1.0,1.0,1.0,56,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Nandana Mihindukulasooriya; Email:nandana.cse@gmail.com,Not indicated,Not indicated,Web:http://nandana.github.io/ld-sniffer/ Name:Nandana Mihindukulasooriya Email:nandana.cse@gmail.com,False,not indicated,2016-05-05,2016-05-05,527,2302,0.9881 (out of 10000 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,23,28,59.0,68.0,77.0,92,29,45.0,52.0,57.0,75,28,58.0,66.0,76.0,92,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://purl.org/net/EvaluationResult#Evaluation; http://purl.org/net/EvaluationResult#QualityValue; http://purl.org/eis/vocab/qpro#QualityReport; http://www.linkeddata.es/ontology/ldq#AssessmentTechnique; http://purl.org/net/QualityModel#BaseMeasure; http://purl.org/net/QualityModel#QualityMeasure; http://purl.org/net/QualityModel#DerivedMeasure; http://purl.org/net/QualityModel#QualityIndicator; http://www.wurvoc.org/vocabularies/om-1.8/Ratio_scale; http://purl.org/net/QualityModel#QualityCharacteristic; http://purl.org/eis/vocab/qpro#QualityProblem; http://linkeddata.es/resource/ldqm/Defect/UndereferenceableURI,56,No regex provided,False,5936644,True,2016-05-05|527,1.071,47.1,1.0,1.0,True,Could not process formulated query on indicated enpdoint,True
2022-08-28,1,0,Creative Commons Attribution - cc-by -,False,LDQM - Accessibility of DBpedia resources,This dataset contains the results of a quality assessment focused on the accessibility of IRIs contained in the DBpedia resources about persons and places. This assessment was performed using the [LD Sniffer](https://github.com/nandana/ld-sniffer) tool. The information about the evaluation process- metrics used- and results are described using the [Linked Data Quality Model](http://www.linkeddata.es/ontology/ldq#). ,http://nandana.github.io/ld-sniffer/,absent,0.75,[],{},nan,1,19935088,ldqmdbpedia2016,0.099,0.099,0.101,0.101,0.166,10,10.0,10.0,11.0,11,False,False,[],en,http://linkeddata.es/resource/ldqm/sparql,Not provided,1.0,1.0,1.0,56,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Nandana Mihindukulasooriya; Email:nandana.cse@gmail.com,Not indicated,Not indicated,Web:http://nandana.github.io/ld-sniffer/ Name:Nandana Mihindukulasooriya Email:nandana.cse@gmail.com,False,not indicated,2016-05-05,2016-05-05,527,2309,0.9881 (out of 10000 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,23,28,59.0,68.0,77.0,92,29,45.0,52.0,57.0,75,28,58.0,66.0,76.0,92,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://purl.org/net/EvaluationResult#Evaluation; http://purl.org/net/EvaluationResult#QualityValue; http://purl.org/eis/vocab/qpro#QualityReport; http://www.linkeddata.es/ontology/ldq#AssessmentTechnique; http://purl.org/net/QualityModel#BaseMeasure; http://purl.org/net/QualityModel#QualityMeasure; http://purl.org/net/QualityModel#DerivedMeasure; http://purl.org/net/QualityModel#QualityIndicator; http://www.wurvoc.org/vocabularies/om-1.8/Ratio_scale; http://purl.org/net/QualityModel#QualityCharacteristic; http://purl.org/eis/vocab/qpro#QualityProblem; http://linkeddata.es/resource/ldqm/Defect/UndereferenceableURI,56,No regex provided,False,5936644,True,2016-05-05|527,1.071,47.1,1.0,1.0,True,Could not process formulated query on indicated enpdoint,True
2022-09-04,1,0,Creative Commons Attribution - cc-by -,False,LDQM - Accessibility of DBpedia resources,This dataset contains the results of a quality assessment focused on the accessibility of IRIs contained in the DBpedia resources about persons and places. This assessment was performed using the [LD Sniffer](https://github.com/nandana/ld-sniffer) tool. The information about the evaluation process- metrics used- and results are described using the [Linked Data Quality Model](http://www.linkeddata.es/ontology/ldq#). ,http://nandana.github.io/ld-sniffer/,absent,0.75,[],{},nan,1,19935088,ldqmdbpedia2016,0.104,0.105,0.105,0.105,0.176,6,9.0,10.0,10.0,10,False,False,[],en,http://linkeddata.es/resource/ldqm/sparql,Not provided,1.0,1.0,1.0,56,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Nandana Mihindukulasooriya; Email:nandana.cse@gmail.com,Not indicated,Not indicated,Web:http://nandana.github.io/ld-sniffer/ Name:Nandana Mihindukulasooriya Email:nandana.cse@gmail.com,False,not indicated,2016-05-05,2016-05-05,527,2317,0.9881 (out of 10000 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,32,28,59.0,68.0,77.0,92,29,45.0,52.0,57.0,75,28,58.0,66.0,76.0,92,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://purl.org/net/EvaluationResult#Evaluation; http://purl.org/net/EvaluationResult#QualityValue; http://purl.org/eis/vocab/qpro#QualityReport; http://www.linkeddata.es/ontology/ldq#AssessmentTechnique; http://purl.org/net/QualityModel#BaseMeasure; http://purl.org/net/QualityModel#QualityMeasure; http://purl.org/net/QualityModel#DerivedMeasure; http://purl.org/net/QualityModel#QualityIndicator; http://www.wurvoc.org/vocabularies/om-1.8/Ratio_scale; http://purl.org/net/QualityModel#QualityCharacteristic; http://purl.org/eis/vocab/qpro#QualityProblem; http://linkeddata.es/resource/ldqm/Defect/UndereferenceableURI,56,No regex provided,False,5936644,True,2016-05-05|527,1.071,0.35,1.0,1.0,True,Could not process formulated query on indicated enpdoint,True
2022-09-11,1,0,Creative Commons Attribution - cc-by -,False,LDQM - Accessibility of DBpedia resources,This dataset contains the results of a quality assessment focused on the accessibility of IRIs contained in the DBpedia resources about persons and places. This assessment was performed using the [LD Sniffer](https://github.com/nandana/ld-sniffer) tool. The information about the evaluation process- metrics used- and results are described using the [Linked Data Quality Model](http://www.linkeddata.es/ontology/ldq#). ,http://nandana.github.io/ld-sniffer/,absent,0.75,[],{},nan,1,19935088,ldqmdbpedia2016,0.100,0.107,0.119,0.122,0.172,6,9.0,10.0,10.0,10,False,False,[],en,http://linkeddata.es/resource/ldqm/sparql,Not provided,1.0,1.0,1.0,56,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Nandana Mihindukulasooriya; Email:nandana.cse@gmail.com,Not indicated,Not indicated,Web:http://nandana.github.io/ld-sniffer/ Name:Nandana Mihindukulasooriya Email:nandana.cse@gmail.com,False,not indicated,2016-05-05,2016-05-05,527,2323,0.9881 (out of 10000 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,32,28,59.0,68.0,77.0,92,29,45.0,52.0,57.0,75,28,58.0,66.0,76.0,92,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://purl.org/net/EvaluationResult#Evaluation; http://purl.org/net/EvaluationResult#QualityValue; http://purl.org/eis/vocab/qpro#QualityReport; http://www.linkeddata.es/ontology/ldq#AssessmentTechnique; http://purl.org/net/QualityModel#BaseMeasure; http://purl.org/net/QualityModel#QualityMeasure; http://purl.org/net/QualityModel#DerivedMeasure; http://purl.org/net/QualityModel#QualityIndicator; http://www.wurvoc.org/vocabularies/om-1.8/Ratio_scale; http://purl.org/net/QualityModel#QualityCharacteristic; http://purl.org/eis/vocab/qpro#QualityProblem; http://linkeddata.es/resource/ldqm/Defect/UndereferenceableURI,56,No regex provided,False,5936644,True,2016-05-05|527,1.071,0.35,1.0,1.0,True,Could not process formulated query on indicated enpdoint,True
2022-09-18,1,0,Creative Commons Attribution - cc-by -,False,LDQM - Accessibility of DBpedia resources,This dataset contains the results of a quality assessment focused on the accessibility of IRIs contained in the DBpedia resources about persons and places. This assessment was performed using the [LD Sniffer](https://github.com/nandana/ld-sniffer) tool. The information about the evaluation process- metrics used- and results are described using the [Linked Data Quality Model](http://www.linkeddata.es/ontology/ldq#). ,http://nandana.github.io/ld-sniffer/,absent,0.75,[],{},nan,1,19935088,ldqmdbpedia2016,0.101,0.102,0.103,0.107,0.171,6,9.0,10.0,10.0,11,False,False,[],en,http://linkeddata.es/resource/ldqm/sparql,Not provided,1.0,1.0,1.0,56,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Nandana Mihindukulasooriya; Email:nandana.cse@gmail.com,Not indicated,Not indicated,Web:http://nandana.github.io/ld-sniffer/ Name:Nandana Mihindukulasooriya Email:nandana.cse@gmail.com,False,not indicated,2016-05-05,2016-05-05,527,2330,0.9881 (out of 10000 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,32,28,59.0,68.0,77.0,92,29,45.0,52.0,57.0,75,28,58.0,66.0,76.0,92,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://purl.org/net/EvaluationResult#Evaluation; http://purl.org/net/EvaluationResult#QualityValue; http://purl.org/eis/vocab/qpro#QualityReport; http://www.linkeddata.es/ontology/ldq#AssessmentTechnique; http://purl.org/net/QualityModel#BaseMeasure; http://purl.org/net/QualityModel#QualityMeasure; http://purl.org/net/QualityModel#DerivedMeasure; http://purl.org/net/QualityModel#QualityIndicator; http://www.wurvoc.org/vocabularies/om-1.8/Ratio_scale; http://purl.org/net/QualityModel#QualityCharacteristic; http://purl.org/eis/vocab/qpro#QualityProblem; http://linkeddata.es/resource/ldqm/Defect/UndereferenceableURI,56,No regex provided,False,5936644,True,2016-05-05|527,1.071,40.42,1.0,1.0,True,Could not process formulated query on indicated enpdoint,True
2022-10-02,1,0,Creative Commons Attribution - cc-by -,False,LDQM - Accessibility of DBpedia resources,This dataset contains the results of a quality assessment focused on the accessibility of IRIs contained in the DBpedia resources about persons and places. This assessment was performed using the [LD Sniffer](https://github.com/nandana/ld-sniffer) tool. The information about the evaluation process- metrics used- and results are described using the [Linked Data Quality Model](http://www.linkeddata.es/ontology/ldq#). ,http://nandana.github.io/ld-sniffer/,absent,0.75,[],{},nan,1,19935088,ldqmdbpedia2016,0.105,0.110,0.111,0.118,0.185,6,8.0,9.0,9.0,10,False,False,[],en,http://linkeddata.es/resource/ldqm/sparql,Not provided,1.0,1.0,1.0,56,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Nandana Mihindukulasooriya; Email:nandana.cse@gmail.com,Not indicated,Not indicated,Web:http://nandana.github.io/ld-sniffer/ Name:Nandana Mihindukulasooriya Email:nandana.cse@gmail.com,False,not indicated,2016-05-05,2016-05-05,527,2345,0.9881 (out of 10000 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,32,28,59.0,68.0,77.0,92,29,45.0,52.0,57.0,75,28,58.0,66.0,76.0,92,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://purl.org/net/EvaluationResult#Evaluation; http://purl.org/net/EvaluationResult#QualityValue; http://purl.org/eis/vocab/qpro#QualityReport; http://www.linkeddata.es/ontology/ldq#AssessmentTechnique; http://purl.org/net/QualityModel#BaseMeasure; http://purl.org/net/QualityModel#QualityMeasure; http://purl.org/net/QualityModel#DerivedMeasure; http://purl.org/net/QualityModel#QualityIndicator; http://www.wurvoc.org/vocabularies/om-1.8/Ratio_scale; http://purl.org/net/QualityModel#QualityCharacteristic; http://purl.org/eis/vocab/qpro#QualityProblem; http://linkeddata.es/resource/ldqm/Defect/UndereferenceableURI,56,No regex provided,False,5936644,True,2016-05-05|527,1.071,40.42,1.0,1.0,True,Could not process formulated query on indicated enpdoint,True
2022-10-09,1,0,Creative Commons Attribution - cc-by -,False,LDQM - Accessibility of DBpedia resources,This dataset contains the results of a quality assessment focused on the accessibility of IRIs contained in the DBpedia resources about persons and places. This assessment was performed using the [LD Sniffer](https://github.com/nandana/ld-sniffer) tool. The information about the evaluation process- metrics used- and results are described using the [Linked Data Quality Model](http://www.linkeddata.es/ontology/ldq#). ,http://nandana.github.io/ld-sniffer/,absent,0.75,[],{},nan,1,19935088,ldqmdbpedia2016,0.096,0.109,0.112,0.118,0.184,6,8.0,9.0,9.0,9,False,False,[],en,http://linkeddata.es/resource/ldqm/sparql,Not provided,1.0,1.0,1.0,56,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Nandana Mihindukulasooriya; Email:nandana.cse@gmail.com,Not indicated,Not indicated,Web:http://nandana.github.io/ld-sniffer/ Name:Nandana Mihindukulasooriya Email:nandana.cse@gmail.com,False,not indicated,2016-05-05,2016-05-05,527,2352,0.9881 (out of 10000 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,32,28,59.0,68.0,77.0,92,29,45.0,52.0,57.0,75,28,58.0,66.0,76.0,92,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://purl.org/net/EvaluationResult#Evaluation; http://purl.org/net/EvaluationResult#QualityValue; http://purl.org/eis/vocab/qpro#QualityReport; http://www.linkeddata.es/ontology/ldq#AssessmentTechnique; http://purl.org/net/QualityModel#BaseMeasure; http://purl.org/net/QualityModel#QualityMeasure; http://purl.org/net/QualityModel#DerivedMeasure; http://purl.org/net/QualityModel#QualityIndicator; http://www.wurvoc.org/vocabularies/om-1.8/Ratio_scale; http://purl.org/net/QualityModel#QualityCharacteristic; http://purl.org/eis/vocab/qpro#QualityProblem; http://linkeddata.es/resource/ldqm/Defect/UndereferenceableURI,56,No regex provided,False,5936644,True,2016-05-05|527,1.071,40.42,1.0,1.0,True,Could not process formulated query on indicated enpdoint,True
