Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,-1,0,Creative Commons Attribution - cc-by -,-,Lexvo,### AboutData exposed: Linguistic DataSize of dump and data set: ~40MB### OpennessDownload dump: CC-BY-SA 3.0 licenseThe web service additionally provides some parts that are not fully open- e.g. English language names taken from the Ethnologue Language Codes database are subject to specific redistribution conditions. ,http://www.lexvo.org,False,0.75,39,0.054,0.021,-,353815,lexvo,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,Lexvo.org; http://lexvo.org/id/iso639-3/spa; http://rdfs.org/ns/void#Dataset; http://lexvo.org/id/.+; http://lexvo.org/ontology; http://www.demelo.org/gdm/#GDM; 2013-02-09; http://www.lexvo.org/linkeddata/void.rdf; http://www.lexvo.org/resources/lexvo_latest.rdf.gz; http://dbpedia.org/resource/Language; http://www.lexvo.org/; http://lexvo.org/id/term/eng/school; Lexvo.org provides identifiers and information about words; languages; scripts; characters; \n      and other language-related entities; http://dbpedia.org/resource/Multilingualism; 2008-10-01,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.006124838763185628,http://lexvo.org/ontology,Name: None; Email:demelo@mpi-inf.de,absent,absent,Web:http://www.lexvo.org Name:Gerard de Melo Email:demelo@mpi-inf.de,endpoint absent,absent,2008-10-01,2013-02-09,insufficient data,insufficient data,endpoint absent,endpoint absent,0.02,5602,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,Lexvo.org; http://lexvo.org/id/iso639-3/spa; http://rdfs.org/ns/void#Dataset; http://lexvo.org/id/.+; http://lexvo.org/ontology; http://www.demelo.org/gdm/#GDM; 2013-02-09; http://www.lexvo.org/linkeddata/void.rdf; http://www.lexvo.org/resources/lexvo_latest.rdf.gz; http://dbpedia.org/resource/Language; http://www.lexvo.org/; http://lexvo.org/id/term/eng/school; Lexvo.org provides identifiers and information about words; languages; scripts; characters; \n      and other language-related entities; http://dbpedia.org/resource/Multilingualism; 2008-10-01,True,endpoint absent,endpoint absent,insufficient data,1.338,44.88,-,-,endpoint absent,absent,False
2022-07-31,-1,0,Creative Commons Attribution - cc-by -,-,Lexvo,### AboutData exposed: Linguistic DataSize of dump and data set: ~40MB### OpennessDownload dump: CC-BY-SA 3.0 licenseThe web service additionally provides some parts that are not fully open- e.g. English language names taken from the Ethnologue Language Codes database are subject to specific redistribution conditions. ,http://www.lexvo.org,False,0.75,39,0.054,0.021,-,353815,lexvo,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,http://dbpedia.org/resource/Language; http://www.lexvo.org/resources/lexvo_latest.rdf.gz; http://www.lexvo.org/; 2013-02-09; http://www.demelo.org/gdm/#GDM; http://www.lexvo.org/linkeddata/void.rdf; http://lexvo.org/id/iso639-3/spa; Lexvo.org; http://rdfs.org/ns/void#Dataset; http://lexvo.org/id/term/eng/school; http://lexvo.org/ontology; Lexvo.org provides identifiers and information about words; languages; scripts; characters; \n      and other language-related entities; http://lexvo.org/id/.+; 2008-10-01; http://dbpedia.org/resource/Multilingualism,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.006124838763185628,http://lexvo.org/ontology,Name: None; Email:demelo@mpi-inf.de,absent,absent,Web:http://www.lexvo.org Name:Gerard de Melo Email:demelo@mpi-inf.de,endpoint absent,absent,2008-10-01,2013-02-09,insufficient data,insufficient data,endpoint absent,endpoint absent,0.02,5602,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,http://dbpedia.org/resource/Language; http://www.lexvo.org/resources/lexvo_latest.rdf.gz; http://www.lexvo.org/; 2013-02-09; http://www.demelo.org/gdm/#GDM; http://www.lexvo.org/linkeddata/void.rdf; http://lexvo.org/id/iso639-3/spa; Lexvo.org; http://rdfs.org/ns/void#Dataset; http://lexvo.org/id/term/eng/school; http://lexvo.org/ontology; Lexvo.org provides identifiers and information about words; languages; scripts; characters; \n      and other language-related entities; http://lexvo.org/id/.+; 2008-10-01; http://dbpedia.org/resource/Multilingualism,True,endpoint absent,endpoint absent,insufficient data,1.338,0.36,-,-,endpoint absent,absent,False
2022-08-07,-1,0,Creative Commons Attribution - cc-by -,-,Lexvo,### AboutData exposed: Linguistic DataSize of dump and data set: ~40MB### OpennessDownload dump: CC-BY-SA 3.0 licenseThe web service additionally provides some parts that are not fully open- e.g. English language names taken from the Ethnologue Language Codes database are subject to specific redistribution conditions. ,http://www.lexvo.org,absent,0.75,39,0.054,0.021,-,353815,lexvo,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,http://lexvo.org/id/term/eng/school; Lexvo.org provides identifiers and information about words; languages; scripts; characters; \n      and other language-related entities; 2008-10-01; http://www.lexvo.org/linkeddata/void.rdf; http://www.lexvo.org/; http://dbpedia.org/resource/Language; http://dbpedia.org/resource/Multilingualism; http://www.demelo.org/gdm/#GDM; http://rdfs.org/ns/void#Dataset; 2013-02-09; http://lexvo.org/id/.+; http://lexvo.org/id/iso639-3/spa; http://lexvo.org/ontology; Lexvo.org; http://www.lexvo.org/resources/lexvo_latest.rdf.gz,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.006124838763185628,http://lexvo.org/ontology,Name: None; Email:demelo@mpi-inf.de,absent,absent,Web:http://www.lexvo.org Name:Gerard de Melo Email:demelo@mpi-inf.de,endpoint absent,absent,2008-10-01,2013-02-09,insufficient data,insufficient data,endpoint absent,endpoint absent,0.02,5602,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,http://lexvo.org/id/term/eng/school; Lexvo.org provides identifiers and information about words; languages; scripts; characters; \n      and other language-related entities; 2008-10-01; http://www.lexvo.org/linkeddata/void.rdf; http://www.lexvo.org/; http://dbpedia.org/resource/Language; http://dbpedia.org/resource/Multilingualism; http://www.demelo.org/gdm/#GDM; http://rdfs.org/ns/void#Dataset; 2013-02-09; http://lexvo.org/id/.+; http://lexvo.org/id/iso639-3/spa; http://lexvo.org/ontology; Lexvo.org; http://www.lexvo.org/resources/lexvo_latest.rdf.gz,True,endpoint absent,endpoint absent,insufficient data,1.338,0.36,-,-,endpoint absent,absent,False
2022-08-21,-1,0,Creative Commons Attribution - cc-by -,-,Lexvo,### AboutData exposed: Linguistic DataSize of dump and data set: ~40MB### OpennessDownload dump: CC-BY-SA 3.0 licenseThe web service additionally provides some parts that are not fully open- e.g. English language names taken from the Ethnologue Language Codes database are subject to specific redistribution conditions. ,http://www.lexvo.org,False,0.75,39,0.054,0.021,-,353815,lexvo,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,Lexvo.org; http://www.demelo.org/gdm/#GDM; http://www.lexvo.org/; http://rdfs.org/ns/void#Dataset; http://lexvo.org/id/iso639-3/spa; http://dbpedia.org/resource/Multilingualism; http://lexvo.org/id/.+; http://www.lexvo.org/resources/lexvo_latest.rdf.gz; http://lexvo.org/id/term/eng/school; http://www.lexvo.org/linkeddata/void.rdf; Lexvo.org provides identifiers and information about words; languages; scripts; characters; \n      and other language-related entities; http://lexvo.org/ontology; 2008-10-01; http://dbpedia.org/resource/Language; 2013-02-09,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.006124838763185628,http://lexvo.org/ontology,Name: None; Email:demelo@mpi-inf.de,absent,absent,Web:http://www.lexvo.org Name:Gerard de Melo Email:demelo@mpi-inf.de,endpoint absent,absent,2008-10-01,2013-02-09,insufficient data,insufficient data,endpoint absent,endpoint absent,0.02,5602,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,Lexvo.org; http://www.demelo.org/gdm/#GDM; http://www.lexvo.org/; http://rdfs.org/ns/void#Dataset; http://lexvo.org/id/iso639-3/spa; http://dbpedia.org/resource/Multilingualism; http://lexvo.org/id/.+; http://www.lexvo.org/resources/lexvo_latest.rdf.gz; http://lexvo.org/id/term/eng/school; http://www.lexvo.org/linkeddata/void.rdf; Lexvo.org provides identifiers and information about words; languages; scripts; characters; \n      and other language-related entities; http://lexvo.org/ontology; 2008-10-01; http://dbpedia.org/resource/Language; 2013-02-09,True,endpoint absent,endpoint absent,insufficient data,0.638,28.06,-,-,endpoint absent,absent,False
2022-08-28,-1,0,Creative Commons Attribution - cc-by -,-,Lexvo,### AboutData exposed: Linguistic DataSize of dump and data set: ~40MB### OpennessDownload dump: CC-BY-SA 3.0 licenseThe web service additionally provides some parts that are not fully open- e.g. English language names taken from the Ethnologue Language Codes database are subject to specific redistribution conditions. ,http://www.lexvo.org,False,0.75,39,0.054,0.021,-,353815,lexvo,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,2008-10-01; http://lexvo.org/id/.+; http://lexvo.org/id/iso639-3/spa; Lexvo.org; http://www.demelo.org/gdm/#GDM; http://www.lexvo.org/linkeddata/void.rdf; http://www.lexvo.org/resources/lexvo_latest.rdf.gz; http://rdfs.org/ns/void#Dataset; http://dbpedia.org/resource/Multilingualism; 2013-02-09; http://lexvo.org/id/term/eng/school; http://lexvo.org/ontology; http://dbpedia.org/resource/Language; http://www.lexvo.org/; Lexvo.org provides identifiers and information about words; languages; scripts; characters; \n      and other language-related entities,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.006124838763185628,http://lexvo.org/ontology,Name: None; Email:demelo@mpi-inf.de,absent,absent,Web:http://www.lexvo.org Name:Gerard de Melo Email:demelo@mpi-inf.de,endpoint absent,absent,2008-10-01,2013-02-09,insufficient data,insufficient data,endpoint absent,endpoint absent,0.02,5602,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,2008-10-01; http://lexvo.org/id/.+; http://lexvo.org/id/iso639-3/spa; Lexvo.org; http://www.demelo.org/gdm/#GDM; http://www.lexvo.org/linkeddata/void.rdf; http://www.lexvo.org/resources/lexvo_latest.rdf.gz; http://rdfs.org/ns/void#Dataset; http://dbpedia.org/resource/Multilingualism; 2013-02-09; http://lexvo.org/id/term/eng/school; http://lexvo.org/ontology; http://dbpedia.org/resource/Language; http://www.lexvo.org/; Lexvo.org provides identifiers and information about words; languages; scripts; characters; \n      and other language-related entities,True,endpoint absent,endpoint absent,insufficient data,0.638,28.06,-,-,endpoint absent,absent,False
2022-09-04,-1,-1,Creative Commons Attribution - cc-by -,-,Lexvo,### AboutData exposed: Linguistic DataSize of dump and data set: ~40MB### OpennessDownload dump: CC-BY-SA 3.0 licenseThe web service additionally provides some parts that are not fully open- e.g. English language names taken from the Ethnologue Language Codes database are subject to specific redistribution conditions. ,http://www.lexvo.org,False,0.75,39,0.054,0.021,-,353815,lexvo,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,http://dbpedia.org/resource/Multilingualism; http://www.lexvo.org/resources/lexvo_latest.rdf.gz; http://www.lexvo.org/linkeddata/void.rdf; http://lexvo.org/id/term/eng/school; http://lexvo.org/id/.+; 2008-10-01; 2013-02-09; http://www.demelo.org/gdm/#GDM; http://lexvo.org/id/iso639-3/spa; Lexvo.org provides identifiers and information about words; languages; scripts; characters; \n      and other language-related entities; Lexvo.org; http://rdfs.org/ns/void#Dataset; http://www.lexvo.org/; http://dbpedia.org/resource/Language; http://lexvo.org/ontology,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.006124838763185628,http://lexvo.org/ontology,Name: None; Email:demelo@mpi-inf.de,absent,absent,Web:http://www.lexvo.org Name:Gerard de Melo Email:demelo@mpi-inf.de,endpoint absent,absent,2008-10-01,2013-02-09,insufficient data,insufficient data,endpoint absent,endpoint absent,0.02,5602,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,http://dbpedia.org/resource/Multilingualism; http://www.lexvo.org/resources/lexvo_latest.rdf.gz; http://www.lexvo.org/linkeddata/void.rdf; http://lexvo.org/id/term/eng/school; http://lexvo.org/id/.+; 2008-10-01; 2013-02-09; http://www.demelo.org/gdm/#GDM; http://lexvo.org/id/iso639-3/spa; Lexvo.org provides identifiers and information about words; languages; scripts; characters; \n      and other language-related entities; Lexvo.org; http://rdfs.org/ns/void#Dataset; http://www.lexvo.org/; http://dbpedia.org/resource/Language; http://lexvo.org/ontology,True,endpoint absent,endpoint absent,insufficient data,0.638,0.21,-,-,endpoint absent,absent,False
2022-09-11,-1,-1,Creative Commons Attribution - cc-by -,-,Lexvo,### AboutData exposed: Linguistic DataSize of dump and data set: ~40MB### OpennessDownload dump: CC-BY-SA 3.0 licenseThe web service additionally provides some parts that are not fully open- e.g. English language names taken from the Ethnologue Language Codes database are subject to specific redistribution conditions. ,http://www.lexvo.org,False,0.75,39,0.054,0.021,-,353815,lexvo,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,http://dbpedia.org/resource/Multilingualism; http://dbpedia.org/resource/Language; http://lexvo.org/ontology; http://lexvo.org/id/term/eng/school; http://www.lexvo.org/linkeddata/void.rdf; 2013-02-09; Lexvo.org; Lexvo.org provides identifiers and information about words; languages; scripts; characters; \n      and other language-related entities; http://lexvo.org/id/iso639-3/spa; 2008-10-01; http://www.lexvo.org/; http://rdfs.org/ns/void#Dataset; http://lexvo.org/id/.+; http://www.demelo.org/gdm/#GDM; http://www.lexvo.org/resources/lexvo_latest.rdf.gz,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.006124838763185628,http://lexvo.org/ontology,Name: None; Email:demelo@mpi-inf.de,absent,absent,Web:http://www.lexvo.org Name:Gerard de Melo Email:demelo@mpi-inf.de,endpoint absent,absent,2008-10-01,2013-02-09,insufficient data,insufficient data,endpoint absent,endpoint absent,0.02,5602,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,http://dbpedia.org/resource/Multilingualism; http://dbpedia.org/resource/Language; http://lexvo.org/ontology; http://lexvo.org/id/term/eng/school; http://www.lexvo.org/linkeddata/void.rdf; 2013-02-09; Lexvo.org; Lexvo.org provides identifiers and information about words; languages; scripts; characters; \n      and other language-related entities; http://lexvo.org/id/iso639-3/spa; 2008-10-01; http://www.lexvo.org/; http://rdfs.org/ns/void#Dataset; http://lexvo.org/id/.+; http://www.demelo.org/gdm/#GDM; http://www.lexvo.org/resources/lexvo_latest.rdf.gz,True,endpoint absent,endpoint absent,insufficient data,0.638,0.21,-,-,endpoint absent,absent,False
2022-09-18,-1,-1,Creative Commons Attribution - cc-by -,-,Lexvo,### AboutData exposed: Linguistic DataSize of dump and data set: ~40MB### OpennessDownload dump: CC-BY-SA 3.0 licenseThe web service additionally provides some parts that are not fully open- e.g. English language names taken from the Ethnologue Language Codes database are subject to specific redistribution conditions. ,http://www.lexvo.org,False,0.75,39,0.054,0.021,-,353815,lexvo,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,Lexvo.org; http://www.lexvo.org/linkeddata/void.rdf; 2013-02-09; http://www.demelo.org/gdm/#GDM; http://lexvo.org/id/.+; http://lexvo.org/ontology; http://rdfs.org/ns/void#Dataset; http://dbpedia.org/resource/Multilingualism; Lexvo.org provides identifiers and information about words; languages; scripts; characters; \n      and other language-related entities; 2008-10-01; http://dbpedia.org/resource/Language; http://www.lexvo.org/resources/lexvo_latest.rdf.gz; http://lexvo.org/id/iso639-3/spa; http://www.lexvo.org/; http://lexvo.org/id/term/eng/school,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.006124838763185628,http://lexvo.org/ontology,Name: None; Email:demelo@mpi-inf.de,absent,absent,Web:http://www.lexvo.org Name:Gerard de Melo Email:demelo@mpi-inf.de,endpoint absent,absent,2008-10-01,2013-02-09,insufficient data,insufficient data,endpoint absent,endpoint absent,0.02,5602,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,Lexvo.org; http://www.lexvo.org/linkeddata/void.rdf; 2013-02-09; http://www.demelo.org/gdm/#GDM; http://lexvo.org/id/.+; http://lexvo.org/ontology; http://rdfs.org/ns/void#Dataset; http://dbpedia.org/resource/Multilingualism; Lexvo.org provides identifiers and information about words; languages; scripts; characters; \n      and other language-related entities; 2008-10-01; http://dbpedia.org/resource/Language; http://www.lexvo.org/resources/lexvo_latest.rdf.gz; http://lexvo.org/id/iso639-3/spa; http://www.lexvo.org/; http://lexvo.org/id/term/eng/school,True,endpoint absent,endpoint absent,insufficient data,0.638,24.08,-,-,endpoint absent,absent,False
2022-10-02,-1,-1,Creative Commons Attribution - cc-by -,-,Lexvo,### AboutData exposed: Linguistic DataSize of dump and data set: ~40MB### OpennessDownload dump: CC-BY-SA 3.0 licenseThe web service additionally provides some parts that are not fully open- e.g. English language names taken from the Ethnologue Language Codes database are subject to specific redistribution conditions. ,http://www.lexvo.org,False,0.75,39,0.054,0.021,-,353815,lexvo,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,http://dbpedia.org/resource/Multilingualism; http://www.lexvo.org/; 2008-10-01; http://lexvo.org/id/.+; 2013-02-09; http://lexvo.org/id/iso639-3/spa; http://lexvo.org/id/term/eng/school; http://rdfs.org/ns/void#Dataset; http://www.lexvo.org/resources/lexvo_latest.rdf.gz; Lexvo.org provides identifiers and information about words; languages; scripts; characters; \n      and other language-related entities; http://www.lexvo.org/linkeddata/void.rdf; Lexvo.org; http://lexvo.org/ontology; http://www.demelo.org/gdm/#GDM; http://dbpedia.org/resource/Language,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.006124838763185628,http://lexvo.org/ontology,Name: None; Email:demelo@mpi-inf.de,absent,absent,Web:http://www.lexvo.org Name:Gerard de Melo Email:demelo@mpi-inf.de,endpoint absent,absent,2008-10-01,2013-02-09,insufficient data,insufficient data,endpoint absent,endpoint absent,0.02,5602,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,http://dbpedia.org/resource/Multilingualism; http://www.lexvo.org/; 2008-10-01; http://lexvo.org/id/.+; 2013-02-09; http://lexvo.org/id/iso639-3/spa; http://lexvo.org/id/term/eng/school; http://rdfs.org/ns/void#Dataset; http://www.lexvo.org/resources/lexvo_latest.rdf.gz; Lexvo.org provides identifiers and information about words; languages; scripts; characters; \n      and other language-related entities; http://www.lexvo.org/linkeddata/void.rdf; Lexvo.org; http://lexvo.org/ontology; http://www.demelo.org/gdm/#GDM; http://dbpedia.org/resource/Language,True,endpoint absent,endpoint absent,insufficient data,0.638,24.08,-,-,endpoint absent,absent,False
2022-10-09,-1,-1,Creative Commons Attribution - cc-by -,-,Lexvo,### AboutData exposed: Linguistic DataSize of dump and data set: ~40MB### OpennessDownload dump: CC-BY-SA 3.0 licenseThe web service additionally provides some parts that are not fully open- e.g. English language names taken from the Ethnologue Language Codes database are subject to specific redistribution conditions. ,http://www.lexvo.org,absent,0.75,39,0.054,0.021,-,353815,lexvo,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,http://www.demelo.org/gdm/#GDM; http://lexvo.org/id/iso639-3/spa; http://lexvo.org/id/.+; http://lexvo.org/id/term/eng/school; 2008-10-01; http://www.lexvo.org/resources/lexvo_latest.rdf.gz; http://lexvo.org/ontology; http://www.lexvo.org/linkeddata/void.rdf; 2013-02-09; http://dbpedia.org/resource/Language; Lexvo.org provides identifiers and information about words; languages; scripts; characters; \n      and other language-related entities; http://www.lexvo.org/; http://dbpedia.org/resource/Multilingualism; Lexvo.org; http://rdfs.org/ns/void#Dataset,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.006124838763185628,http://lexvo.org/ontology,Name: None; Email:demelo@mpi-inf.de,absent,absent,Web:http://www.lexvo.org Name:Gerard de Melo Email:demelo@mpi-inf.de,endpoint absent,absent,2008-10-01,2013-02-09,insufficient data,insufficient data,endpoint absent,endpoint absent,0.02,5602,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,http://www.demelo.org/gdm/#GDM; http://lexvo.org/id/iso639-3/spa; http://lexvo.org/id/.+; http://lexvo.org/id/term/eng/school; 2008-10-01; http://www.lexvo.org/resources/lexvo_latest.rdf.gz; http://lexvo.org/ontology; http://www.lexvo.org/linkeddata/void.rdf; 2013-02-09; http://dbpedia.org/resource/Language; Lexvo.org provides identifiers and information about words; languages; scripts; characters; \n      and other language-related entities; http://www.lexvo.org/; http://dbpedia.org/resource/Multilingualism; Lexvo.org; http://rdfs.org/ns/void#Dataset,True,endpoint absent,endpoint absent,insufficient data,0.638,24.08,-,-,endpoint absent,absent,False
