Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,1,1,http://www.opendefinition.org/licenses/odc-by,False,Microsoft Academic Knowledge Graph,We provide the Microsoft Academic Knowledge Graph (MAKG)- a large RDF data set with over eight billion triples with information about scientific publications and related entities- such as authors- institutions- journals- and fields of study. The data set is based on the Microsoft Academic Graph and licensed under the Open Data Attributions license. Furthermore- we provide entity embeddings for all 210M represented scientific papers. ,http://ma-graph.org,absent,0.75,[],{},nan,301138,8449773448,makg,0.195,0.199,0.199,0.199,0.312,5,5.0,5.0,6.0,6,False,False,[],Could not process formulated query on indicated endpoint.,http://ma-graph.org/sparql,https://zenodo.org/record/3936556,1.0,1.0,1.0,396737832,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: absent; email: michael.faerber@kit.edu,Not indicated,Not indicated,Web:http://ma-graph.org Name:Michael Färber Email:michael.faerber@kit.edu,False,not indicated,2016-06-24,2021-05-12,2,437,0.9876384735107422 (out of 1048576 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,23,28,33.0,34.0,34.0,101,30,42.0,52.0,58.0,75,19,55.0,59.0,60.0,363,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string; https://makg.org/class/Affiliation; https://makg.org/class/ConferenceInstance; https://makg.org/class/ConferenceSeries; https://makg.org/class/JournalArticle; https://makg.org/class/Paper; https://makg.org/class/FieldOfStudy; https://makg.org/class/Citation; https://makg.org/class/Author,396737832,No regex provided,False,6,True,2021-03-26|743; 2021-05-12|2,1.157,44.86,1.0,1.0,True,[],False
2022-07-31,1,1,http://www.opendefinition.org/licenses/odc-by,False,Microsoft Academic Knowledge Graph,We provide the Microsoft Academic Knowledge Graph (MAKG)- a large RDF data set with over eight billion triples with information about scientific publications and related entities- such as authors- institutions- journals- and fields of study. The data set is based on the Microsoft Academic Graph and licensed under the Open Data Attributions license. Furthermore- we provide entity embeddings for all 210M represented scientific papers. ,http://ma-graph.org,absent,0.75,[],{},nan,301138,8449773448,makg,0.198,0.199,0.203,0.207,0.380,5,5.0,5.0,5.0,6,False,False,[],Could not process formulated query on indicated endpoint.,http://ma-graph.org/sparql,https://zenodo.org/record/3936556,1.0,1.0,1.0,396737832,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: absent; email: michael.faerber@kit.edu,Not indicated,Not indicated,Web:http://ma-graph.org Name:Michael Färber Email:michael.faerber@kit.edu,False,not indicated,2016-06-24,2021-05-12,2,448,0.9876384735107422 (out of 1048576 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,23,28,33.0,34.0,34.0,101,30,42.0,52.0,58.0,75,19,55.0,59.0,60.0,363,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string; https://makg.org/class/Affiliation; https://makg.org/class/ConferenceInstance; https://makg.org/class/ConferenceSeries; https://makg.org/class/JournalArticle; https://makg.org/class/Paper; https://makg.org/class/FieldOfStudy; https://makg.org/class/Citation; https://makg.org/class/Author,396737832,No regex provided,False,6,True,2021-03-26|743; 2021-05-12|2,1.157,0.31,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-08-07,-1,0,False,-,nan,False,absent,absent,0.0,[],{},nan,-,0,makg,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:absent Name:absent Email:absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.2,0.05,-,-,endpoint absent,endpoint absent,False
2022-08-21,1,1,http://www.opendefinition.org/licenses/odc-by,False,Microsoft Academic Knowledge Graph,We provide the Microsoft Academic Knowledge Graph (MAKG)- a large RDF data set with over eight billion triples with information about scientific publications and related entities- such as authors- institutions- journals- and fields of study. The data set is based on the Microsoft Academic Graph and licensed under the Open Data Attributions license. Furthermore- we provide entity embeddings for all 210M represented scientific papers. ,http://ma-graph.org,absent,0.75,[],{},nan,301138,8449773448,makg,0.198,0.198,0.199,0.203,1.020,5,5.0,5.0,5.0,5,False,False,[],Could not process formulated query on indicated endpoint.,http://ma-graph.org/sparql,https://zenodo.org/record/3936556,1.0,1.0,1.0,396737832,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: absent; email: michael.faerber@kit.edu,Not indicated,Not indicated,Web:http://ma-graph.org Name:Michael Färber Email:michael.faerber@kit.edu,False,not indicated,2016-06-24,2021-05-12,2,470,0.9876384735107422 (out of 1048576 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,23,28,33.0,34.0,34.0,101,30,42.0,52.0,58.0,75,19,55.0,59.0,60.0,363,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string; https://makg.org/class/Affiliation; https://makg.org/class/ConferenceInstance; https://makg.org/class/ConferenceSeries; https://makg.org/class/JournalArticle; https://makg.org/class/Paper; https://makg.org/class/FieldOfStudy; https://makg.org/class/Citation; https://makg.org/class/Author,396737832,No regex provided,False,6,True,2021-03-26|743; 2021-05-12|2,1.157,50.88,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-08-28,1,1,http://www.opendefinition.org/licenses/odc-by,False,Microsoft Academic Knowledge Graph,We provide the Microsoft Academic Knowledge Graph (MAKG)- a large RDF data set with over eight billion triples with information about scientific publications and related entities- such as authors- institutions- journals- and fields of study. The data set is based on the Microsoft Academic Graph and licensed under the Open Data Attributions license. Furthermore- we provide entity embeddings for all 210M represented scientific papers. ,http://ma-graph.org,absent,0.75,[],{},nan,301138,8449773448,makg,0.200,0.200,0.200,0.201,0.380,5,5.0,5.0,5.0,5,False,False,[],Could not process formulated query on indicated endpoint.,http://ma-graph.org/sparql,https://zenodo.org/record/3936556,1.0,1.0,1.0,396737832,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: absent; email: michael.faerber@kit.edu,Not indicated,Not indicated,Web:http://ma-graph.org Name:Michael Färber Email:michael.faerber@kit.edu,False,not indicated,2016-06-24,2021-05-12,2,477,0.9876384735107422 (out of 1048576 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,23,28,33.0,34.0,34.0,101,30,42.0,52.0,58.0,75,19,55.0,59.0,60.0,363,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string; https://makg.org/class/Affiliation; https://makg.org/class/ConferenceInstance; https://makg.org/class/ConferenceSeries; https://makg.org/class/JournalArticle; https://makg.org/class/Paper; https://makg.org/class/FieldOfStudy; https://makg.org/class/Citation; https://makg.org/class/Author,396737832,No regex provided,False,6,True,2021-03-26|743; 2021-05-12|2,1.157,50.88,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-09-04,1,1,http://www.opendefinition.org/licenses/odc-by,False,Microsoft Academic Knowledge Graph,We provide the Microsoft Academic Knowledge Graph (MAKG)- a large RDF data set with over eight billion triples with information about scientific publications and related entities- such as authors- institutions- journals- and fields of study. The data set is based on the Microsoft Academic Graph and licensed under the Open Data Attributions license. Furthermore- we provide entity embeddings for all 210M represented scientific papers. ,http://ma-graph.org,absent,0.75,[],{},nan,301138,8449773448,makg,0.199,0.200,0.200,0.202,0.367,5,5.0,5.0,5.0,5,False,False,[],Could not process formulated query on indicated endpoint.,http://ma-graph.org/sparql,https://zenodo.org/record/3936556,1.0,1.0,1.0,396737832,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: absent; email: michael.faerber@kit.edu,Not indicated,Not indicated,Web:http://ma-graph.org Name:Michael Färber Email:michael.faerber@kit.edu,False,not indicated,2016-06-24,2021-05-12,2,485,0.9876384735107422 (out of 1048576 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,32,28,33.0,34.0,34.0,101,30,42.0,52.0,58.0,75,19,55.0,59.0,60.0,363,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string; https://makg.org/class/Affiliation; https://makg.org/class/ConferenceInstance; https://makg.org/class/ConferenceSeries; https://makg.org/class/JournalArticle; https://makg.org/class/Paper; https://makg.org/class/FieldOfStudy; https://makg.org/class/Citation; https://makg.org/class/Author,396737832,No regex provided,False,6,True,2021-03-26|743; 2021-05-12|2,1.157,0.38,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-09-11,1,1,http://www.opendefinition.org/licenses/odc-by,False,Microsoft Academic Knowledge Graph,We provide the Microsoft Academic Knowledge Graph (MAKG)- a large RDF data set with over eight billion triples with information about scientific publications and related entities- such as authors- institutions- journals- and fields of study. The data set is based on the Microsoft Academic Graph and licensed under the Open Data Attributions license. Furthermore- we provide entity embeddings for all 210M represented scientific papers. ,http://ma-graph.org,absent,0.75,[],{},nan,301138,8449773448,makg,0.198,0.200,0.202,0.203,0.369,5,5.0,5.0,5.0,5,False,False,[],Could not process formulated query on indicated endpoint.,http://ma-graph.org/sparql,https://zenodo.org/record/3936556,1.0,1.0,1.0,396737832,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: absent; email: michael.faerber@kit.edu,Not indicated,Not indicated,Web:http://ma-graph.org Name:Michael Färber Email:michael.faerber@kit.edu,False,not indicated,2016-06-24,2021-05-12,2,491,0.9876384735107422 (out of 1048576 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,32,28,33.0,34.0,34.0,101,30,42.0,52.0,58.0,75,19,55.0,59.0,60.0,363,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string; https://makg.org/class/Affiliation; https://makg.org/class/ConferenceInstance; https://makg.org/class/ConferenceSeries; https://makg.org/class/JournalArticle; https://makg.org/class/Paper; https://makg.org/class/FieldOfStudy; https://makg.org/class/Citation; https://makg.org/class/Author,396737832,No regex provided,False,6,True,2021-03-26|743; 2021-05-12|2,1.157,0.38,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-09-18,1,1,http://www.opendefinition.org/licenses/odc-by,False,Microsoft Academic Knowledge Graph,We provide the Microsoft Academic Knowledge Graph (MAKG)- a large RDF data set with over eight billion triples with information about scientific publications and related entities- such as authors- institutions- journals- and fields of study. The data set is based on the Microsoft Academic Graph and licensed under the Open Data Attributions license. Furthermore- we provide entity embeddings for all 210M represented scientific papers. ,http://ma-graph.org,absent,0.75,[],{},nan,301138,8449773448,makg,0.199,0.201,0.201,0.203,0.369,5,5.0,5.0,5.0,5,False,False,[],HTTP Error 502: Proxy Error,http://ma-graph.org/sparql,https://zenodo.org/record/3936556,1.0,1.0,1.0,396737832,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: absent; email: michael.faerber@kit.edu,Not indicated,Not indicated,Web:http://ma-graph.org Name:Michael Färber Email:michael.faerber@kit.edu,False,not indicated,2016-06-24,2021-05-12,2,498,0.9876384735107422 (out of 1048576 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,32,28,33.0,34.0,34.0,101,30,42.0,52.0,58.0,75,19,55.0,59.0,60.0,363,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string; https://makg.org/class/Affiliation; https://makg.org/class/ConferenceInstance; https://makg.org/class/ConferenceSeries; https://makg.org/class/JournalArticle; https://makg.org/class/Paper; https://makg.org/class/FieldOfStudy; https://makg.org/class/Citation; https://makg.org/class/Author,396737832,No regex provided,False,6,True,2021-03-26|743; 2021-05-12|2,1.157,43.66,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-10-02,1,1,http://www.opendefinition.org/licenses/odc-by,False,Microsoft Academic Knowledge Graph,We provide the Microsoft Academic Knowledge Graph (MAKG)- a large RDF data set with over eight billion triples with information about scientific publications and related entities- such as authors- institutions- journals- and fields of study. The data set is based on the Microsoft Academic Graph and licensed under the Open Data Attributions license. Furthermore- we provide entity embeddings for all 210M represented scientific papers. ,http://ma-graph.org,absent,0.75,[],{},nan,301138,8449773448,makg,0.202,0.203,0.216,0.235,0.412,4,5.0,5.0,5.0,5,False,False,[],Could not process formulated query on indicated endpoint.,http://ma-graph.org/sparql,https://zenodo.org/record/3936556,1.0,1.0,1.0,396737832,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: absent; email: michael.faerber@kit.edu,Not indicated,Not indicated,Web:http://ma-graph.org Name:Michael Färber Email:michael.faerber@kit.edu,False,not indicated,2016-06-24,2021-05-12,2,512,0.9876384735107422 (out of 1048576 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,32,28,33.0,34.0,34.0,101,30,42.0,52.0,58.0,75,19,55.0,59.0,60.0,363,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string; https://makg.org/class/Affiliation; https://makg.org/class/ConferenceInstance; https://makg.org/class/ConferenceSeries; https://makg.org/class/JournalArticle; https://makg.org/class/Paper; https://makg.org/class/FieldOfStudy; https://makg.org/class/Citation; https://makg.org/class/Author,396737832,No regex provided,False,6,True,2021-03-26|743; 2021-05-12|2,1.108,41.81,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-10-09,1,1,http://www.opendefinition.org/licenses/odc-by,False,Microsoft Academic Knowledge Graph,We provide the Microsoft Academic Knowledge Graph (MAKG)- a large RDF data set with over eight billion triples with information about scientific publications and related entities- such as authors- institutions- journals- and fields of study. The data set is based on the Microsoft Academic Graph and licensed under the Open Data Attributions license. Furthermore- we provide entity embeddings for all 210M represented scientific papers. ,http://ma-graph.org,absent,0.75,[],{},nan,301138,8449773448,makg,0.206,0.216,0.226,0.231,0.385,4,5.0,5.0,5.0,5,False,False,[],Could not process formulated query on indicated endpoint.,http://ma-graph.org/sparql,https://zenodo.org/record/3936556,1.0,1.0,1.0,396737832,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: absent; email: michael.faerber@kit.edu,Not indicated,Not indicated,Web:http://ma-graph.org Name:Michael Färber Email:michael.faerber@kit.edu,False,not indicated,2016-06-24,2021-05-12,2,520,0.9876384735107422 (out of 1048576 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,32,28,33.0,34.0,34.0,101,30,42.0,52.0,58.0,75,19,55.0,59.0,60.0,363,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#array-of-string; https://makg.org/class/Affiliation; https://makg.org/class/ConferenceInstance; https://makg.org/class/ConferenceSeries; https://makg.org/class/JournalArticle; https://makg.org/class/Paper; https://makg.org/class/FieldOfStudy; https://makg.org/class/Citation; https://makg.org/class/Author,396737832,No regex provided,False,6,True,2021-03-26|743; 2021-05-12|2,1.108,41.81,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
