Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,1,0,Other (Non-Commercial) - other-nc -,False,Web NDL Authorities - National Diet Library of Japan,Name authorities and subject headings of Japan's National Library are provided as Linked Data. Each record is described with such vocabularies as SKOS- SKOS-XL- DC and RDA Elements G2. Records are linked to LCSH- VIAF etc. with SKOS mapping properties where applicable.,http://id.ndl.go.jp/auth/ndla,True,1.0,4,0.333,0.002,140487,22475123,nationaldietlibraryauthorities,1.627,1.665,1.709,1.741,1.744,1,1.0,1.0,1.0,1,False,True,[],False,http://id.ndl.go.jp/auth/ndla/,Not provided,1.0,1.0,1.0,1391567,-,0.9999999555063614,0.9999993770890597,-,True,1.0,1.0,0.00013162801381173762,Not indicated,Name: None; Email:mkanzaki@gmail.com,Not indicated,Not indicated,Web:http://id.ndl.go.jp/auth/ndla Name:National Diet Library of Japan Email:Absent,False,not indicated,-,1979-04-01,1,insufficient data,0.99 (out of 100 triples considered),Could not process formulated query on indicated endpoint,0.00,7218,Insufficient data,0,40,40.0,40.0,40.0,41,30,38.0,43.0,46.0,66,32,38.0,41.0,51.5,58,No new vocabulary defined,http://RDVocab.info/uri/schema/FRBRentitiesRDA/Family; http://RDVocab.info/uri/schema/FRBRentitiesRDA/Work,1391567,No regex provided,True,4645770,False,2018-07-11|167; 2018-07-12|158; 2018-07-13|148; 2018-07-18|154; 2018-08-28|138; 2019-01-07|443; 2020-03-30|129,0.983,44.83,1.0,1.0,True,[],False
2022-07-31,1,0,Other (Non-Commercial) - other-nc -,False,Web NDL Authorities - National Diet Library of Japan,Name authorities and subject headings of Japan's National Library are provided as Linked Data. Each record is described with such vocabularies as SKOS- SKOS-XL- DC and RDA Elements G2. Records are linked to LCSH- VIAF etc. with SKOS mapping properties where applicable.,http://id.ndl.go.jp/auth/ndla,True,1.0,4,0.333,0.002,140576,22488372,nationaldietlibraryauthorities,1.703,1.706,1.714,1.737,1.748,1,1.0,1.0,1.0,1,False,True,[],False,http://id.ndl.go.jp/auth/ndla/,Not provided,1.0,1.0,1.0,1392389,-,0.9999999555325748,0.9999993774560471,-,True,1.0,1.0,0.00013162801381173762,Not indicated,Name: None; Email:mkanzaki@gmail.com,Not indicated,Not indicated,Web:http://id.ndl.go.jp/auth/ndla Name:National Diet Library of Japan Email:Absent,False,not indicated,-,1979-04-01,1,insufficient data,0.99 (out of 100 triples considered),Could not process formulated query on indicated endpoint,0.00,7218,Insufficient data,0,40,40.0,40.0,40.0,41,30,38.0,43.0,46.0,66,32,38.0,41.0,51.5,58,No new vocabulary defined,http://RDVocab.info/uri/schema/FRBRentitiesRDA/Family; http://RDVocab.info/uri/schema/FRBRentitiesRDA/Work,1392389,No regex provided,True,4648411,False,2018-07-11|167; 2018-07-12|157; 2018-07-13|148; 2018-07-18|154; 2018-08-28|138; 2019-01-07|442; 2020-03-30|129,0.983,0.26,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-08-07,1,0,Other (Non-Commercial) - other-nc -,False,Web NDL Authorities - National Diet Library of Japan,Name authorities and subject headings of Japan's National Library are provided as Linked Data. Each record is described with such vocabularies as SKOS- SKOS-XL- DC and RDA Elements G2. Records are linked to LCSH- VIAF etc. with SKOS mapping properties where applicable.,http://id.ndl.go.jp/auth/ndla,absent,0.75,4,0.333,0.002,140642,22496138,nationaldietlibraryauthorities,1.694,1.698,1.717,1.742,1.753,1,1.0,1.0,1.0,1,False,True,[],False,http://id.ndl.go.jp/auth/ndla/,Not provided,1.0,1.0,1.0,1392878,-,0.9999999555479256,0.9999993776709585,-,True,1.0,1.0,0.00013162801381173762,Not indicated,Name: None; Email:mkanzaki@gmail.com,Not indicated,Not indicated,Web:http://id.ndl.go.jp/auth/ndla Name:National Diet Library of Japan Email:Absent,False,not indicated,-,1979-04-01,1,insufficient data,0.99 (out of 100 triples considered),Could not process formulated query on indicated endpoint,0.00,7218,Insufficient data,0,40,40.0,40.0,40.0,41,30,38.0,43.0,46.0,66,32,38.0,41.0,51.5,58,No new vocabulary defined,http://RDVocab.info/uri/schema/FRBRentitiesRDA/Family; http://RDVocab.info/uri/schema/FRBRentitiesRDA/Work,1392878,No regex provided,True,4649946,False,2018-07-11|167; 2018-07-12|156; 2018-07-13|148; 2018-07-18|154; 2018-08-28|138; 2019-01-07|442; 2020-03-30|129,0.97,0.26,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-08-21,1,0,Other (Non-Commercial) - other-nc -,False,Web NDL Authorities - National Diet Library of Japan,Name authorities and subject headings of Japan's National Library are provided as Linked Data. Each record is described with such vocabularies as SKOS- SKOS-XL- DC and RDA Elements G2. Records are linked to LCSH- VIAF etc. with SKOS mapping properties where applicable.,http://id.ndl.go.jp/auth/ndla,True,1.0,4,0.333,0.002,140759,22511899,nationaldietlibraryauthorities,1.709,1.742,1.745,1.766,1.798,1,1.0,1.0,1.0,1,False,True,[],False,http://id.ndl.go.jp/auth/ndla/,Not provided,1.0,1.0,1.0,1393875,-,0.9999999555790473,0.9999993781066626,-,True,1.0,1.0,0.00013162801381173762,Not indicated,Name: None; Email:mkanzaki@gmail.com,Not indicated,Not indicated,Web:http://id.ndl.go.jp/auth/ndla Name:National Diet Library of Japan Email:Absent,False,not indicated,-,1979-04-01,1,insufficient data,0.99 (out of 100 triples considered),Could not process formulated query on indicated endpoint,0.00,7218,Insufficient data,0,40,40.0,40.0,40.0,41,30,38.0,43.0,46.0,66,32,38.0,41.0,51.5,58,No new vocabulary defined,http://RDVocab.info/uri/schema/FRBRentitiesRDA/Family; http://RDVocab.info/uri/schema/FRBRentitiesRDA/Work,1393875,No regex provided,True,4653058,False,2018-07-11|167; 2018-07-12|156; 2018-07-13|148; 2018-07-18|154; 2018-08-28|138; 2019-01-07|442; 2020-03-30|129,0.983,43.23,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-08-28,1,0,Other (Non-Commercial) - other-nc -,False,Web NDL Authorities - National Diet Library of Japan,Name authorities and subject headings of Japan's National Library are provided as Linked Data. Each record is described with such vocabularies as SKOS- SKOS-XL- DC and RDA Elements G2. Records are linked to LCSH- VIAF etc. with SKOS mapping properties where applicable.,http://id.ndl.go.jp/auth/ndla,True,1.0,4,0.333,0.002,140806,22520415,nationaldietlibraryauthorities,1.669,1.672,1.674,1.692,1.760,1,1.0,1.0,1.0,1,False,True,[],False,http://id.ndl.go.jp/auth/ndla/,Not provided,1.0,1.0,1.0,1394398,-,0.999999955595845,0.999999378341829,-,True,1.0,1.0,0.00013162801381173762,Not indicated,Name: None; Email:mkanzaki@gmail.com,Not indicated,Not indicated,Web:http://id.ndl.go.jp/auth/ndla Name:National Diet Library of Japan Email:Absent,False,not indicated,-,1979-04-01,1,insufficient data,0.99 (out of 100 triples considered),Could not process formulated query on indicated endpoint,0.00,7218,Insufficient data,0,40,40.0,40.0,40.0,41,30,38.0,43.0,46.0,66,32,38.0,41.0,51.5,58,No new vocabulary defined,http://RDVocab.info/uri/schema/FRBRentitiesRDA/Family; http://RDVocab.info/uri/schema/FRBRentitiesRDA/Work,1394398,No regex provided,True,4654733,False,2018-07-11|167; 2018-07-12|156; 2018-07-13|148; 2018-07-18|154; 2018-08-28|138; 2019-01-07|442; 2020-03-30|129,0.983,43.23,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-09-04,1,-1,Other (Non-Commercial) - other-nc -,False,Web NDL Authorities - National Diet Library of Japan,Name authorities and subject headings of Japan's National Library are provided as Linked Data. Each record is described with such vocabularies as SKOS- SKOS-XL- DC and RDA Elements G2. Records are linked to LCSH- VIAF etc. with SKOS mapping properties where applicable.,http://id.ndl.go.jp/auth/ndla,True,1.0,4,0.333,0.002,140893,22528442,nationaldietlibraryauthorities,1.643,1.681,1.742,1.752,1.806,1,1.0,1.0,1.0,1,False,True,[],False,http://id.ndl.go.jp/auth/ndla/,Not provided,1.0,1.0,1.0,1394900,-,0.9999999556116663,0.999999378563329,-,True,1.0,1.0,0.00013162801381173762,Not indicated,Name: None; Email:mkanzaki@gmail.com,Not indicated,Not indicated,Web:http://id.ndl.go.jp/auth/ndla Name:National Diet Library of Japan Email:Absent,False,not indicated,-,1979-04-01,1,insufficient data,0.99 (out of 100 triples considered),Could not process formulated query on indicated endpoint,0.00,7218,Insufficient data,0,40,40.0,40.0,40.0,41,30,38.0,43.0,46.0,66,32,38.0,41.0,51.5,58,No new vocabulary defined,http://RDVocab.info/uri/schema/FRBRentitiesRDA/Family; http://RDVocab.info/uri/schema/FRBRentitiesRDA/Work,1394900,No regex provided,True,4656376,False,2018-07-11|167; 2018-07-12|156; 2018-07-13|148; 2018-07-18|154; 2018-08-28|138; 2019-01-07|442; 2020-03-30|129,0.983,0.32,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-09-11,1,-1,Other (Non-Commercial) - other-nc -,False,Web NDL Authorities - National Diet Library of Japan,Name authorities and subject headings of Japan's National Library are provided as Linked Data. Each record is described with such vocabularies as SKOS- SKOS-XL- DC and RDA Elements G2. Records are linked to LCSH- VIAF etc. with SKOS mapping properties where applicable.,http://id.ndl.go.jp/auth/ndla,True,1.0,4,0.333,0.002,140952,22537637,nationaldietlibraryauthorities,1.631,1.638,1.670,1.748,1.750,1,1.0,1.0,1.0,1,False,True,[],False,http://id.ndl.go.jp/auth/ndla/,Not provided,1.0,1.0,1.0,1395459,-,0.9999999556297761,0.9999993788168653,-,True,1.0,1.0,0.00013162801381173762,Not indicated,Name: None; Email:mkanzaki@gmail.com,Not indicated,Not indicated,Web:http://id.ndl.go.jp/auth/ndla Name:National Diet Library of Japan Email:Absent,False,not indicated,-,1979-04-01,1,insufficient data,0.99 (out of 100 triples considered),Could not process formulated query on indicated endpoint,0.00,7218,Insufficient data,0,40,40.0,40.0,40.0,41,30,38.0,43.0,46.0,66,32,38.0,41.0,51.5,58,No new vocabulary defined,http://RDVocab.info/uri/schema/FRBRentitiesRDA/Family; http://RDVocab.info/uri/schema/FRBRentitiesRDA/Work,1395459,No regex provided,True,4658272,False,2018-07-11|167; 2018-07-12|156; 2018-07-13|148; 2018-07-18|154; 2018-08-28|138; 2019-01-07|442; 2020-03-30|129,0.983,0.32,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-09-18,1,-1,Other (Non-Commercial) - other-nc -,False,Web NDL Authorities - National Diet Library of Japan,Name authorities and subject headings of Japan's National Library are provided as Linked Data. Each record is described with such vocabularies as SKOS- SKOS-XL- DC and RDA Elements G2. Records are linked to LCSH- VIAF etc. with SKOS mapping properties where applicable.,http://id.ndl.go.jp/auth/ndla,True,1.0,4,0.333,0.002,141013,22546700,nationaldietlibraryauthorities,1.649,1.659,1.663,1.673,1.707,1,1.0,1.0,1.0,1,False,True,[],False,http://id.ndl.go.jp/auth/ndla/,Not provided,1.0,1.0,1.0,1396016,-,0.9999999556476113,0.9999993790665597,-,True,1.0,1.0,0.00013162801381173762,Not indicated,Name: None; Email:mkanzaki@gmail.com,Not indicated,Not indicated,Web:http://id.ndl.go.jp/auth/ndla Name:National Diet Library of Japan Email:Absent,False,not indicated,-,1979-04-01,1,insufficient data,0.99 (out of 100 triples considered),Could not process formulated query on indicated endpoint,0.00,7218,Insufficient data,0,40,40.0,40.0,40.0,41,30,38.0,43.0,46.0,66,32,38.0,41.0,51.5,58,No new vocabulary defined,http://RDVocab.info/uri/schema/FRBRentitiesRDA/Family; http://RDVocab.info/uri/schema/FRBRentitiesRDA/Work,1396016,No regex provided,True,4660063,False,2018-07-11|167; 2018-07-12|156; 2018-07-13|148; 2018-07-18|154; 2018-08-28|138; 2019-01-07|442; 2020-03-30|129,0.983,37.09,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-10-02,1,-1,Other (Non-Commercial) - other-nc -,False,Web NDL Authorities - National Diet Library of Japan,Name authorities and subject headings of Japan's National Library are provided as Linked Data. Each record is described with such vocabularies as SKOS- SKOS-XL- DC and RDA Elements G2. Records are linked to LCSH- VIAF etc. with SKOS mapping properties where applicable.,http://id.ndl.go.jp/auth/ndla,True,1.0,4,0.333,0.002,141172,22566246,nationaldietlibraryauthorities,1.663,1.691,1.696,1.713,1.716,1,1.0,1.0,1.0,1,False,True,[],False,http://id.ndl.go.jp/auth/ndla/,Not provided,1.0,1.0,1.0,1397241,-,0.9999999556860277,0.9999993796043879,-,True,1.0,1.0,0.00013162801381173762,Not indicated,Name: None; Email:mkanzaki@gmail.com,Not indicated,Not indicated,Web:http://id.ndl.go.jp/auth/ndla Name:National Diet Library of Japan Email:Absent,False,not indicated,-,1979-04-01,1,insufficient data,0.99 (out of 100 triples considered),Could not process formulated query on indicated endpoint,0.00,7218,Insufficient data,0,40,40.0,40.0,40.0,41,30,38.0,43.0,46.0,66,32,38.0,41.0,51.5,58,No new vocabulary defined,http://RDVocab.info/uri/schema/FRBRentitiesRDA/Family; http://RDVocab.info/uri/schema/FRBRentitiesRDA/Work,1397241,No regex provided,True,4663954,False,2018-07-11|167; 2018-07-12|156; 2018-07-13|148; 2018-07-18|154; 2018-08-28|138; 2019-01-07|442; 2020-03-30|128,0.983,37.09,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-10-09,1,-1,Other (Non-Commercial) - other-nc -,False,Web NDL Authorities - National Diet Library of Japan,Name authorities and subject headings of Japan's National Library are provided as Linked Data. Each record is described with such vocabularies as SKOS- SKOS-XL- DC and RDA Elements G2. Records are linked to LCSH- VIAF etc. with SKOS mapping properties where applicable.,http://id.ndl.go.jp/auth/ndla,True,1.0,4,0.333,0.002,141224,22574263,nationaldietlibraryauthorities,1.717,1.738,1.752,1.758,1.792,1,1.0,1.0,1.0,1,False,True,[],False,http://id.ndl.go.jp/auth/ndla/,Not provided,1.0,1.0,1.0,1397734,-,0.9999999557017654,0.9999993798247145,-,True,1.0,1.0,0.00013162801381173762,Not indicated,Name: None; Email:mkanzaki@gmail.com,Not indicated,Not indicated,Web:http://id.ndl.go.jp/auth/ndla Name:National Diet Library of Japan Email:Absent,False,not indicated,-,1979-04-01,1,insufficient data,0.99 (out of 100 triples considered),Could not process formulated query on indicated endpoint,0.00,7218,Insufficient data,0,40,40.0,40.0,40.0,41,30,38.0,43.0,46.0,66,32,38.0,41.0,51.5,58,No new vocabulary defined,http://RDVocab.info/uri/schema/FRBRentitiesRDA/Family; http://RDVocab.info/uri/schema/FRBRentitiesRDA/Work,1397734,No regex provided,True,4665559,False,2018-07-11|167; 2018-07-12|156; 2018-07-13|148; 2018-07-18|154; 2018-08-28|138; 2019-01-07|442; 2020-03-30|128,0.983,37.09,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-10-16,1,-1,Other (Non-Commercial) - other-nc -,False,Web NDL Authorities - National Diet Library of Japan,Name authorities and subject headings of Japan's National Library are provided as Linked Data. Each record is described with such vocabularies as SKOS- SKOS-XL- DC and RDA Elements G2. Records are linked to LCSH- VIAF etc. with SKOS mapping properties where applicable.,http://id.ndl.go.jp/auth/ndla,True,1.0,4,0.333,0.002,141272,22583914,nationaldietlibraryauthorities,1.621,1.662,1.679,1.680,1.700,1,1.0,1.0,1.0,1,False,True,[],False,http://id.ndl.go.jp/auth/ndla/,Not provided,1.0,1.0,1.0,1398331,-,0.9999999557206957,0.99999938008974,-,True,1.0,1.0,0.00013162801381173762,Not indicated,Name: None; Email:mkanzaki@gmail.com,Not indicated,Not indicated,Web:http://id.ndl.go.jp/auth/ndla Name:National Diet Library of Japan Email:Absent,False,not indicated,-,1979-04-01,1,insufficient data,0.99 (out of 100 triples considered),Could not process formulated query on indicated endpoint,0.00,7218,Insufficient data,0,40,40.0,40.0,40.0,41,30,38.0,43.0,46.0,66,32,38.0,41.0,51.5,58,No new vocabulary defined,http://RDVocab.info/uri/schema/FRBRentitiesRDA/Family; http://RDVocab.info/uri/schema/FRBRentitiesRDA/Work,1398331,No regex provided,True,4667450,False,2018-07-11|167; 2018-07-12|156; 2018-07-13|148; 2018-07-18|154; 2018-08-28|138; 2019-01-07|442; 2020-03-30|128,0.983,37.09,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
