Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,1,0,Other (Non-Commercial) - other-nc -,False,National Diet Library of Japan subject headings,duplicate:national-diet-library-authorities,http://id.ndl.go.jp/auth/ndlsh,False,0.75,2,0,0.001,140487,22475123,nationaldietlibrarysubjectheadings,1.623,1.625,1.667,1.742,1.754,1,1.0,1.0,1.0,1,False,True,[],False,http://id.ndl.go.jp/auth/ndlsh/,Not provided,1.0,1.0,1.0,1391567,-,0.9999999555063614,0.9999993770890597,-,True,1.0,1.0,8.275942551350637e-05,Not indicated,Name: None; Email:mkanzaki@gmail.com,Not indicated,Not indicated,Web:http://id.ndl.go.jp/auth/ndlsh Name:Kanzaki Masahide Email:mkanzaki@gmail.com,False,not indicated,-,1979-04-01,1,insufficient data,0.99 (out of 100 triples considered),Could not process formulated query on indicated endpoint,0.00,588,Insufficient data,0,40,40.0,40.0,40.0,41,30,38.0,43.0,46.0,66,32,38.0,41.0,51.5,58,No new vocabulary defined,http://RDVocab.info/uri/schema/FRBRentitiesRDA/Family; http://RDVocab.info/uri/schema/FRBRentitiesRDA/Work,1391567,No regex provided,True,4645770,False,2018-07-11|167; 2018-07-12|158; 2018-07-13|148; 2018-07-18|154; 2018-08-28|138; 2019-01-07|443; 2020-03-30|129,0.92,44.82,1.0,1.0,True,[],True
2022-07-31,1,0,Other (Non-Commercial) - other-nc -,False,National Diet Library of Japan subject headings,duplicate:national-diet-library-authorities,http://id.ndl.go.jp/auth/ndlsh,False,0.75,2,0,0.001,140576,22488372,nationaldietlibrarysubjectheadings,1.637,1.682,1.685,1.701,1.749,1,1.0,1.0,1.0,1,False,True,[],False,http://id.ndl.go.jp/auth/ndlsh/,Not provided,1.0,1.0,1.0,1392389,-,0.9999999555325748,0.9999993774560471,-,True,1.0,1.0,8.275942551350637e-05,Not indicated,Name: None; Email:mkanzaki@gmail.com,Not indicated,Not indicated,Web:http://id.ndl.go.jp/auth/ndlsh Name:Kanzaki Masahide Email:mkanzaki@gmail.com,False,not indicated,-,1979-04-01,1,insufficient data,0.99 (out of 100 triples considered),Could not process formulated query on indicated endpoint,0.00,588,Insufficient data,0,40,40.0,40.0,40.0,41,30,38.0,43.0,46.0,66,32,38.0,41.0,51.5,58,No new vocabulary defined,http://RDVocab.info/uri/schema/FRBRentitiesRDA/Family; http://RDVocab.info/uri/schema/FRBRentitiesRDA/Work,1392389,No regex provided,True,4648411,False,2018-07-11|167; 2018-07-12|157; 2018-07-13|148; 2018-07-18|154; 2018-08-28|138; 2019-01-07|442; 2020-03-30|129,0.92,0.24,1.0,1.0,True,Could not process formulated query on indicated enpdoint,True
2022-08-07,1,0,Other (Non-Commercial) - other-nc -,False,National Diet Library of Japan subject headings,duplicate:national-diet-library-authorities,http://id.ndl.go.jp/auth/ndlsh,absent,0.75,2,0,0.001,140642,22496138,nationaldietlibrarysubjectheadings,1.685,1.692,1.714,1.718,1.718,1,1.0,1.0,1.0,1,False,True,[],False,http://id.ndl.go.jp/auth/ndlsh/,Not provided,1.0,1.0,1.0,1392878,-,0.9999999555479256,0.9999993776709585,-,True,1.0,1.0,8.275942551350637e-05,Not indicated,Name: None; Email:mkanzaki@gmail.com,Not indicated,Not indicated,Web:http://id.ndl.go.jp/auth/ndlsh Name:Kanzaki Masahide Email:mkanzaki@gmail.com,False,not indicated,-,1979-04-01,1,insufficient data,0.99 (out of 100 triples considered),Could not process formulated query on indicated endpoint,0.00,588,Insufficient data,0,40,40.0,40.0,40.0,41,30,38.0,43.0,46.0,66,32,38.0,41.0,51.5,58,No new vocabulary defined,http://RDVocab.info/uri/schema/FRBRentitiesRDA/Family; http://RDVocab.info/uri/schema/FRBRentitiesRDA/Work,1392878,No regex provided,True,4649946,False,2018-07-11|167; 2018-07-12|156; 2018-07-13|148; 2018-07-18|154; 2018-08-28|138; 2019-01-07|442; 2020-03-30|129,0.92,0.24,1.0,1.0,True,Could not process formulated query on indicated enpdoint,True
2022-08-21,1,0,Other (Non-Commercial) - other-nc -,False,National Diet Library of Japan subject headings,duplicate:national-diet-library-authorities,http://id.ndl.go.jp/auth/ndlsh,False,0.75,2,0,0.001,140759,22511899,nationaldietlibrarysubjectheadings,1.630,1.633,1.653,1.669,1.715,1,1.0,1.0,1.0,1,False,True,[],False,http://id.ndl.go.jp/auth/ndlsh/,Not provided,1.0,1.0,1.0,1393875,-,0.9999999555790473,0.9999993781066626,-,True,1.0,1.0,8.275942551350637e-05,Not indicated,Name: None; Email:mkanzaki@gmail.com,Not indicated,Not indicated,Web:http://id.ndl.go.jp/auth/ndlsh Name:Kanzaki Masahide Email:mkanzaki@gmail.com,False,not indicated,-,1979-04-01,1,insufficient data,0.99 (out of 100 triples considered),Could not process formulated query on indicated endpoint,0.00,588,Insufficient data,0,40,40.0,40.0,40.0,41,30,38.0,43.0,46.0,66,32,38.0,41.0,51.5,58,No new vocabulary defined,http://RDVocab.info/uri/schema/FRBRentitiesRDA/Family; http://RDVocab.info/uri/schema/FRBRentitiesRDA/Work,1393875,No regex provided,True,4653058,False,2018-07-11|167; 2018-07-12|156; 2018-07-13|148; 2018-07-18|154; 2018-08-28|138; 2019-01-07|442; 2020-03-30|129,0.92,40.46,1.0,1.0,True,Could not process formulated query on indicated enpdoint,True
2022-08-28,1,0,Other (Non-Commercial) - other-nc -,False,National Diet Library of Japan subject headings,duplicate:national-diet-library-authorities,http://id.ndl.go.jp/auth/ndlsh,False,0.75,2,0,0.001,140806,22520415,nationaldietlibrarysubjectheadings,1.627,1.631,1.662,1.669,1.671,1,1.0,1.0,1.0,1,False,True,[],False,http://id.ndl.go.jp/auth/ndlsh/,Not provided,1.0,1.0,1.0,1394398,-,0.999999955595845,0.999999378341829,-,True,1.0,1.0,8.275942551350637e-05,Not indicated,Name: None; Email:mkanzaki@gmail.com,Not indicated,Not indicated,Web:http://id.ndl.go.jp/auth/ndlsh Name:Kanzaki Masahide Email:mkanzaki@gmail.com,False,not indicated,-,1979-04-01,1,insufficient data,0.99 (out of 100 triples considered),Could not process formulated query on indicated endpoint,0.00,588,Insufficient data,0,40,40.0,40.0,40.0,41,30,38.0,43.0,46.0,66,32,38.0,41.0,51.5,58,No new vocabulary defined,http://RDVocab.info/uri/schema/FRBRentitiesRDA/Family; http://RDVocab.info/uri/schema/FRBRentitiesRDA/Work,1394398,No regex provided,True,4654733,False,2018-07-11|167; 2018-07-12|156; 2018-07-13|148; 2018-07-18|154; 2018-08-28|138; 2019-01-07|442; 2020-03-30|129,0.92,40.46,1.0,1.0,True,Could not process formulated query on indicated enpdoint,True
2022-09-04,1,-1,Other (Non-Commercial) - other-nc -,False,National Diet Library of Japan subject headings,duplicate:national-diet-library-authorities,http://id.ndl.go.jp/auth/ndlsh,False,0.75,2,0,0.001,140893,22528442,nationaldietlibrarysubjectheadings,1.628,1.645,1.672,1.712,1.763,1,1.0,1.0,1.0,1,False,True,[],False,http://id.ndl.go.jp/auth/ndlsh/,Not provided,1.0,1.0,1.0,1394900,-,0.9999999556116663,0.999999378563329,-,True,1.0,1.0,8.275942551350637e-05,Not indicated,Name: None; Email:mkanzaki@gmail.com,Not indicated,Not indicated,Web:http://id.ndl.go.jp/auth/ndlsh Name:Kanzaki Masahide Email:mkanzaki@gmail.com,False,not indicated,-,1979-04-01,1,insufficient data,0.99 (out of 100 triples considered),Could not process formulated query on indicated endpoint,0.00,588,Insufficient data,0,40,40.0,40.0,40.0,41,30,38.0,43.0,46.0,66,32,38.0,41.0,51.5,58,No new vocabulary defined,http://RDVocab.info/uri/schema/FRBRentitiesRDA/Family; http://RDVocab.info/uri/schema/FRBRentitiesRDA/Work,1394900,No regex provided,True,4656376,False,2018-07-11|167; 2018-07-12|156; 2018-07-13|148; 2018-07-18|154; 2018-08-28|138; 2019-01-07|442; 2020-03-30|129,0.92,0.3,1.0,1.0,True,Could not process formulated query on indicated enpdoint,True
2022-09-11,1,-1,Other (Non-Commercial) - other-nc -,False,National Diet Library of Japan subject headings,duplicate:national-diet-library-authorities,http://id.ndl.go.jp/auth/ndlsh,False,0.75,2,0,0.001,140952,22537637,nationaldietlibrarysubjectheadings,1.714,1.730,1.744,1.764,1.789,1,1.0,1.0,1.0,1,False,True,[],False,http://id.ndl.go.jp/auth/ndlsh/,Not provided,1.0,1.0,1.0,1395459,-,0.9999999556297761,0.9999993788168653,-,True,1.0,1.0,8.275942551350637e-05,Not indicated,Name: None; Email:mkanzaki@gmail.com,Not indicated,Not indicated,Web:http://id.ndl.go.jp/auth/ndlsh Name:Kanzaki Masahide Email:mkanzaki@gmail.com,False,not indicated,-,1979-04-01,1,insufficient data,0.99 (out of 100 triples considered),Could not process formulated query on indicated endpoint,0.00,588,Insufficient data,0,40,40.0,40.0,40.0,41,30,38.0,43.0,46.0,66,32,38.0,41.0,51.5,58,No new vocabulary defined,http://RDVocab.info/uri/schema/FRBRentitiesRDA/Family; http://RDVocab.info/uri/schema/FRBRentitiesRDA/Work,1395459,No regex provided,True,4658272,False,2018-07-11|167; 2018-07-12|156; 2018-07-13|148; 2018-07-18|154; 2018-08-28|138; 2019-01-07|442; 2020-03-30|129,0.92,0.3,1.0,1.0,True,Could not process formulated query on indicated enpdoint,True
2022-09-18,1,-1,Other (Non-Commercial) - other-nc -,False,National Diet Library of Japan subject headings,duplicate:national-diet-library-authorities,http://id.ndl.go.jp/auth/ndlsh,False,0.75,2,0,0.001,141013,22546700,nationaldietlibrarysubjectheadings,1.678,1.691,1.724,1.726,1.767,1,1.0,1.0,1.0,1,False,True,[],False,http://id.ndl.go.jp/auth/ndlsh/,Not provided,1.0,1.0,1.0,1396016,-,0.9999999556476113,0.9999993790665597,-,True,1.0,1.0,8.275942551350637e-05,Not indicated,Name: None; Email:mkanzaki@gmail.com,Not indicated,Not indicated,Web:http://id.ndl.go.jp/auth/ndlsh Name:Kanzaki Masahide Email:mkanzaki@gmail.com,False,not indicated,-,1979-04-01,1,insufficient data,0.99 (out of 100 triples considered),Could not process formulated query on indicated endpoint,0.00,588,Insufficient data,0,40,40.0,40.0,40.0,41,30,38.0,43.0,46.0,66,32,38.0,41.0,51.5,58,No new vocabulary defined,http://RDVocab.info/uri/schema/FRBRentitiesRDA/Family; http://RDVocab.info/uri/schema/FRBRentitiesRDA/Work,1396016,No regex provided,True,4660063,False,2018-07-11|167; 2018-07-12|156; 2018-07-13|148; 2018-07-18|154; 2018-08-28|138; 2019-01-07|442; 2020-03-30|129,0.92,34.72,1.0,1.0,True,Could not process formulated query on indicated enpdoint,True
2022-10-02,1,-1,Other (Non-Commercial) - other-nc -,False,National Diet Library of Japan subject headings,duplicate:national-diet-library-authorities,http://id.ndl.go.jp/auth/ndlsh,False,0.75,2,0,0.001,141172,22566246,nationaldietlibrarysubjectheadings,1.647,1.694,1.749,1.778,1.784,1,1.0,1.0,1.0,1,False,True,[],False,http://id.ndl.go.jp/auth/ndlsh/,Not provided,1.0,1.0,1.0,1397241,-,0.9999999556860277,0.9999993796043879,-,True,1.0,1.0,8.275942551350637e-05,Not indicated,Name: None; Email:mkanzaki@gmail.com,Not indicated,Not indicated,Web:http://id.ndl.go.jp/auth/ndlsh Name:Kanzaki Masahide Email:mkanzaki@gmail.com,False,not indicated,-,1979-04-01,1,insufficient data,0.99 (out of 100 triples considered),Could not process formulated query on indicated endpoint,0.00,588,Insufficient data,0,40,40.0,40.0,40.0,41,30,38.0,43.0,46.0,66,32,38.0,41.0,51.5,58,No new vocabulary defined,http://RDVocab.info/uri/schema/FRBRentitiesRDA/Family; http://RDVocab.info/uri/schema/FRBRentitiesRDA/Work,1397241,No regex provided,True,4663954,False,2018-07-11|167; 2018-07-12|156; 2018-07-13|148; 2018-07-18|154; 2018-08-28|138; 2019-01-07|442; 2020-03-30|128,0.92,34.72,1.0,1.0,True,Could not process formulated query on indicated enpdoint,True
2022-10-09,1,-1,Other (Non-Commercial) - other-nc -,False,National Diet Library of Japan subject headings,duplicate:national-diet-library-authorities,http://id.ndl.go.jp/auth/ndlsh,False,0.75,2,0,0.001,141224,22574263,nationaldietlibrarysubjectheadings,1.721,1.730,1.768,1.785,1.792,1,1.0,1.0,1.0,1,False,True,[],False,http://id.ndl.go.jp/auth/ndlsh/,Not provided,1.0,1.0,1.0,1397734,-,0.9999999557017654,0.9999993798247145,-,True,1.0,1.0,8.275942551350637e-05,Not indicated,Name: None; Email:mkanzaki@gmail.com,Not indicated,Not indicated,Web:http://id.ndl.go.jp/auth/ndlsh Name:Kanzaki Masahide Email:mkanzaki@gmail.com,False,not indicated,-,1979-04-01,1,insufficient data,0.99 (out of 100 triples considered),Could not process formulated query on indicated endpoint,0.00,588,Insufficient data,0,40,40.0,40.0,40.0,41,30,38.0,43.0,46.0,66,32,38.0,41.0,51.5,58,No new vocabulary defined,http://RDVocab.info/uri/schema/FRBRentitiesRDA/Family; http://RDVocab.info/uri/schema/FRBRentitiesRDA/Work,1397734,No regex provided,True,4665559,False,2018-07-11|167; 2018-07-12|156; 2018-07-13|148; 2018-07-18|154; 2018-08-28|138; 2019-01-07|442; 2020-03-30|128,0.92,34.72,1.0,1.0,True,Could not process formulated query on indicated enpdoint,True
2022-10-16,1,-1,Other (Non-Commercial) - other-nc -,False,National Diet Library of Japan subject headings,duplicate:national-diet-library-authorities,http://id.ndl.go.jp/auth/ndlsh,False,0.75,2,0,0.001,141272,22583914,nationaldietlibrarysubjectheadings,1.627,1.644,1.660,1.679,1.688,1,1.0,1.0,1.0,1,False,True,[],False,http://id.ndl.go.jp/auth/ndlsh/,Not provided,1.0,1.0,1.0,1398331,-,0.9999999557206957,0.99999938008974,-,True,1.0,1.0,8.275942551350637e-05,Not indicated,Name: None; Email:mkanzaki@gmail.com,Not indicated,Not indicated,Web:http://id.ndl.go.jp/auth/ndlsh Name:Kanzaki Masahide Email:mkanzaki@gmail.com,False,not indicated,-,1979-04-01,1,insufficient data,0.99 (out of 100 triples considered),Could not process formulated query on indicated endpoint,0.00,588,Insufficient data,0,40,40.0,40.0,40.0,41,30,38.0,43.0,46.0,66,32,38.0,41.0,51.5,58,No new vocabulary defined,http://RDVocab.info/uri/schema/FRBRentitiesRDA/Family; http://RDVocab.info/uri/schema/FRBRentitiesRDA/Work,1398331,No regex provided,True,4667450,False,2018-07-11|167; 2018-07-12|156; 2018-07-13|148; 2018-07-18|154; 2018-08-28|138; 2019-01-07|442; 2020-03-30|128,0.92,34.72,1.0,1.0,True,Could not process formulated query on indicated enpdoint,True
