Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,-1,0,License not specified - notspecified -,-,Open Election Data Project,This is the official list of registered political parties sourced from the Electoral Commission's website. The Resource URI refers to the linked-data resource URI that should be used to identify parties in a linked-data context- such as when making election results available as data.Openness: Open data logo but no explicit license mentioned.,http://openelectiondata.org/parties,True,1.0,1,0,0.001,-,16789,openelectiondataproject,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,8.130421606361963e-05,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://openelectiondata.org/parties Name:Chris Taggart  Email:info@openelectiondata.org.uk,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.01,87,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.35,44.74,-,-,endpoint absent,endpoint absent,True
2022-07-31,-1,0,License not specified - notspecified -,-,Open Election Data Project,This is the official list of registered political parties sourced from the Electoral Commission's website. The Resource URI refers to the linked-data resource URI that should be used to identify parties in a linked-data context- such as when making election results available as data.Openness: Open data logo but no explicit license mentioned.,http://openelectiondata.org/parties,True,1.0,1,0,0.001,-,16789,openelectiondataproject,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,8.130421606361963e-05,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://openelectiondata.org/parties Name:Chris Taggart  Email:info@openelectiondata.org.uk,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.01,87,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.35,0.09,-,-,endpoint absent,endpoint absent,True
2022-08-07,-1,0,License not specified - notspecified -,-,Open Election Data Project,This is the official list of registered political parties sourced from the Electoral Commission's website. The Resource URI refers to the linked-data resource URI that should be used to identify parties in a linked-data context- such as when making election results available as data.Openness: Open data logo but no explicit license mentioned.,http://openelectiondata.org/parties,absent,0.75,1,0,0.001,-,16789,openelectiondataproject,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,8.130421606361963e-05,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://openelectiondata.org/parties Name:Chris Taggart  Email:info@openelectiondata.org.uk,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.01,87,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.338,0.09,-,-,endpoint absent,endpoint absent,True
2022-08-21,-1,0,License not specified - notspecified -,-,Open Election Data Project,This is the official list of registered political parties sourced from the Electoral Commission's website. The Resource URI refers to the linked-data resource URI that should be used to identify parties in a linked-data context- such as when making election results available as data.Openness: Open data logo but no explicit license mentioned.,http://openelectiondata.org/parties,True,1.0,1,0,0.001,-,16789,openelectiondataproject,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,8.130421606361963e-05,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://openelectiondata.org/parties Name:Chris Taggart  Email:info@openelectiondata.org.uk,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.01,87,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.35,15.39,-,-,endpoint absent,endpoint absent,True
2022-08-28,-1,0,License not specified - notspecified -,-,Open Election Data Project,This is the official list of registered political parties sourced from the Electoral Commission's website. The Resource URI refers to the linked-data resource URI that should be used to identify parties in a linked-data context- such as when making election results available as data.Openness: Open data logo but no explicit license mentioned.,http://openelectiondata.org/parties,True,1.0,1,0,0.001,-,16789,openelectiondataproject,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,8.130421606361963e-05,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://openelectiondata.org/parties Name:Chris Taggart  Email:info@openelectiondata.org.uk,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.01,87,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.35,15.39,-,-,endpoint absent,endpoint absent,True
2022-09-04,-1,-1,License not specified - notspecified -,-,Open Election Data Project,This is the official list of registered political parties sourced from the Electoral Commission's website. The Resource URI refers to the linked-data resource URI that should be used to identify parties in a linked-data context- such as when making election results available as data.Openness: Open data logo but no explicit license mentioned.,http://openelectiondata.org/parties,True,1.0,1,0,0.001,-,16789,openelectiondataproject,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,8.130421606361963e-05,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://openelectiondata.org/parties Name:Chris Taggart  Email:info@openelectiondata.org.uk,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.01,87,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.35,0.11,-,-,endpoint absent,endpoint absent,True
2022-09-11,-1,-1,License not specified - notspecified -,-,Open Election Data Project,This is the official list of registered political parties sourced from the Electoral Commission's website. The Resource URI refers to the linked-data resource URI that should be used to identify parties in a linked-data context- such as when making election results available as data.Openness: Open data logo but no explicit license mentioned.,http://openelectiondata.org/parties,True,1.0,1,0,0.001,-,16789,openelectiondataproject,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,8.130421606361963e-05,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://openelectiondata.org/parties Name:Chris Taggart  Email:info@openelectiondata.org.uk,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.01,87,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.35,0.11,-,-,endpoint absent,endpoint absent,True
2022-09-18,-1,-1,License not specified - notspecified -,-,Open Election Data Project,This is the official list of registered political parties sourced from the Electoral Commission's website. The Resource URI refers to the linked-data resource URI that should be used to identify parties in a linked-data context- such as when making election results available as data.Openness: Open data logo but no explicit license mentioned.,http://openelectiondata.org/parties,True,1.0,1,0,0.001,-,16789,openelectiondataproject,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,8.130421606361963e-05,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://openelectiondata.org/parties Name:Chris Taggart  Email:info@openelectiondata.org.uk,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.01,87,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.35,13.21,-,-,endpoint absent,endpoint absent,True
2022-10-02,-1,-1,License not specified - notspecified -,-,Open Election Data Project,This is the official list of registered political parties sourced from the Electoral Commission's website. The Resource URI refers to the linked-data resource URI that should be used to identify parties in a linked-data context- such as when making election results available as data.Openness: Open data logo but no explicit license mentioned.,http://openelectiondata.org/parties,True,1.0,1,0,0.001,-,16789,openelectiondataproject,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,8.130421606361963e-05,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://openelectiondata.org/parties Name:Chris Taggart  Email:info@openelectiondata.org.uk,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.01,87,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.35,13.21,-,-,endpoint absent,endpoint absent,True
2022-10-09,-1,-1,License not specified - notspecified -,-,Open Election Data Project,This is the official list of registered political parties sourced from the Electoral Commission's website. The Resource URI refers to the linked-data resource URI that should be used to identify parties in a linked-data context- such as when making election results available as data.Openness: Open data logo but no explicit license mentioned.,http://openelectiondata.org/parties,True,1.0,1,0,0.001,-,16789,openelectiondataproject,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,8.130421606361963e-05,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://openelectiondata.org/parties Name:Chris Taggart  Email:info@openelectiondata.org.uk,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.01,87,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.35,13.21,-,-,endpoint absent,endpoint absent,True
