Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,-1,0,License not specified - notspecified -,-,RDF Book Mashup,The RDF book mashup demonstrates how Web 2.0 data sources like Amazon- Google or Yahoo can be integrated into the Semantic Web. The RDF book mashup makes information about books- their authors- reviews- and online bookstores available on the Semantic Web. This information can be used by RDF tools and you can link to it from your own Semantic Web data.,http://www4.wiwiss.fu-berlin.de/bizer/bookmashup/,False,0.75,6,0.467,0.003,-,100000000,rdfbookmashup,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.00041484300393835585,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://www4.wiwiss.fu-berlin.de/bizer/bookmashup/ Name:Chris Bizer Email:chris@bizer.de,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.00,100000,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.337,44.74,-,-,endpoint absent,endpoint absent,True
2022-07-31,-1,0,License not specified - notspecified -,-,RDF Book Mashup,The RDF book mashup demonstrates how Web 2.0 data sources like Amazon- Google or Yahoo can be integrated into the Semantic Web. The RDF book mashup makes information about books- their authors- reviews- and online bookstores available on the Semantic Web. This information can be used by RDF tools and you can link to it from your own Semantic Web data.,http://www4.wiwiss.fu-berlin.de/bizer/bookmashup/,False,0.75,6,0.467,0.003,-,100000000,rdfbookmashup,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.00041484300393835585,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://www4.wiwiss.fu-berlin.de/bizer/bookmashup/ Name:Chris Bizer Email:chris@bizer.de,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.00,100000,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.337,0.09,-,-,endpoint absent,endpoint absent,True
2022-08-07,-1,0,License not specified - notspecified -,-,RDF Book Mashup,The RDF book mashup demonstrates how Web 2.0 data sources like Amazon- Google or Yahoo can be integrated into the Semantic Web. The RDF book mashup makes information about books- their authors- reviews- and online bookstores available on the Semantic Web. This information can be used by RDF tools and you can link to it from your own Semantic Web data.,http://www4.wiwiss.fu-berlin.de/bizer/bookmashup/,absent,0.75,6,0.467,0.003,-,100000000,rdfbookmashup,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.00041484300393835585,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://www4.wiwiss.fu-berlin.de/bizer/bookmashup/ Name:Chris Bizer Email:chris@bizer.de,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.00,100000,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.337,0.09,-,-,endpoint absent,endpoint absent,True
2022-08-21,-1,0,License not specified - notspecified -,-,RDF Book Mashup,The RDF book mashup demonstrates how Web 2.0 data sources like Amazon- Google or Yahoo can be integrated into the Semantic Web. The RDF book mashup makes information about books- their authors- reviews- and online bookstores available on the Semantic Web. This information can be used by RDF tools and you can link to it from your own Semantic Web data.,http://www4.wiwiss.fu-berlin.de/bizer/bookmashup/,False,0.75,6,0.467,0.003,-,100000000,rdfbookmashup,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.00041484300393835585,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://www4.wiwiss.fu-berlin.de/bizer/bookmashup/ Name:Chris Bizer Email:chris@bizer.de,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.00,100000,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.337,14.82,-,-,endpoint absent,endpoint absent,True
2022-08-28,-1,0,License not specified - notspecified -,-,RDF Book Mashup,The RDF book mashup demonstrates how Web 2.0 data sources like Amazon- Google or Yahoo can be integrated into the Semantic Web. The RDF book mashup makes information about books- their authors- reviews- and online bookstores available on the Semantic Web. This information can be used by RDF tools and you can link to it from your own Semantic Web data.,http://www4.wiwiss.fu-berlin.de/bizer/bookmashup/,False,0.75,6,0.467,0.003,-,100000000,rdfbookmashup,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.00041484300393835585,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://www4.wiwiss.fu-berlin.de/bizer/bookmashup/ Name:Chris Bizer Email:chris@bizer.de,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.00,100000,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.337,14.82,-,-,endpoint absent,endpoint absent,True
2022-09-04,-1,-1,License not specified - notspecified -,-,RDF Book Mashup,The RDF book mashup demonstrates how Web 2.0 data sources like Amazon- Google or Yahoo can be integrated into the Semantic Web. The RDF book mashup makes information about books- their authors- reviews- and online bookstores available on the Semantic Web. This information can be used by RDF tools and you can link to it from your own Semantic Web data.,http://www4.wiwiss.fu-berlin.de/bizer/bookmashup/,False,0.75,6,0.467,0.003,-,100000000,rdfbookmashup,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.00041484300393835585,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://www4.wiwiss.fu-berlin.de/bizer/bookmashup/ Name:Chris Bizer Email:chris@bizer.de,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.00,100000,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.337,0.11,-,-,endpoint absent,endpoint absent,True
2022-09-11,-1,-1,License not specified - notspecified -,-,RDF Book Mashup,The RDF book mashup demonstrates how Web 2.0 data sources like Amazon- Google or Yahoo can be integrated into the Semantic Web. The RDF book mashup makes information about books- their authors- reviews- and online bookstores available on the Semantic Web. This information can be used by RDF tools and you can link to it from your own Semantic Web data.,http://www4.wiwiss.fu-berlin.de/bizer/bookmashup/,False,0.75,6,0.467,0.003,-,100000000,rdfbookmashup,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.00041484300393835585,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://www4.wiwiss.fu-berlin.de/bizer/bookmashup/ Name:Chris Bizer Email:chris@bizer.de,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.00,100000,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.337,0.11,-,-,endpoint absent,endpoint absent,True
2022-09-18,-1,-1,License not specified - notspecified -,-,RDF Book Mashup,The RDF book mashup demonstrates how Web 2.0 data sources like Amazon- Google or Yahoo can be integrated into the Semantic Web. The RDF book mashup makes information about books- their authors- reviews- and online bookstores available on the Semantic Web. This information can be used by RDF tools and you can link to it from your own Semantic Web data.,http://www4.wiwiss.fu-berlin.de/bizer/bookmashup/,False,0.75,6,0.467,0.003,-,100000000,rdfbookmashup,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.00041484300393835585,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://www4.wiwiss.fu-berlin.de/bizer/bookmashup/ Name:Chris Bizer Email:chris@bizer.de,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.00,100000,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.337,12.72,-,-,endpoint absent,endpoint absent,True
2022-10-02,-1,-1,License not specified - notspecified -,-,RDF Book Mashup,The RDF book mashup demonstrates how Web 2.0 data sources like Amazon- Google or Yahoo can be integrated into the Semantic Web. The RDF book mashup makes information about books- their authors- reviews- and online bookstores available on the Semantic Web. This information can be used by RDF tools and you can link to it from your own Semantic Web data.,http://www4.wiwiss.fu-berlin.de/bizer/bookmashup/,False,0.75,6,0.467,0.003,-,100000000,rdfbookmashup,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.00041484300393835585,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://www4.wiwiss.fu-berlin.de/bizer/bookmashup/ Name:Chris Bizer Email:chris@bizer.de,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.00,100000,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.337,12.72,-,-,endpoint absent,endpoint absent,True
2022-10-09,-1,-1,License not specified - notspecified -,-,RDF Book Mashup,The RDF book mashup demonstrates how Web 2.0 data sources like Amazon- Google or Yahoo can be integrated into the Semantic Web. The RDF book mashup makes information about books- their authors- reviews- and online bookstores available on the Semantic Web. This information can be used by RDF tools and you can link to it from your own Semantic Web data.,http://www4.wiwiss.fu-berlin.de/bizer/bookmashup/,False,0.75,6,0.467,0.003,-,100000000,rdfbookmashup,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.00041484300393835585,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://www4.wiwiss.fu-berlin.de/bizer/bookmashup/ Name:Chris Bizer Email:chris@bizer.de,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.00,100000,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.337,12.72,-,-,endpoint absent,endpoint absent,True
