Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,0,0,False,-,reference.data.gov.uk,Reference data for linked UK government data:* People* Departments* Namespace for various time intervals (separate sub-package package:data-gov-uk-time-intervals)### Linked Data APIRoots:http://reference.data.gov.uk/doc/departmenthttp://reference.data.gov.uk/doc/mp,http://reference.data.gov.uk/,True,1.0,52,0.009,0.028,-,45809,referencedatagovuk,-,-,-,-,-,-,-,-,-,-,-,-,endpoint offline,endpoint offline,http://services.data.gov.uk/reference/sparql,Not provided,-,-,-,endpoint offline,-,-,-,-,endpoint offline,-,-,0.007232367757179946,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Web:http://reference.data.gov.uk/ Name:Data.gov.uk Team Email:team@data.gov.uk,endpoint offline,endpoint offline,-,-,insufficient data,insufficient data,endpoint offline,endpoint offline,0.06,2945,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,True,endpoint offline,endpoint offline,insufficient data,0.303,44.73,-,-,endpoint offline,endpoint offline,True
2022-07-31,0,0,False,-,reference.data.gov.uk,Reference data for linked UK government data:* People* Departments* Namespace for various time intervals (separate sub-package package:data-gov-uk-time-intervals)### Linked Data APIRoots:http://reference.data.gov.uk/doc/departmenthttp://reference.data.gov.uk/doc/mp,http://reference.data.gov.uk/,True,1.0,52,0.009,0.028,-,45809,referencedatagovuk,-,-,-,-,-,-,-,-,-,-,-,-,endpoint offline,endpoint offline,http://services.data.gov.uk/reference/sparql,Not provided,-,-,-,endpoint offline,-,-,-,-,endpoint offline,-,-,0.007232367757179946,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Web:http://reference.data.gov.uk/ Name:Data.gov.uk Team Email:team@data.gov.uk,endpoint offline,endpoint offline,-,-,insufficient data,insufficient data,endpoint offline,endpoint offline,0.06,2945,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,True,endpoint offline,endpoint offline,insufficient data,0.303,0.08,-,-,endpoint offline,endpoint offline,True
2022-08-07,0,0,False,-,reference.data.gov.uk,Reference data for linked UK government data:* People* Departments* Namespace for various time intervals (separate sub-package package:data-gov-uk-time-intervals)### Linked Data APIRoots:http://reference.data.gov.uk/doc/departmenthttp://reference.data.gov.uk/doc/mp,http://reference.data.gov.uk/,absent,0.75,52,0.009,0.028,-,45809,referencedatagovuk,-,-,-,-,-,-,-,-,-,-,-,-,endpoint offline,endpoint offline,http://services.data.gov.uk/reference/sparql,Not provided,-,-,-,endpoint offline,-,-,-,-,endpoint offline,-,-,0.007232367757179946,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Web:http://reference.data.gov.uk/ Name:Data.gov.uk Team Email:team@data.gov.uk,endpoint offline,endpoint offline,-,-,insufficient data,insufficient data,endpoint offline,endpoint offline,0.06,2945,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,True,endpoint offline,endpoint offline,insufficient data,0.29,0.08,-,-,endpoint offline,endpoint offline,True
2022-08-21,0,0,False,-,reference.data.gov.uk,Reference data for linked UK government data:* People* Departments* Namespace for various time intervals (separate sub-package package:data-gov-uk-time-intervals)### Linked Data APIRoots:http://reference.data.gov.uk/doc/departmenthttp://reference.data.gov.uk/doc/mp,http://reference.data.gov.uk/,True,1.0,52,0.009,0.028,-,45809,referencedatagovuk,-,-,-,-,-,-,-,-,-,-,-,-,endpoint offline,endpoint offline,http://services.data.gov.uk/reference/sparql,Not provided,-,-,-,endpoint offline,-,-,-,-,endpoint offline,-,-,0.007232367757179946,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Web:http://reference.data.gov.uk/ Name:Data.gov.uk Team Email:team@data.gov.uk,endpoint offline,endpoint offline,-,-,insufficient data,insufficient data,endpoint offline,endpoint offline,0.06,2945,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,True,endpoint offline,endpoint offline,insufficient data,0.303,13.32,-,-,endpoint offline,endpoint offline,True
2022-08-28,0,0,False,-,reference.data.gov.uk,Reference data for linked UK government data:* People* Departments* Namespace for various time intervals (separate sub-package package:data-gov-uk-time-intervals)### Linked Data APIRoots:http://reference.data.gov.uk/doc/departmenthttp://reference.data.gov.uk/doc/mp,http://reference.data.gov.uk/,True,1.0,52,0.009,0.028,-,45809,referencedatagovuk,-,-,-,-,-,-,-,-,-,-,-,-,endpoint offline,endpoint offline,http://services.data.gov.uk/reference/sparql,Not provided,-,-,-,endpoint offline,-,-,-,-,endpoint offline,-,-,0.007232367757179946,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Web:http://reference.data.gov.uk/ Name:Data.gov.uk Team Email:team@data.gov.uk,endpoint offline,endpoint offline,-,-,insufficient data,insufficient data,endpoint offline,endpoint offline,0.06,2945,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,True,endpoint offline,endpoint offline,insufficient data,0.303,13.32,-,-,endpoint offline,endpoint offline,True
2022-09-04,0,-1,False,-,reference.data.gov.uk,Reference data for linked UK government data:* People* Departments* Namespace for various time intervals (separate sub-package package:data-gov-uk-time-intervals)### Linked Data APIRoots:http://reference.data.gov.uk/doc/departmenthttp://reference.data.gov.uk/doc/mp,http://reference.data.gov.uk/,True,1.0,52,0.009,0.028,-,45809,referencedatagovuk,-,-,-,-,-,-,-,-,-,-,-,-,endpoint offline,endpoint offline,http://services.data.gov.uk/reference/sparql,Not provided,-,-,-,endpoint offline,-,-,-,-,endpoint offline,-,-,0.007232367757179946,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Web:http://reference.data.gov.uk/ Name:Data.gov.uk Team Email:team@data.gov.uk,endpoint offline,endpoint offline,-,-,insufficient data,insufficient data,endpoint offline,endpoint offline,0.06,2945,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,True,endpoint offline,endpoint offline,insufficient data,0.303,0.1,-,-,endpoint offline,endpoint offline,True
2022-09-11,0,-1,False,-,reference.data.gov.uk,Reference data for linked UK government data:* People* Departments* Namespace for various time intervals (separate sub-package package:data-gov-uk-time-intervals)### Linked Data APIRoots:http://reference.data.gov.uk/doc/departmenthttp://reference.data.gov.uk/doc/mp,http://reference.data.gov.uk/,True,1.0,52,0.009,0.028,-,45809,referencedatagovuk,-,-,-,-,-,-,-,-,-,-,-,-,endpoint offline,endpoint offline,http://services.data.gov.uk/reference/sparql,Not provided,-,-,-,endpoint offline,-,-,-,-,endpoint offline,-,-,0.007232367757179946,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Web:http://reference.data.gov.uk/ Name:Data.gov.uk Team Email:team@data.gov.uk,endpoint offline,endpoint offline,-,-,insufficient data,insufficient data,endpoint offline,endpoint offline,0.06,2945,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,True,endpoint offline,endpoint offline,insufficient data,0.303,0.1,-,-,endpoint offline,endpoint offline,True
2022-09-18,0,-1,False,-,reference.data.gov.uk,Reference data for linked UK government data:* People* Departments* Namespace for various time intervals (separate sub-package package:data-gov-uk-time-intervals)### Linked Data APIRoots:http://reference.data.gov.uk/doc/departmenthttp://reference.data.gov.uk/doc/mp,http://reference.data.gov.uk/,True,1.0,52,0.009,0.028,-,45809,referencedatagovuk,-,-,-,-,-,-,-,-,-,-,-,-,endpoint offline,endpoint offline,http://services.data.gov.uk/reference/sparql,Not provided,-,-,-,endpoint offline,-,-,-,-,endpoint offline,-,-,0.007232367757179946,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Web:http://reference.data.gov.uk/ Name:Data.gov.uk Team Email:team@data.gov.uk,endpoint offline,endpoint offline,-,-,insufficient data,insufficient data,endpoint offline,endpoint offline,0.06,2945,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,True,endpoint offline,endpoint offline,insufficient data,0.303,11.43,-,-,endpoint offline,endpoint offline,True
2022-10-02,0,-1,False,-,reference.data.gov.uk,Reference data for linked UK government data:* People* Departments* Namespace for various time intervals (separate sub-package package:data-gov-uk-time-intervals)### Linked Data APIRoots:http://reference.data.gov.uk/doc/departmenthttp://reference.data.gov.uk/doc/mp,http://reference.data.gov.uk/,True,1.0,52,0.009,0.028,-,45809,referencedatagovuk,-,-,-,-,-,-,-,-,-,-,-,-,endpoint offline,endpoint offline,http://services.data.gov.uk/reference/sparql,Not provided,-,-,-,endpoint offline,-,-,-,-,endpoint offline,-,-,0.007232367757179946,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Web:http://reference.data.gov.uk/ Name:Data.gov.uk Team Email:team@data.gov.uk,endpoint offline,endpoint offline,-,-,insufficient data,insufficient data,endpoint offline,endpoint offline,0.06,2945,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,True,endpoint offline,endpoint offline,insufficient data,0.303,11.43,-,-,endpoint offline,endpoint offline,True
2022-10-09,0,-1,False,-,reference.data.gov.uk,Reference data for linked UK government data:* People* Departments* Namespace for various time intervals (separate sub-package package:data-gov-uk-time-intervals)### Linked Data APIRoots:http://reference.data.gov.uk/doc/departmenthttp://reference.data.gov.uk/doc/mp,http://reference.data.gov.uk/,True,1.0,52,0.009,0.028,-,45809,referencedatagovuk,-,-,-,-,-,-,-,-,-,-,-,-,endpoint offline,endpoint offline,http://services.data.gov.uk/reference/sparql,Not provided,-,-,-,endpoint offline,-,-,-,-,endpoint offline,-,-,0.007232367757179946,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Web:http://reference.data.gov.uk/ Name:Data.gov.uk Team Email:team@data.gov.uk,endpoint offline,endpoint offline,-,-,insufficient data,insufficient data,endpoint offline,endpoint offline,0.06,2945,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,True,endpoint offline,endpoint offline,insufficient data,0.303,11.43,-,-,endpoint offline,endpoint offline,True
