Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,1,0,Creative Commons Attribution - cc-by -,False,SSF,Syntactic and semantic framework of Croatian language,Absent,absent,0.5,[],{},nan,0,5611,ssflexicon,0.079,0.080,0.080,0.080,0.080,13,13.0,13.0,13.0,13,False,False,[],[],http://www.ss-framework.com/sparql,Not provided,1.0,1.0,1.0,41,-,1.0,1.0,1.0,True,1.0,0.9998217786490822,-,Not indicated,Name: Marko Orešković; Email:None,Not indicated,Not indicated,Web:Absent Name:Marko Orešković Email:marko@ene.li,False,not indicated,2022-05-26,2022-05-26,742,59,0.9859205132774906 (out of 5611 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,23,28,58.0,63.0,68.0,101,31,50.0,56.0,60.5,75,28,61.0,68.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap,41,No regex provided,False,6,True,2022-05-26|742,1.058,44.84,1.0,1.0,False,[],True
2022-07-31,1,0,Creative Commons Attribution - cc-by -,False,SSF,Syntactic and semantic framework of Croatian language,Absent,absent,0.5,[],{},nan,0,5611,ssflexicon,0.080,0.082,0.083,0.084,0.097,13,13.0,13.0,13.0,13,False,False,[],[],http://www.ss-framework.com/sparql,Not provided,1.0,1.0,1.0,41,-,1.0,1.0,1.0,True,1.0,0.9998217786490822,-,Not indicated,Name: Marko Orešković; Email:None,Not indicated,Not indicated,Web:Absent Name:Marko Orešković Email:marko@ene.li,False,not indicated,2022-05-26,2022-05-26,742,71,0.9859205132774906 (out of 5611 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,23,28,58.0,63.0,68.0,101,31,50.0,56.0,60.5,75,28,61.0,68.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap,41,No regex provided,False,6,True,2022-05-26|742,1.058,0.28,1.0,1.0,False,Could not process formulated query on indicated enpdoint,True
2022-08-07,1,0,Creative Commons Attribution - cc-by -,False,SSF,Syntactic and semantic framework of Croatian language,Absent,absent,0.5,[],{},nan,0,5611,ssflexicon,0.081,0.082,0.082,0.082,0.116,12,13.0,13.0,13.0,13,False,False,[],[],http://www.ss-framework.com/sparql,Not provided,1.0,1.0,1.0,41,-,1.0,1.0,1.0,True,1.0,0.9998217786490822,-,Not indicated,Name: Marko Orešković; Email:None,Not indicated,Not indicated,Web:Absent Name:Marko Orešković Email:marko@ene.li,False,not indicated,2022-05-26,2022-05-26,742,78,0.9859205132774906 (out of 5611 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,23,28,58.0,63.0,68.0,101,31,50.0,56.0,60.5,75,28,61.0,68.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap,41,No regex provided,False,6,True,2022-05-26|742,1.058,0.28,1.0,1.0,False,Could not process formulated query on indicated enpdoint,True
2022-08-21,1,0,Creative Commons Attribution - cc-by -,False,SSF,Syntactic and semantic framework of Croatian language,Absent,absent,0.5,[],{},nan,0,5611,ssflexicon,0.078,0.078,0.080,0.081,0.083,13,13.0,13.0,13.0,13,False,False,[],[],http://www.ss-framework.com/sparql,Not provided,1.0,1.0,1.0,41,-,1.0,1.0,1.0,True,1.0,0.9998217786490822,-,Not indicated,Name: Marko Orešković; Email:None,Not indicated,Not indicated,Web:Absent Name:Marko Orešković Email:marko@ene.li,False,not indicated,2022-05-26,2022-05-26,742,92,0.9859205132774906 (out of 5611 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,23,28,58.0,63.0,68.0,101,31,50.0,56.0,60.5,75,28,61.0,68.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap,41,No regex provided,False,6,True,2022-05-26|742,1.058,46.53,1.0,1.0,False,Could not process formulated query on indicated enpdoint,True
2022-08-28,1,0,Creative Commons Attribution - cc-by -,False,SSF,Syntactic and semantic framework of Croatian language,Absent,absent,0.5,[],{},nan,0,5611,ssflexicon,0.078,0.079,0.079,0.079,0.080,13,13.0,13.0,13.0,13,False,False,[],[],http://www.ss-framework.com/sparql,Not provided,1.0,1.0,1.0,41,-,1.0,1.0,1.0,True,1.0,0.9998217786490822,-,Not indicated,Name: Marko Orešković; Email:None,Not indicated,Not indicated,Web:Absent Name:Marko Orešković Email:marko@ene.li,False,not indicated,2022-05-26,2022-05-26,742,100,0.9859205132774906 (out of 5611 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,23,28,58.0,63.0,68.0,101,31,50.0,56.0,60.5,75,28,61.0,68.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap,41,No regex provided,False,6,True,2022-05-26|742,1.058,46.53,1.0,1.0,False,Could not process formulated query on indicated enpdoint,True
2022-09-04,1,-1,Creative Commons Attribution - cc-by -,False,SSF,Syntactic and semantic framework of Croatian language,Absent,absent,0.5,[],{},nan,0,5611,ssflexicon,0.102,0.103,0.103,0.103,0.103,10,10.0,10.0,10.0,10,False,False,[],[],http://www.ss-framework.com/sparql,Not provided,1.0,1.0,1.0,41,-,1.0,1.0,1.0,True,1.0,0.9998217786490822,-,Not indicated,Name: Marko Orešković; Email:None,Not indicated,Not indicated,Web:Absent Name:Marko Orešković Email:marko@ene.li,False,not indicated,2022-05-26,2022-05-26,742,107,0.9859205132774906 (out of 5611 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,32,28,58.0,63.0,68.0,101,31,50.0,56.0,60.5,75,28,61.0,68.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap,41,No regex provided,False,6,True,2022-05-26|742,1.058,0.35,1.0,1.0,False,Could not process formulated query on indicated enpdoint,True
2022-09-11,1,-1,Creative Commons Attribution - cc-by -,False,SSF,Syntactic and semantic framework of Croatian language,Absent,absent,0.5,[],{},nan,0,5611,ssflexicon,0.102,0.103,0.103,0.103,0.105,10,10.0,10.0,10.0,10,False,False,[],[],http://www.ss-framework.com/sparql,Not provided,1.0,1.0,1.0,41,-,1.0,1.0,1.0,True,1.0,0.9998217786490822,-,Not indicated,Name: Marko Orešković; Email:None,Not indicated,Not indicated,Web:Absent Name:Marko Orešković Email:marko@ene.li,False,not indicated,2022-05-26,2022-05-26,742,114,0.9859205132774906 (out of 5611 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,32,28,58.0,63.0,68.0,101,31,50.0,56.0,60.5,75,28,61.0,68.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap,41,No regex provided,False,6,True,2022-05-26|742,1.058,0.35,1.0,1.0,False,Could not process formulated query on indicated enpdoint,True
2022-09-18,1,-1,Creative Commons Attribution - cc-by -,False,SSF,Syntactic and semantic framework of Croatian language,Absent,absent,0.5,[],{},nan,0,5611,ssflexicon,0.101,0.102,0.102,0.104,0.105,10,10.0,10.0,10.0,10,False,False,[],[],http://www.ss-framework.com/sparql,Not provided,1.0,1.0,1.0,41,-,1.0,1.0,1.0,True,1.0,0.9998217786490822,-,Not indicated,Name: Marko Orešković; Email:None,Not indicated,Not indicated,Web:Absent Name:Marko Orešković Email:marko@ene.li,False,not indicated,2022-05-26,2022-05-26,742,121,0.9859205132774906 (out of 5611 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,32,28,58.0,63.0,68.0,101,31,50.0,56.0,60.5,75,28,61.0,68.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap,41,No regex provided,False,6,True,2022-05-26|742,1.058,39.92,1.0,1.0,False,Could not process formulated query on indicated enpdoint,True
2022-10-02,1,-1,Creative Commons Attribution - cc-by -,False,SSF,Syntactic and semantic framework of Croatian language,Absent,absent,0.5,[],{},nan,0,5611,ssflexicon,0.096,0.108,0.108,0.109,0.124,9,9.0,9.0,10.0,10,False,False,[],[],http://www.ss-framework.com/sparql,Not provided,1.0,1.0,1.0,41,-,1.0,1.0,1.0,True,1.0,0.9998217786490822,-,Not indicated,Name: Marko Orešković; Email:None,Not indicated,Not indicated,Web:Absent Name:Marko Orešković Email:marko@ene.li,False,not indicated,2022-05-26,2022-05-26,742,135,0.9859205132774906 (out of 5611 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,32,28,58.0,63.0,68.0,101,31,50.0,56.0,60.5,75,28,61.0,68.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap,41,No regex provided,False,6,True,2022-05-26|742,1.058,39.92,1.0,1.0,False,Could not process formulated query on indicated enpdoint,True
2022-10-09,1,-1,Creative Commons Attribution - cc-by -,False,SSF,Syntactic and semantic framework of Croatian language,Absent,absent,0.5,[],{},nan,0,5611,ssflexicon,0.096,0.108,0.114,0.124,0.124,10,10.0,10.0,10.0,10,False,False,[],[],http://www.ss-framework.com/sparql,Not provided,1.0,1.0,1.0,41,-,1.0,1.0,1.0,True,1.0,0.9998217786490822,-,Not indicated,Name: Marko Orešković; Email:None,Not indicated,Not indicated,Web:Absent Name:Marko Orešković Email:marko@ene.li,False,not indicated,2022-05-26,2022-05-26,742,142,0.9859205132774906 (out of 5611 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,32,28,58.0,63.0,68.0,101,31,50.0,56.0,60.5,75,28,61.0,68.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap,41,No regex provided,False,6,True,2022-05-26|742,1.058,39.92,1.0,1.0,False,Could not process formulated query on indicated enpdoint,True
