Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,1,0,Creative Commons Attribution - cc-by -,False,Thesaurus BNCF,Nuovo soggettario (NS)- edited by the National Central Library of Florence- is the Italian subject indexing tool for various types of resources. It has been developed in compliance with the IFLA recommendations- and other international standards in the field of subject indexing. This tool has been created for general and specialized Italian libraries- and for museums- multimedia libraries- archives and documentation centres. The main component of the NS is a general thesaurus available on the web since 2007 (http://thes.bncf.firenze.sbn.it/ricerca.php). The thesaurus comprises nowadays approximately 52400 terms and it is updated on a regular basis. ,Absent,absent,0.5,[],{},nan,0,786062,thesaurusbncf,0.108,0.108,0.134,0.135,0.170,6,6.0,7.0,8.0,9,False,True,[],it,http://digitale.bncf.firenze.sbn.it/openrdf-workbench/repositories/NS/query,Not provided,1.0,1.0,1.0,130582,-,1.0,0.9999974556714356,-,True,1.0,1.0,-,Not indicated,Name: BNCF; Email:bnc-fi.nuovosoggettario@beniculturali.it,Not indicated,Not indicated,Web:Absent Name:BNCF Email:bnc-fi.nuovosoggettario@beniculturali.it,False,not indicated,2010-11-30,-,insufficient data,insufficient data,0.987595126084202 (out of 786062 triples considered),Could not process formulated query on indicated endpoint,0.00,0,Insufficient data,0,26,30.0,30.0,30.0,33,31,38.0,43.0,45.0,49,26,30.0,30.0,39.0,98,No new vocabulary defined,No new term defined,130582,No regex provided,True,0,False,Insufficient data,1.106,44.85,1.0,1.0,False,['http://creativecommons.org/licenses/by/2.5/it/deed.it'],False
2022-07-31,1,0,Creative Commons Attribution - cc-by -,False,Thesaurus BNCF,Nuovo soggettario (NS)- edited by the National Central Library of Florence- is the Italian subject indexing tool for various types of resources. It has been developed in compliance with the IFLA recommendations- and other international standards in the field of subject indexing. This tool has been created for general and specialized Italian libraries- and for museums- multimedia libraries- archives and documentation centres. The main component of the NS is a general thesaurus available on the web since 2007 (http://thes.bncf.firenze.sbn.it/ricerca.php). The thesaurus comprises nowadays approximately 52400 terms and it is updated on a regular basis. ,Absent,absent,0.5,[],{},nan,0,786062,thesaurusbncf,0.107,0.110,0.110,0.111,0.157,10,10.0,10.0,10.0,10,False,True,[],it,http://digitale.bncf.firenze.sbn.it/openrdf-workbench/repositories/NS/query,Not provided,1.0,1.0,1.0,130582,-,1.0,0.9999974556714356,-,True,1.0,1.0,-,Not indicated,Name: BNCF; Email:bnc-fi.nuovosoggettario@beniculturali.it,Not indicated,Not indicated,Web:Absent Name:BNCF Email:bnc-fi.nuovosoggettario@beniculturali.it,False,not indicated,2010-11-30,-,insufficient data,insufficient data,0.987595126084202 (out of 786062 triples considered),Could not process formulated query on indicated endpoint,0.00,0,Insufficient data,0,26,30.0,30.0,30.0,33,31,38.0,43.0,45.0,49,26,30.0,30.0,39.0,98,No new vocabulary defined,No new term defined,130582,No regex provided,True,0,False,Insufficient data,1.106,0.29,1.0,1.0,False,http://creativecommons.org/licenses/by/2.5/it/deed.it,False
2022-08-07,1,0,Creative Commons Attribution - cc-by -,False,Thesaurus BNCF,Nuovo soggettario (NS)- edited by the National Central Library of Florence- is the Italian subject indexing tool for various types of resources. It has been developed in compliance with the IFLA recommendations- and other international standards in the field of subject indexing. This tool has been created for general and specialized Italian libraries- and for museums- multimedia libraries- archives and documentation centres. The main component of the NS is a general thesaurus available on the web since 2007 (http://thes.bncf.firenze.sbn.it/ricerca.php). The thesaurus comprises nowadays approximately 52400 terms and it is updated on a regular basis. ,Absent,absent,0.5,[],{},nan,0,786062,thesaurusbncf,0.128,0.139,0.146,0.154,0.165,8,8.0,8.0,8.0,8,False,True,[],it,http://digitale.bncf.firenze.sbn.it/openrdf-workbench/repositories/NS/query,Not provided,1.0,1.0,1.0,130582,-,1.0,0.9999974556714356,-,True,1.0,1.0,-,Not indicated,Name: BNCF; Email:bnc-fi.nuovosoggettario@beniculturali.it,Not indicated,Not indicated,Web:Absent Name:BNCF Email:bnc-fi.nuovosoggettario@beniculturali.it,False,not indicated,2010-11-30,-,insufficient data,insufficient data,0.987595126084202 (out of 786062 triples considered),Could not process formulated query on indicated endpoint,0.00,0,Insufficient data,0,26,30.0,30.0,30.0,33,31,38.0,43.0,45.0,49,26,30.0,30.0,39.0,98,No new vocabulary defined,No new term defined,130582,No regex provided,True,0,False,Insufficient data,1.106,0.29,1.0,1.0,False,http://creativecommons.org/licenses/by/2.5/it/deed.it,False
2022-08-21,1,0,Creative Commons Attribution - cc-by -,False,Thesaurus BNCF,Nuovo soggettario (NS)- edited by the National Central Library of Florence- is the Italian subject indexing tool for various types of resources. It has been developed in compliance with the IFLA recommendations- and other international standards in the field of subject indexing. This tool has been created for general and specialized Italian libraries- and for museums- multimedia libraries- archives and documentation centres. The main component of the NS is a general thesaurus available on the web since 2007 (http://thes.bncf.firenze.sbn.it/ricerca.php). The thesaurus comprises nowadays approximately 52400 terms and it is updated on a regular basis. ,Absent,absent,0.5,[],{},nan,0,786062,thesaurusbncf,0.135,0.138,0.145,0.147,0.205,7,7.0,8.0,8.0,8,False,True,[],it,http://digitale.bncf.firenze.sbn.it/openrdf-workbench/repositories/NS/query,Not provided,1.0,1.0,1.0,130582,-,1.0,0.9999974556714356,-,True,1.0,1.0,-,Not indicated,Name: BNCF; Email:bnc-fi.nuovosoggettario@beniculturali.it,Not indicated,Not indicated,Web:Absent Name:BNCF Email:bnc-fi.nuovosoggettario@beniculturali.it,False,not indicated,2010-11-30,-,insufficient data,insufficient data,0.987595126084202 (out of 786062 triples considered),Could not process formulated query on indicated endpoint,0.00,0,Insufficient data,0,26,30.0,30.0,30.0,33,31,38.0,43.0,45.0,49,26,30.0,30.0,39.0,98,No new vocabulary defined,No new term defined,130582,No regex provided,True,0,False,Insufficient data,1.106,48.64,1.0,1.0,False,http://creativecommons.org/licenses/by/2.5/it/deed.it,False
2022-08-28,1,0,Creative Commons Attribution - cc-by -,False,Thesaurus BNCF,Nuovo soggettario (NS)- edited by the National Central Library of Florence- is the Italian subject indexing tool for various types of resources. It has been developed in compliance with the IFLA recommendations- and other international standards in the field of subject indexing. This tool has been created for general and specialized Italian libraries- and for museums- multimedia libraries- archives and documentation centres. The main component of the NS is a general thesaurus available on the web since 2007 (http://thes.bncf.firenze.sbn.it/ricerca.php). The thesaurus comprises nowadays approximately 52400 terms and it is updated on a regular basis. ,Absent,absent,0.5,[],{},nan,0,786062,thesaurusbncf,0.148,0.152,0.156,0.158,0.189,7,7.0,7.0,7.0,8,False,True,[],it,http://digitale.bncf.firenze.sbn.it/openrdf-workbench/repositories/NS/query,Not provided,1.0,1.0,1.0,130582,-,1.0,0.9999974556714356,-,True,1.0,1.0,-,Not indicated,Name: BNCF; Email:bnc-fi.nuovosoggettario@beniculturali.it,Not indicated,Not indicated,Web:Absent Name:BNCF Email:bnc-fi.nuovosoggettario@beniculturali.it,False,not indicated,2010-11-30,-,insufficient data,insufficient data,0.987595126084202 (out of 786062 triples considered),Could not process formulated query on indicated endpoint,0.00,0,Insufficient data,0,26,30.0,30.0,30.0,33,31,38.0,43.0,45.0,49,26,30.0,30.0,39.0,98,No new vocabulary defined,No new term defined,130582,No regex provided,True,0,False,Insufficient data,1.106,48.64,1.0,1.0,False,http://creativecommons.org/licenses/by/2.5/it/deed.it,False
2022-09-04,1,-1,Creative Commons Attribution - cc-by -,False,Thesaurus BNCF,Nuovo soggettario (NS)- edited by the National Central Library of Florence- is the Italian subject indexing tool for various types of resources. It has been developed in compliance with the IFLA recommendations- and other international standards in the field of subject indexing. This tool has been created for general and specialized Italian libraries- and for museums- multimedia libraries- archives and documentation centres. The main component of the NS is a general thesaurus available on the web since 2007 (http://thes.bncf.firenze.sbn.it/ricerca.php). The thesaurus comprises nowadays approximately 52400 terms and it is updated on a regular basis. ,Absent,absent,0.5,[],{},nan,0,786062,thesaurusbncf,0.115,0.127,0.136,0.148,0.203,6,7.0,7.0,8.0,8,False,True,[],it,http://digitale.bncf.firenze.sbn.it/openrdf-workbench/repositories/NS/query,Not provided,1.0,1.0,1.0,130582,-,1.0,0.9999974556714356,-,True,1.0,1.0,-,Not indicated,Name: BNCF; Email:bnc-fi.nuovosoggettario@beniculturali.it,Not indicated,Not indicated,Web:Absent Name:BNCF Email:bnc-fi.nuovosoggettario@beniculturali.it,False,not indicated,2010-11-30,-,insufficient data,insufficient data,0.987595126084202 (out of 786062 triples considered),Could not process formulated query on indicated endpoint,0.00,0,Insufficient data,0,26,30.0,30.0,30.0,33,31,38.0,43.0,45.0,49,26,30.0,30.0,39.0,98,No new vocabulary defined,No new term defined,130582,No regex provided,True,0,False,Insufficient data,1.106,0.36,1.0,1.0,False,http://creativecommons.org/licenses/by/2.5/it/deed.it,False
2022-09-11,1,-1,Creative Commons Attribution - cc-by -,False,Thesaurus BNCF,Nuovo soggettario (NS)- edited by the National Central Library of Florence- is the Italian subject indexing tool for various types of resources. It has been developed in compliance with the IFLA recommendations- and other international standards in the field of subject indexing. This tool has been created for general and specialized Italian libraries- and for museums- multimedia libraries- archives and documentation centres. The main component of the NS is a general thesaurus available on the web since 2007 (http://thes.bncf.firenze.sbn.it/ricerca.php). The thesaurus comprises nowadays approximately 52400 terms and it is updated on a regular basis. ,Absent,absent,0.5,[],{},nan,0,786062,thesaurusbncf,0.131,0.137,0.137,0.143,0.205,6,7.0,7.0,8.0,8,False,True,[],it,http://digitale.bncf.firenze.sbn.it/openrdf-workbench/repositories/NS/query,Not provided,1.0,1.0,1.0,130582,-,1.0,0.9999974556714356,-,True,1.0,1.0,-,Not indicated,Name: BNCF; Email:bnc-fi.nuovosoggettario@beniculturali.it,Not indicated,Not indicated,Web:Absent Name:BNCF Email:bnc-fi.nuovosoggettario@beniculturali.it,False,not indicated,2010-11-30,-,insufficient data,insufficient data,0.987595126084202 (out of 786062 triples considered),Could not process formulated query on indicated endpoint,0.00,0,Insufficient data,0,26,30.0,30.0,30.0,33,31,38.0,43.0,45.0,49,26,30.0,30.0,39.0,98,No new vocabulary defined,No new term defined,130582,No regex provided,True,0,False,Insufficient data,1.106,0.36,1.0,1.0,False,http://creativecommons.org/licenses/by/2.5/it/deed.it,False
2022-09-18,1,-1,Creative Commons Attribution - cc-by -,False,Thesaurus BNCF,Nuovo soggettario (NS)- edited by the National Central Library of Florence- is the Italian subject indexing tool for various types of resources. It has been developed in compliance with the IFLA recommendations- and other international standards in the field of subject indexing. This tool has been created for general and specialized Italian libraries- and for museums- multimedia libraries- archives and documentation centres. The main component of the NS is a general thesaurus available on the web since 2007 (http://thes.bncf.firenze.sbn.it/ricerca.php). The thesaurus comprises nowadays approximately 52400 terms and it is updated on a regular basis. ,Absent,absent,0.5,[],{},nan,0,786062,thesaurusbncf,0.127,0.131,0.138,0.140,0.179,6,7.0,7.0,8.0,8,False,True,[],it,http://digitale.bncf.firenze.sbn.it/openrdf-workbench/repositories/NS/query,Not provided,1.0,1.0,1.0,130582,-,1.0,0.9999974556714356,-,True,1.0,1.0,-,Not indicated,Name: BNCF; Email:bnc-fi.nuovosoggettario@beniculturali.it,Not indicated,Not indicated,Web:Absent Name:BNCF Email:bnc-fi.nuovosoggettario@beniculturali.it,False,not indicated,2010-11-30,-,insufficient data,insufficient data,0.987595126084202 (out of 786062 triples considered),Could not process formulated query on indicated endpoint,0.00,0,Insufficient data,0,26,30.0,30.0,30.0,33,31,38.0,43.0,45.0,49,26,30.0,30.0,39.0,98,No new vocabulary defined,No new term defined,130582,No regex provided,True,0,False,Insufficient data,1.106,41.74,1.0,1.0,False,http://creativecommons.org/licenses/by/2.5/it/deed.it,False
2022-10-02,1,-1,Creative Commons Attribution - cc-by -,False,Thesaurus BNCF,Nuovo soggettario (NS)- edited by the National Central Library of Florence- is the Italian subject indexing tool for various types of resources. It has been developed in compliance with the IFLA recommendations- and other international standards in the field of subject indexing. This tool has been created for general and specialized Italian libraries- and for museums- multimedia libraries- archives and documentation centres. The main component of the NS is a general thesaurus available on the web since 2007 (http://thes.bncf.firenze.sbn.it/ricerca.php). The thesaurus comprises nowadays approximately 52400 terms and it is updated on a regular basis. ,Absent,absent,0.5,[],{},nan,0,786062,thesaurusbncf,0.123,0.154,0.155,0.165,0.181,6,7.0,8.0,8.0,8,False,True,[],it,http://digitale.bncf.firenze.sbn.it/openrdf-workbench/repositories/NS/query,Not provided,1.0,1.0,1.0,130582,-,1.0,0.9999974556714356,-,True,1.0,1.0,-,Not indicated,Name: BNCF; Email:bnc-fi.nuovosoggettario@beniculturali.it,Not indicated,Not indicated,Web:Absent Name:BNCF Email:bnc-fi.nuovosoggettario@beniculturali.it,False,not indicated,2010-11-30,-,insufficient data,insufficient data,0.987595126084202 (out of 786062 triples considered),Could not process formulated query on indicated endpoint,0.00,0,Insufficient data,0,26,30.0,30.0,30.0,33,31,38.0,43.0,45.0,49,26,30.0,30.0,39.0,98,No new vocabulary defined,No new term defined,130582,No regex provided,True,0,False,Insufficient data,1.106,41.74,1.0,1.0,False,http://creativecommons.org/licenses/by/2.5/it/deed.it,False
2022-10-09,1,-1,Creative Commons Attribution - cc-by -,False,Thesaurus BNCF,Nuovo soggettario (NS)- edited by the National Central Library of Florence- is the Italian subject indexing tool for various types of resources. It has been developed in compliance with the IFLA recommendations- and other international standards in the field of subject indexing. This tool has been created for general and specialized Italian libraries- and for museums- multimedia libraries- archives and documentation centres. The main component of the NS is a general thesaurus available on the web since 2007 (http://thes.bncf.firenze.sbn.it/ricerca.php). The thesaurus comprises nowadays approximately 52400 terms and it is updated on a regular basis. ,Absent,absent,0.5,[],{},nan,0,786062,thesaurusbncf,0.121,0.122,0.134,0.147,0.190,6,8.0,8.0,8.0,8,False,True,[],it,http://digitale.bncf.firenze.sbn.it/openrdf-workbench/repositories/NS/query,Not provided,1.0,1.0,1.0,130582,-,1.0,0.9999974556714356,-,True,1.0,1.0,-,Not indicated,Name: BNCF; Email:bnc-fi.nuovosoggettario@beniculturali.it,Not indicated,Not indicated,Web:Absent Name:BNCF Email:bnc-fi.nuovosoggettario@beniculturali.it,False,not indicated,2010-11-30,-,insufficient data,insufficient data,0.987595126084202 (out of 786062 triples considered),Could not process formulated query on indicated endpoint,0.00,0,Insufficient data,0,26,30.0,30.0,30.0,33,31,38.0,43.0,45.0,49,26,30.0,30.0,39.0,98,No new vocabulary defined,No new term defined,130582,No regex provided,True,0,False,Insufficient data,1.106,41.74,1.0,1.0,False,http://creativecommons.org/licenses/by/2.5/it/deed.it,False
