Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,1,0,Creative Commons Attribution - cc-by -,True,TweetsKB - A Public and Large-Scale RDF Corpus of Annotated Tweets,TweetsKB is a public RDF corpus of anonymized data for a large collection of annotated tweets. The dataset currently contains data for more than 1.5 billion tweets- spanning almost 5 years (January 2013 - November 2017). Metadata information about the tweets as well as extracted entities- sentiments- hashtags and user mentions are exposed in RDF using established RDF/S vocabularies. For the sake of privacy- we anonymize the usernames and we do not provide the text of the tweets. However- through the tweet IDs- actual tweet content and further information can be fetched.Links to all parts:* Part 1 (Jan 2013 - Feb 2014): https://zenodo.org/record/573852* Part 2 (Mar 2014 - Dec 2014): https://zenodo.org/record/577572* Part 3 (Jan 2015 - Oct 2015): https://zenodo.org/record/579597* Part 4 (Nov 2015 - Aug 2016): https://zenodo.org/record/579601* Part 5 (Sep 2016 - Nov 2017): https://zenodo.org/record/1095592Sample files- example queries and more information are available through TweetsKB's home page: http://l3s.de/tweetsKB/.,http://l3s.de/tweetsKB/,absent,0.75,[],{},nan,0,2292801662,tweetskb,0.162,0.164,0.166,0.166,0.168,7,7.0,7.0,7.0,7,False,True,[],Could not process formulated query on indicated endpoint.,https://data.gesis.org/tweetskb/sparql,Not provided,1.0,1.0,1.0,32743121,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Pavlos Fafalios; Email:fafalios@l3s.de,Not indicated,Not indicated,Web:http://l3s.de/tweetsKB/ Name:Pavlos Fafalios Email:fafalios@l3s.de,False,not indicated,2015-01-01,2020-06-08,2,776,0.9882 (out of 10000 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,23,28,62.0,69.0,77.0,101,26,48.0,55.0,60.0,75,28,62.25,69.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap,32743121,No regex provided,False,2292796047,True,2020-05-26|743; 2020-06-08|2,1.213,44.86,1.0,1.0,True,[],False
2022-07-31,1,0,Creative Commons Attribution - cc-by -,True,TweetsKB - A Public and Large-Scale RDF Corpus of Annotated Tweets,TweetsKB is a public RDF corpus of anonymized data for a large collection of annotated tweets. The dataset currently contains data for more than 1.5 billion tweets- spanning almost 5 years (January 2013 - November 2017). Metadata information about the tweets as well as extracted entities- sentiments- hashtags and user mentions are exposed in RDF using established RDF/S vocabularies. For the sake of privacy- we anonymize the usernames and we do not provide the text of the tweets. However- through the tweet IDs- actual tweet content and further information can be fetched.Links to all parts:* Part 1 (Jan 2013 - Feb 2014): https://zenodo.org/record/573852* Part 2 (Mar 2014 - Dec 2014): https://zenodo.org/record/577572* Part 3 (Jan 2015 - Oct 2015): https://zenodo.org/record/579597* Part 4 (Nov 2015 - Aug 2016): https://zenodo.org/record/579601* Part 5 (Sep 2016 - Nov 2017): https://zenodo.org/record/1095592Sample files- example queries and more information are available through TweetsKB's home page: http://l3s.de/tweetsKB/.,http://l3s.de/tweetsKB/,absent,0.75,[],{},nan,0,2292801662,tweetskb,0.212,0.216,0.217,0.221,0.221,7,7.0,7.0,7.0,7,False,True,[],Could not process formulated query on indicated endpoint.,https://data.gesis.org/tweetskb/sparql,Not provided,1.0,1.0,1.0,32743121,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Pavlos Fafalios; Email:fafalios@l3s.de,Not indicated,Not indicated,Web:http://l3s.de/tweetsKB/ Name:Pavlos Fafalios Email:fafalios@l3s.de,False,not indicated,2015-01-01,2020-06-08,2,788,0.9882 (out of 10000 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,23,28,62.0,69.0,77.0,101,26,48.0,55.0,60.0,75,28,62.25,69.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap,32743121,No regex provided,False,2292796047,True,2020-05-26|743; 2020-06-08|2,1.213,0.32,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-08-07,1,0,Creative Commons Attribution - cc-by -,True,TweetsKB - A Public and Large-Scale RDF Corpus of Annotated Tweets,TweetsKB is a public RDF corpus of anonymized data for a large collection of annotated tweets. The dataset currently contains data for more than 1.5 billion tweets- spanning almost 5 years (January 2013 - November 2017). Metadata information about the tweets as well as extracted entities- sentiments- hashtags and user mentions are exposed in RDF using established RDF/S vocabularies. For the sake of privacy- we anonymize the usernames and we do not provide the text of the tweets. However- through the tweet IDs- actual tweet content and further information can be fetched.Links to all parts:* Part 1 (Jan 2013 - Feb 2014): https://zenodo.org/record/573852* Part 2 (Mar 2014 - Dec 2014): https://zenodo.org/record/577572* Part 3 (Jan 2015 - Oct 2015): https://zenodo.org/record/579597* Part 4 (Nov 2015 - Aug 2016): https://zenodo.org/record/579601* Part 5 (Sep 2016 - Nov 2017): https://zenodo.org/record/1095592Sample files- example queries and more information are available through TweetsKB's home page: http://l3s.de/tweetsKB/.,http://l3s.de/tweetsKB/,absent,0.75,[],{},nan,0,2292801662,tweetskb,0.221,0.231,0.231,0.236,0.342,6,6.0,6.0,6.0,6,False,True,[],Could not process formulated query on indicated endpoint.,https://data.gesis.org/tweetskb/sparql,Not provided,1.0,1.0,1.0,32743121,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Pavlos Fafalios; Email:fafalios@l3s.de,Not indicated,Not indicated,Web:http://l3s.de/tweetsKB/ Name:Pavlos Fafalios Email:fafalios@l3s.de,False,not indicated,2015-01-01,2020-06-08,2,795,0.9882 (out of 10000 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,23,28,62.0,69.0,77.0,101,26,48.0,55.0,60.0,75,28,62.25,69.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap,32743121,No regex provided,False,2292796047,True,2020-05-26|743; 2020-06-08|2,1.213,0.32,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-08-21,1,0,Creative Commons Attribution - cc-by -,True,TweetsKB - A Public and Large-Scale RDF Corpus of Annotated Tweets,TweetsKB is a public RDF corpus of anonymized data for a large collection of annotated tweets. The dataset currently contains data for more than 1.5 billion tweets- spanning almost 5 years (January 2013 - November 2017). Metadata information about the tweets as well as extracted entities- sentiments- hashtags and user mentions are exposed in RDF using established RDF/S vocabularies. For the sake of privacy- we anonymize the usernames and we do not provide the text of the tweets. However- through the tweet IDs- actual tweet content and further information can be fetched.Links to all parts:* Part 1 (Jan 2013 - Feb 2014): https://zenodo.org/record/573852* Part 2 (Mar 2014 - Dec 2014): https://zenodo.org/record/577572* Part 3 (Jan 2015 - Oct 2015): https://zenodo.org/record/579597* Part 4 (Nov 2015 - Aug 2016): https://zenodo.org/record/579601* Part 5 (Sep 2016 - Nov 2017): https://zenodo.org/record/1095592Sample files- example queries and more information are available through TweetsKB's home page: http://l3s.de/tweetsKB/.,http://l3s.de/tweetsKB/,absent,0.75,[],{},nan,0,2292801662,tweetskb,0.164,0.166,0.167,0.167,0.167,6,7.0,7.0,7.0,7,False,True,[],Could not process formulated query on indicated endpoint.,https://data.gesis.org/tweetskb/sparql,Not provided,1.0,1.0,1.0,32743121,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Pavlos Fafalios; Email:fafalios@l3s.de,Not indicated,Not indicated,Web:http://l3s.de/tweetsKB/ Name:Pavlos Fafalios Email:fafalios@l3s.de,False,not indicated,2015-01-01,2020-06-08,2,809,0.9882 (out of 10000 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,23,28,62.0,69.0,77.0,101,26,48.0,55.0,60.0,75,28,62.25,69.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap,32743121,No regex provided,False,2292796047,True,2020-05-26|743; 2020-06-08|2,1.213,53.34,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-08-28,1,0,Creative Commons Attribution - cc-by -,True,TweetsKB - A Public and Large-Scale RDF Corpus of Annotated Tweets,TweetsKB is a public RDF corpus of anonymized data for a large collection of annotated tweets. The dataset currently contains data for more than 1.5 billion tweets- spanning almost 5 years (January 2013 - November 2017). Metadata information about the tweets as well as extracted entities- sentiments- hashtags and user mentions are exposed in RDF using established RDF/S vocabularies. For the sake of privacy- we anonymize the usernames and we do not provide the text of the tweets. However- through the tweet IDs- actual tweet content and further information can be fetched.Links to all parts:* Part 1 (Jan 2013 - Feb 2014): https://zenodo.org/record/573852* Part 2 (Mar 2014 - Dec 2014): https://zenodo.org/record/577572* Part 3 (Jan 2015 - Oct 2015): https://zenodo.org/record/579597* Part 4 (Nov 2015 - Aug 2016): https://zenodo.org/record/579601* Part 5 (Sep 2016 - Nov 2017): https://zenodo.org/record/1095592Sample files- example queries and more information are available through TweetsKB's home page: http://l3s.de/tweetsKB/.,http://l3s.de/tweetsKB/,absent,0.75,[],{},nan,0,2292801662,tweetskb,0.165,0.166,0.170,0.171,0.172,6,6.0,6.0,6.0,6,False,True,[],Could not process formulated query on indicated endpoint.,https://data.gesis.org/tweetskb/sparql,Not provided,1.0,1.0,1.0,32743121,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Pavlos Fafalios; Email:fafalios@l3s.de,Not indicated,Not indicated,Web:http://l3s.de/tweetsKB/ Name:Pavlos Fafalios Email:fafalios@l3s.de,False,not indicated,2015-01-01,2020-06-08,2,817,0.9882 (out of 10000 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,23,28,62.0,69.0,77.0,101,26,48.0,55.0,60.0,75,28,62.25,69.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap,32743121,No regex provided,False,2292796047,True,2020-05-26|743; 2020-06-08|2,1.213,53.34,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-09-04,1,-1,Creative Commons Attribution - cc-by -,True,TweetsKB - A Public and Large-Scale RDF Corpus of Annotated Tweets,TweetsKB is a public RDF corpus of anonymized data for a large collection of annotated tweets. The dataset currently contains data for more than 1.5 billion tweets- spanning almost 5 years (January 2013 - November 2017). Metadata information about the tweets as well as extracted entities- sentiments- hashtags and user mentions are exposed in RDF using established RDF/S vocabularies. For the sake of privacy- we anonymize the usernames and we do not provide the text of the tweets. However- through the tweet IDs- actual tweet content and further information can be fetched.Links to all parts:* Part 1 (Jan 2013 - Feb 2014): https://zenodo.org/record/573852* Part 2 (Mar 2014 - Dec 2014): https://zenodo.org/record/577572* Part 3 (Jan 2015 - Oct 2015): https://zenodo.org/record/579597* Part 4 (Nov 2015 - Aug 2016): https://zenodo.org/record/579601* Part 5 (Sep 2016 - Nov 2017): https://zenodo.org/record/1095592Sample files- example queries and more information are available through TweetsKB's home page: http://l3s.de/tweetsKB/.,http://l3s.de/tweetsKB/,absent,0.75,[],{},nan,0,2292801662,tweetskb,0.167,0.168,0.172,0.174,0.176,6,6.0,6.0,6.0,7,False,True,[],Could not process formulated query on indicated endpoint.,https://data.gesis.org/tweetskb/sparql,Not provided,1.0,1.0,1.0,32743121,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Pavlos Fafalios; Email:fafalios@l3s.de,Not indicated,Not indicated,Web:http://l3s.de/tweetsKB/ Name:Pavlos Fafalios Email:fafalios@l3s.de,False,not indicated,2015-01-01,2020-06-08,2,825,0.9882 (out of 10000 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,32,28,62.0,69.0,77.0,101,26,48.0,55.0,60.0,75,28,62.25,69.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap,32743121,No regex provided,False,2292796047,True,2020-05-26|743; 2020-06-08|2,1.213,0.4,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-09-11,1,-1,Creative Commons Attribution - cc-by -,True,TweetsKB - A Public and Large-Scale RDF Corpus of Annotated Tweets,TweetsKB is a public RDF corpus of anonymized data for a large collection of annotated tweets. The dataset currently contains data for more than 1.5 billion tweets- spanning almost 5 years (January 2013 - November 2017). Metadata information about the tweets as well as extracted entities- sentiments- hashtags and user mentions are exposed in RDF using established RDF/S vocabularies. For the sake of privacy- we anonymize the usernames and we do not provide the text of the tweets. However- through the tweet IDs- actual tweet content and further information can be fetched.Links to all parts:* Part 1 (Jan 2013 - Feb 2014): https://zenodo.org/record/573852* Part 2 (Mar 2014 - Dec 2014): https://zenodo.org/record/577572* Part 3 (Jan 2015 - Oct 2015): https://zenodo.org/record/579597* Part 4 (Nov 2015 - Aug 2016): https://zenodo.org/record/579601* Part 5 (Sep 2016 - Nov 2017): https://zenodo.org/record/1095592Sample files- example queries and more information are available through TweetsKB's home page: http://l3s.de/tweetsKB/.,http://l3s.de/tweetsKB/,absent,0.75,[],{},nan,0,2292801662,tweetskb,0.162,0.164,0.167,0.168,0.168,7,7.0,7.0,7.0,7,False,True,[],Could not process formulated query on indicated endpoint.,https://data.gesis.org/tweetskb/sparql,Not provided,1.0,1.0,1.0,32743121,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Pavlos Fafalios; Email:fafalios@l3s.de,Not indicated,Not indicated,Web:http://l3s.de/tweetsKB/ Name:Pavlos Fafalios Email:fafalios@l3s.de,False,not indicated,2015-01-01,2020-06-08,2,831,0.9882 (out of 10000 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,32,28,62.0,69.0,77.0,101,26,48.0,55.0,60.0,75,28,62.25,69.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap,32743121,No regex provided,False,2292796047,True,2020-05-26|743; 2020-06-08|2,1.213,0.4,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-09-18,1,-1,Creative Commons Attribution - cc-by -,True,TweetsKB - A Public and Large-Scale RDF Corpus of Annotated Tweets,TweetsKB is a public RDF corpus of anonymized data for a large collection of annotated tweets. The dataset currently contains data for more than 1.5 billion tweets- spanning almost 5 years (January 2013 - November 2017). Metadata information about the tweets as well as extracted entities- sentiments- hashtags and user mentions are exposed in RDF using established RDF/S vocabularies. For the sake of privacy- we anonymize the usernames and we do not provide the text of the tweets. However- through the tweet IDs- actual tweet content and further information can be fetched.Links to all parts:* Part 1 (Jan 2013 - Feb 2014): https://zenodo.org/record/573852* Part 2 (Mar 2014 - Dec 2014): https://zenodo.org/record/577572* Part 3 (Jan 2015 - Oct 2015): https://zenodo.org/record/579597* Part 4 (Nov 2015 - Aug 2016): https://zenodo.org/record/579601* Part 5 (Sep 2016 - Nov 2017): https://zenodo.org/record/1095592Sample files- example queries and more information are available through TweetsKB's home page: http://l3s.de/tweetsKB/.,http://l3s.de/tweetsKB/,absent,0.75,[],{},nan,0,2292801662,tweetskb,0.165,0.167,0.168,0.169,0.171,6,6.0,6.0,7.0,7,False,True,[],Could not process formulated query on indicated endpoint.,https://data.gesis.org/tweetskb/sparql,Not provided,1.0,1.0,1.0,32743121,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Pavlos Fafalios; Email:fafalios@l3s.de,Not indicated,Not indicated,Web:http://l3s.de/tweetsKB/ Name:Pavlos Fafalios Email:fafalios@l3s.de,False,not indicated,2015-01-01,2020-06-08,2,838,0.9882 (out of 10000 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,32,28,62.0,69.0,77.0,101,26,48.0,55.0,60.0,75,28,62.25,69.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap,32743121,No regex provided,False,2292796047,True,2020-05-26|743; 2020-06-08|2,1.213,45.77,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-10-02,1,-1,Creative Commons Attribution - cc-by -,True,TweetsKB - A Public and Large-Scale RDF Corpus of Annotated Tweets,TweetsKB is a public RDF corpus of anonymized data for a large collection of annotated tweets. The dataset currently contains data for more than 1.5 billion tweets- spanning almost 5 years (January 2013 - November 2017). Metadata information about the tweets as well as extracted entities- sentiments- hashtags and user mentions are exposed in RDF using established RDF/S vocabularies. For the sake of privacy- we anonymize the usernames and we do not provide the text of the tweets. However- through the tweet IDs- actual tweet content and further information can be fetched.Links to all parts:* Part 1 (Jan 2013 - Feb 2014): https://zenodo.org/record/573852* Part 2 (Mar 2014 - Dec 2014): https://zenodo.org/record/577572* Part 3 (Jan 2015 - Oct 2015): https://zenodo.org/record/579597* Part 4 (Nov 2015 - Aug 2016): https://zenodo.org/record/579601* Part 5 (Sep 2016 - Nov 2017): https://zenodo.org/record/1095592Sample files- example queries and more information are available through TweetsKB's home page: http://l3s.de/tweetsKB/.,http://l3s.de/tweetsKB/,absent,0.75,[],{},nan,0,2292801662,tweetskb,0.159,0.170,0.177,0.181,0.182,6,6.0,6.0,6.0,6,False,True,[],Could not process formulated query on indicated endpoint.,https://data.gesis.org/tweetskb/sparql,Not provided,1.0,1.0,1.0,32743121,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Pavlos Fafalios; Email:fafalios@l3s.de,Not indicated,Not indicated,Web:http://l3s.de/tweetsKB/ Name:Pavlos Fafalios Email:fafalios@l3s.de,False,not indicated,2015-01-01,2020-06-08,2,852,0.9882 (out of 10000 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,32,28,62.0,69.0,77.0,101,26,48.0,55.0,60.0,75,28,62.25,69.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap,32743121,No regex provided,False,2292796047,True,2020-05-26|743; 2020-06-08|2,1.213,45.77,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
2022-10-09,1,-1,Creative Commons Attribution - cc-by -,True,TweetsKB - A Public and Large-Scale RDF Corpus of Annotated Tweets,TweetsKB is a public RDF corpus of anonymized data for a large collection of annotated tweets. The dataset currently contains data for more than 1.5 billion tweets- spanning almost 5 years (January 2013 - November 2017). Metadata information about the tweets as well as extracted entities- sentiments- hashtags and user mentions are exposed in RDF using established RDF/S vocabularies. For the sake of privacy- we anonymize the usernames and we do not provide the text of the tweets. However- through the tweet IDs- actual tweet content and further information can be fetched.Links to all parts:* Part 1 (Jan 2013 - Feb 2014): https://zenodo.org/record/573852* Part 2 (Mar 2014 - Dec 2014): https://zenodo.org/record/577572* Part 3 (Jan 2015 - Oct 2015): https://zenodo.org/record/579597* Part 4 (Nov 2015 - Aug 2016): https://zenodo.org/record/579601* Part 5 (Sep 2016 - Nov 2017): https://zenodo.org/record/1095592Sample files- example queries and more information are available through TweetsKB's home page: http://l3s.de/tweetsKB/.,http://l3s.de/tweetsKB/,absent,0.75,[],{},nan,0,2292801662,tweetskb,0.157,0.164,0.180,0.185,0.197,6,6.0,6.0,6.0,6,False,True,[],Could not process formulated query on indicated endpoint.,https://data.gesis.org/tweetskb/sparql,Not provided,1.0,1.0,1.0,32743121,-,1.0,1.0,1.0,True,1.0,1.0,-,Not indicated,Name: Pavlos Fafalios; Email:fafalios@l3s.de,Not indicated,Not indicated,Web:http://l3s.de/tweetsKB/ Name:Pavlos Fafalios Email:fafalios@l3s.de,False,not indicated,2015-01-01,2020-06-08,2,860,0.9882 (out of 10000 triples considered),1.0 (out of 30 triples considered),0.00,0,Insufficient data,32,28,62.0,69.0,77.0,101,26,48.0,55.0,60.0,75,28,62.25,69.0,77.0,101,No new vocabulary defined,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadStorage; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat; http://www.openlinksw.com/schemas/virtrdf#QuadMap; http://www.openlinksw.com/schemas/virtrdf#QuadMapValue; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapATable; http://www.openlinksw.com/schemas/virtrdf#QuadMapFText; http://www.openlinksw.com/schemas/virtrdf#array-of-string; http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap,32743121,No regex provided,False,2292796047,True,2020-05-26|743; 2020-06-08|2,1.213,45.77,1.0,1.0,True,Could not process formulated query on indicated enpdoint,False
