Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,1,1,https://creativecommons.org/licenses/by-sa/3.0/,False,Unified Foundational Ontology,This dataset contains Unified Foundational Ontology (UFO)- a top-level ontology biased towards conceptual modeling support.  The ontology is represented in OWL.,http://onto.fel.cvut.cz/ontologies/ufo/current/index-en.html,absent,0.75,[],{},nan,0,2507,ufo,0.082,0.083,0.083,0.084,0.086,12,12.0,12.0,12.0,12,False,False,[],en; cs,http://onto.fel.cvut.cz/rdf4j-server/repositories/ufo-current,http://onto.fel.cvut.cz/ontologies/ufo,1.0,1.0,1.0,212,-,1.0,0.9996011168727563,1.0,True,1.0,1.0,-,Not indicated,Name: Petr Křemen; email: petr.kremen@gmail.com,Not indicated,Not indicated,Web:http://onto.fel.cvut.cz/ontologies/ufo/current/index-en.html Name:Petr Křemen Email:petr.kremen@fel.cvut.cz,False,not indicated,-,-,insufficient data,insufficient data,0.9501396090945353 (out of 2507 triples considered),1.0 (out of 1 triples considered),0.00,0,Insufficient data,2,30,45.0,50.0,54.0,78,30,40.0,44.0,47.0,78,34,46.0,49.0,54.0,100,No new vocabulary defined,http://onto.fel.cvut.cz/ontologies/ufo/relational-language,212,No regex provided,True,1560,True,Insufficient data,1.401,44.89,1.0,1.0,False,['https://creativecommons.org/licenses/by-sa/4.0'; 'https://creativecommons.org/licenses/by-sa/4.0'],False
2022-07-31,1,1,https://creativecommons.org/licenses/by-sa/3.0/,False,Unified Foundational Ontology,This dataset contains Unified Foundational Ontology (UFO)- a top-level ontology biased towards conceptual modeling support.  The ontology is represented in OWL.,http://onto.fel.cvut.cz/ontologies/ufo/current/index-en.html,absent,0.75,[],{},nan,0,2507,ufo,0.083,0.084,0.084,0.084,0.086,12,12.0,12.0,12.0,12,False,False,[],en; cs,http://onto.fel.cvut.cz/rdf4j-server/repositories/ufo-current,http://onto.fel.cvut.cz/ontologies/ufo,1.0,1.0,1.0,212,-,1.0,0.9996011168727563,1.0,True,1.0,1.0,-,Not indicated,Name: Petr Křemen; email: petr.kremen@gmail.com,Not indicated,Not indicated,Web:http://onto.fel.cvut.cz/ontologies/ufo/current/index-en.html Name:Petr Křemen Email:petr.kremen@fel.cvut.cz,False,not indicated,-,-,insufficient data,insufficient data,0.9501396090945353 (out of 2507 triples considered),1.0 (out of 1 triples considered),0.00,0,Insufficient data,2,30,45.0,50.0,54.0,78,30,40.0,44.0,47.0,78,34,46.0,49.0,54.0,100,No new vocabulary defined,http://onto.fel.cvut.cz/ontologies/ufo/relational-language,212,No regex provided,True,1560,True,Insufficient data,1.401,0.37,1.0,1.0,False,https://creativecommons.org/licenses/by-sa/4.0,False
2022-08-07,-1,0,False,-,nan,False,absent,absent,0.0,[],{},nan,-,0,ufo,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:absent Name:absent Email:absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.2,0.05,-,-,endpoint absent,endpoint absent,False
2022-08-21,1,1,https://creativecommons.org/licenses/by-sa/3.0/,False,Unified Foundational Ontology,This dataset contains Unified Foundational Ontology (UFO)- a top-level ontology biased towards conceptual modeling support.  The ontology is represented in OWL.,http://onto.fel.cvut.cz/ontologies/ufo/current/index-en.html,absent,0.75,[],{},nan,0,2507,ufo,0.083,0.083,0.084,0.084,0.148,12,12.0,12.0,12.0,12,False,False,[],en; cs,http://onto.fel.cvut.cz/rdf4j-server/repositories/ufo-current,http://onto.fel.cvut.cz/ontologies/ufo,1.0,1.0,1.0,212,-,1.0,0.9996011168727563,1.0,True,1.0,1.0,-,Not indicated,Name: Petr Křemen; email: petr.kremen@gmail.com,Not indicated,Not indicated,Web:http://onto.fel.cvut.cz/ontologies/ufo/current/index-en.html Name:Petr Křemen Email:petr.kremen@fel.cvut.cz,False,not indicated,-,-,insufficient data,insufficient data,0.9501396090945353 (out of 2507 triples considered),1.0 (out of 1 triples considered),0.00,0,Insufficient data,2,30,45.0,50.0,54.0,78,30,40.0,44.0,47.0,78,34,46.0,49.0,54.0,100,No new vocabulary defined,http://onto.fel.cvut.cz/ontologies/ufo/relational-language,212,No regex provided,True,1560,True,Insufficient data,1.351,59.41,1.0,1.0,False,https://creativecommons.org/licenses/by-sa/4.0,False
2022-08-28,1,1,https://creativecommons.org/licenses/by-sa/3.0/,False,Unified Foundational Ontology,This dataset contains Unified Foundational Ontology (UFO)- a top-level ontology biased towards conceptual modeling support.  The ontology is represented in OWL.,http://onto.fel.cvut.cz/ontologies/ufo/current/index-en.html,absent,0.75,[],{},nan,0,2507,ufo,0.082,0.084,0.084,0.085,0.085,12,12.0,12.0,12.0,12,False,False,[],en; cs,http://onto.fel.cvut.cz/rdf4j-server/repositories/ufo-current,http://onto.fel.cvut.cz/ontologies/ufo,1.0,1.0,1.0,212,-,1.0,0.9996011168727563,1.0,True,1.0,1.0,-,Not indicated,Name: Petr Křemen; email: petr.kremen@gmail.com,Not indicated,Not indicated,Web:http://onto.fel.cvut.cz/ontologies/ufo/current/index-en.html Name:Petr Křemen Email:petr.kremen@fel.cvut.cz,False,not indicated,-,-,insufficient data,insufficient data,0.9501396090945353 (out of 2507 triples considered),1.0 (out of 1 triples considered),0.00,0,Insufficient data,2,30,45.0,50.0,54.0,78,30,40.0,44.0,47.0,78,34,46.0,49.0,54.0,100,No new vocabulary defined,http://onto.fel.cvut.cz/ontologies/ufo/relational-language,212,No regex provided,True,1560,True,Insufficient data,1.351,59.41,1.0,1.0,False,https://creativecommons.org/licenses/by-sa/4.0,False
2022-09-04,1,1,https://creativecommons.org/licenses/by-sa/3.0/,False,Unified Foundational Ontology,This dataset contains Unified Foundational Ontology (UFO)- a top-level ontology biased towards conceptual modeling support.  The ontology is represented in OWL.,http://onto.fel.cvut.cz/ontologies/ufo/current/index-en.html,absent,0.75,[],{},nan,0,2507,ufo,0.084,0.084,0.084,0.085,0.087,10,12.0,12.0,12.0,12,False,False,[],en; cs,http://onto.fel.cvut.cz/rdf4j-server/repositories/ufo-current,http://onto.fel.cvut.cz/ontologies/ufo,1.0,1.0,1.0,212,-,1.0,0.9996011168727563,1.0,True,1.0,1.0,-,Not indicated,Name: Petr Křemen; email: petr.kremen@gmail.com,Not indicated,Not indicated,Web:http://onto.fel.cvut.cz/ontologies/ufo/current/index-en.html Name:Petr Křemen Email:petr.kremen@fel.cvut.cz,False,not indicated,-,-,insufficient data,insufficient data,0.9501396090945353 (out of 2507 triples considered),1.0 (out of 1 triples considered),0.00,0,Insufficient data,60,30,45.0,50.0,54.0,78,30,40.0,44.0,47.0,78,34,46.0,49.0,54.0,100,No new vocabulary defined,http://onto.fel.cvut.cz/ontologies/ufo/relational-language,212,No regex provided,True,1560,True,Insufficient data,1.351,0.44,1.0,1.0,False,https://creativecommons.org/licenses/by-sa/4.0,False
2022-09-11,1,1,https://creativecommons.org/licenses/by-sa/3.0/,False,Unified Foundational Ontology,This dataset contains Unified Foundational Ontology (UFO)- a top-level ontology biased towards conceptual modeling support.  The ontology is represented in OWL.,http://onto.fel.cvut.cz/ontologies/ufo/current/index-en.html,absent,0.75,[],{},nan,0,2507,ufo,0.082,0.082,0.082,0.082,0.084,11,12.0,12.0,12.0,12,False,False,[],en; cs,http://onto.fel.cvut.cz/rdf4j-server/repositories/ufo-current,http://onto.fel.cvut.cz/ontologies/ufo,1.0,1.0,1.0,212,-,1.0,0.9996011168727563,1.0,True,1.0,1.0,-,Not indicated,Name: Petr Křemen; email: petr.kremen@gmail.com,Not indicated,Not indicated,Web:http://onto.fel.cvut.cz/ontologies/ufo/current/index-en.html Name:Petr Křemen Email:petr.kremen@fel.cvut.cz,False,not indicated,-,-,insufficient data,insufficient data,0.9501396090945353 (out of 2507 triples considered),1.0 (out of 1 triples considered),0.00,0,Insufficient data,60,30,45.0,50.0,54.0,78,30,40.0,44.0,47.0,78,34,46.0,49.0,54.0,100,No new vocabulary defined,http://onto.fel.cvut.cz/ontologies/ufo/relational-language,212,No regex provided,True,1560,True,Insufficient data,1.351,0.44,1.0,1.0,False,https://creativecommons.org/licenses/by-sa/4.0,False
2022-09-18,1,1,https://creativecommons.org/licenses/by-sa/3.0/,False,Unified Foundational Ontology,This dataset contains Unified Foundational Ontology (UFO)- a top-level ontology biased towards conceptual modeling support.  The ontology is represented in OWL.,http://onto.fel.cvut.cz/ontologies/ufo/current/index-en.html,absent,0.75,[],{},nan,0,2507,ufo,0.082,0.083,0.084,0.085,0.087,11,12.0,12.0,12.0,12,False,False,[],en; cs,http://onto.fel.cvut.cz/rdf4j-server/repositories/ufo-current,http://onto.fel.cvut.cz/ontologies/ufo,1.0,1.0,1.0,212,-,1.0,0.9996011168727563,1.0,True,1.0,1.0,-,Not indicated,Name: Petr Křemen; email: petr.kremen@gmail.com,Not indicated,Not indicated,Web:http://onto.fel.cvut.cz/ontologies/ufo/current/index-en.html Name:Petr Křemen Email:petr.kremen@fel.cvut.cz,False,not indicated,-,-,insufficient data,insufficient data,0.9501396090945353 (out of 2507 triples considered),1.0 (out of 1 triples considered),0.00,0,Insufficient data,60,30,45.0,50.0,54.0,78,30,40.0,44.0,47.0,78,34,46.0,49.0,54.0,100,No new vocabulary defined,http://onto.fel.cvut.cz/ontologies/ufo/relational-language,212,No regex provided,True,1560,True,Insufficient data,1.351,50.98,1.0,1.0,False,https://creativecommons.org/licenses/by-sa/4.0,False
2022-10-02,1,1,https://creativecommons.org/licenses/by-sa/3.0/,False,Unified Foundational Ontology,This dataset contains Unified Foundational Ontology (UFO)- a top-level ontology biased towards conceptual modeling support.  The ontology is represented in OWL.,http://onto.fel.cvut.cz/ontologies/ufo/current/index-en.html,absent,0.75,[],{},nan,0,2507,ufo,0.079,0.079,0.091,0.094,0.106,10,11.0,12.0,12.0,12,False,False,[],en; cs,http://onto.fel.cvut.cz/rdf4j-server/repositories/ufo-current,http://onto.fel.cvut.cz/ontologies/ufo,1.0,1.0,1.0,212,-,1.0,0.9996011168727563,1.0,True,1.0,1.0,-,Not indicated,Name: Petr Křemen; email: petr.kremen@gmail.com,Not indicated,Not indicated,Web:http://onto.fel.cvut.cz/ontologies/ufo/current/index-en.html Name:Petr Křemen Email:petr.kremen@fel.cvut.cz,False,not indicated,-,-,insufficient data,insufficient data,0.9501396090945353 (out of 2507 triples considered),1.0 (out of 1 triples considered),0.00,0,Insufficient data,60,30,45.0,50.0,54.0,78,30,40.0,44.0,47.0,78,34,46.0,49.0,54.0,100,No new vocabulary defined,http://onto.fel.cvut.cz/ontologies/ufo/relational-language,212,No regex provided,True,1560,True,Insufficient data,1.351,50.98,1.0,1.0,False,https://creativecommons.org/licenses/by-sa/4.0,False
2022-10-09,1,1,https://creativecommons.org/licenses/by-sa/3.0/,False,Unified Foundational Ontology,This dataset contains Unified Foundational Ontology (UFO)- a top-level ontology biased towards conceptual modeling support.  The ontology is represented in OWL.,http://onto.fel.cvut.cz/ontologies/ufo/current/index-en.html,absent,0.75,[],{},nan,0,2507,ufo,0.079,0.092,0.094,0.103,0.105,11,11.0,11.0,12.0,12,False,False,[],en; cs,http://onto.fel.cvut.cz/rdf4j-server/repositories/ufo-current,http://onto.fel.cvut.cz/ontologies/ufo,1.0,1.0,1.0,212,-,1.0,0.9996011168727563,1.0,True,1.0,1.0,-,Not indicated,Name: Petr Křemen; email: petr.kremen@gmail.com,Not indicated,Not indicated,Web:http://onto.fel.cvut.cz/ontologies/ufo/current/index-en.html Name:Petr Křemen Email:petr.kremen@fel.cvut.cz,False,not indicated,-,-,insufficient data,insufficient data,0.9501396090945353 (out of 2507 triples considered),1.0 (out of 1 triples considered),0.00,0,Insufficient data,60,30,45.0,50.0,54.0,78,30,40.0,44.0,47.0,78,34,46.0,49.0,54.0,100,No new vocabulary defined,http://onto.fel.cvut.cz/ontologies/ufo/relational-language,212,No regex provided,True,1560,True,Insufficient data,1.351,50.98,1.0,1.0,False,https://creativecommons.org/licenses/by-sa/4.0,False
