Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,-1,0,False,-,vimeo.videoobject,A Vimeo wrapper to create Linked Data from videos,http://rdf.onekin.org/vimeo/videoobject/(video_id),absent,0.75,[],{},nan,-,0,vimeovideoobject_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,http://rdf.onekin.org; Nefe6ea9269c541f9ae5f0a8ed0522fbd; 2022-07-25T14:26:42; Nab527ee84a97479a9222254c9650225b; http://purl.org/net/provenance/ns#CreationGuideline; https://raw.githubusercontent.com/onekin/ldw/master/vimeo/vimeo.videoobject.xml; http://rdf.onekin.org/vimeo/videoobject/(video_id); N8d5b283e00e74845948de6d7c9b414a3; N168178e3e6124a38a403a9f0e78996bd; http://purl.org/net/provenance/ns#DataCreation; ; http://purl.org/net/provenance/ns#DataItem,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,http://rdf.onekin.org; Nefe6ea9269c541f9ae5f0a8ed0522fbd; 2022-07-25T14:26:42; Nab527ee84a97479a9222254c9650225b; http://purl.org/net/provenance/ns#CreationGuideline; https://raw.githubusercontent.com/onekin/ldw/master/vimeo/vimeo.videoobject.xml; http://rdf.onekin.org/vimeo/videoobject/(video_id); N8d5b283e00e74845948de6d7c9b414a3; N168178e3e6124a38a403a9f0e78996bd; http://purl.org/net/provenance/ns#DataCreation; ; http://purl.org/net/provenance/ns#DataItem,absent,absent,Web:http://rdf.onekin.org/vimeo/videoobject/(video_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-07-25,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,http://rdf.onekin.org; Nefe6ea9269c541f9ae5f0a8ed0522fbd; 2022-07-25T14:26:42; Nab527ee84a97479a9222254c9650225b; http://purl.org/net/provenance/ns#CreationGuideline; https://raw.githubusercontent.com/onekin/ldw/master/vimeo/vimeo.videoobject.xml; http://rdf.onekin.org/vimeo/videoobject/(video_id); N8d5b283e00e74845948de6d7c9b414a3; N168178e3e6124a38a403a9f0e78996bd; http://purl.org/net/provenance/ns#DataCreation; ; http://purl.org/net/provenance/ns#DataItem,False,endpoint absent,endpoint absent,insufficient data,1.037,44.84,-,-,endpoint absent,absent,False
2022-07-31,-1,0,False,-,vimeo.videoobject,A Vimeo wrapper to create Linked Data from videos,http://rdf.onekin.org/vimeo/videoobject/(video_id),absent,0.75,[],{},nan,-,0,vimeovideoobject_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/vimeo/videoobject/(video_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.237,0.06,-,-,endpoint absent,endpoint absent,True
2022-08-07,-1,0,False,-,vimeo.videoobject,A Vimeo wrapper to create Linked Data from videos,http://rdf.onekin.org/vimeo/videoobject/(video_id),absent,0.75,[],{},nan,-,0,vimeovideoobject_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/vimeo/videoobject/(video_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.237,0.06,-,-,endpoint absent,endpoint absent,True
2022-08-21,-1,0,False,-,vimeo.videoobject,A Vimeo wrapper to create Linked Data from videos,http://rdf.onekin.org/vimeo/videoobject/(video_id),absent,0.75,[],{},nan,-,0,vimeovideoobject_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/vimeo/videoobject/(video_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.237,10.42,-,-,endpoint absent,endpoint absent,True
2022-08-28,-1,0,False,-,vimeo.videoobject,A Vimeo wrapper to create Linked Data from videos,http://rdf.onekin.org/vimeo/videoobject/(video_id),absent,0.75,[],{},nan,-,0,vimeovideoobject_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,http://purl.org/net/provenance/ns#CreationGuideline; http://rdf.onekin.org; N0d8f3059eb0143a297e0e77092c0026b; https://raw.githubusercontent.com/onekin/ldw/master/vimeo/vimeo.videoobject.xml; http://rdf.onekin.org/vimeo/videoobject/(video_id); ; N6245a456d7404a89a0fc7d2d2bf75b86; N12405519d8824d3f9ec2d47bad3dc86c; 2022-09-03T19:02:15; http://purl.org/net/provenance/ns#DataItem; N4ec23552d757482499d7202d9e97a1a6; http://purl.org/net/provenance/ns#DataCreation,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,http://purl.org/net/provenance/ns#CreationGuideline; http://rdf.onekin.org; N0d8f3059eb0143a297e0e77092c0026b; https://raw.githubusercontent.com/onekin/ldw/master/vimeo/vimeo.videoobject.xml; http://rdf.onekin.org/vimeo/videoobject/(video_id); ; N6245a456d7404a89a0fc7d2d2bf75b86; N12405519d8824d3f9ec2d47bad3dc86c; 2022-09-03T19:02:15; http://purl.org/net/provenance/ns#DataItem; N4ec23552d757482499d7202d9e97a1a6; http://purl.org/net/provenance/ns#DataCreation,absent,absent,Web:http://rdf.onekin.org/vimeo/videoobject/(video_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-09-03,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,http://purl.org/net/provenance/ns#CreationGuideline; http://rdf.onekin.org; N0d8f3059eb0143a297e0e77092c0026b; https://raw.githubusercontent.com/onekin/ldw/master/vimeo/vimeo.videoobject.xml; http://rdf.onekin.org/vimeo/videoobject/(video_id); ; N6245a456d7404a89a0fc7d2d2bf75b86; N12405519d8824d3f9ec2d47bad3dc86c; 2022-09-03T19:02:15; http://purl.org/net/provenance/ns#DataItem; N4ec23552d757482499d7202d9e97a1a6; http://purl.org/net/provenance/ns#DataCreation,False,endpoint absent,endpoint absent,insufficient data,0.487,21.42,-,-,endpoint absent,absent,False
2022-09-04,-1,-1,False,-,vimeo.videoobject,A Vimeo wrapper to create Linked Data from videos,http://rdf.onekin.org/vimeo/videoobject/(video_id),absent,0.75,[],{},nan,-,0,vimeovideoobject_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,https://raw.githubusercontent.com/onekin/ldw/master/vimeo/vimeo.videoobject.xml; Nc4d257e010374c0e8b562bf2b366660b; N7309f6b789c44e8dbaa9c04a05543b40; http://rdf.onekin.org; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataCreation; http://rdf.onekin.org/vimeo/videoobject/(video_id); N7cb334d323f84f4e840a63ff753664b9; http://purl.org/net/provenance/ns#DataItem; ; N0c6c2e98c8c24689bf76c8adbe31ff6a; 2022-09-11T05:53:35,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,https://raw.githubusercontent.com/onekin/ldw/master/vimeo/vimeo.videoobject.xml; Nc4d257e010374c0e8b562bf2b366660b; N7309f6b789c44e8dbaa9c04a05543b40; http://rdf.onekin.org; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataCreation; http://rdf.onekin.org/vimeo/videoobject/(video_id); N7cb334d323f84f4e840a63ff753664b9; http://purl.org/net/provenance/ns#DataItem; ; N0c6c2e98c8c24689bf76c8adbe31ff6a; 2022-09-11T05:53:35,absent,absent,Web:http://rdf.onekin.org/vimeo/videoobject/(video_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-09-11,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,https://raw.githubusercontent.com/onekin/ldw/master/vimeo/vimeo.videoobject.xml; Nc4d257e010374c0e8b562bf2b366660b; N7309f6b789c44e8dbaa9c04a05543b40; http://rdf.onekin.org; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataCreation; http://rdf.onekin.org/vimeo/videoobject/(video_id); N7cb334d323f84f4e840a63ff753664b9; http://purl.org/net/provenance/ns#DataItem; ; N0c6c2e98c8c24689bf76c8adbe31ff6a; 2022-09-11T05:53:35,False,endpoint absent,endpoint absent,insufficient data,0.487,0.16,-,-,endpoint absent,absent,False
2022-09-11,-1,-1,False,-,vimeo.videoobject,A Vimeo wrapper to create Linked Data from videos,http://rdf.onekin.org/vimeo/videoobject/(video_id),absent,0.75,[],{},nan,-,0,vimeovideoobject_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,https://raw.githubusercontent.com/onekin/ldw/master/vimeo/vimeo.videoobject.xml; http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataCreation; N66b4ed07ad7747e9b70b92baa8267e1d; Nce3ace7df4f74afb94b0d1b6b09e6733; http://rdf.onekin.org/vimeo/videoobject/(video_id); http://purl.org/net/provenance/ns#CreationGuideline; ; N40a0457e9d5e4d229d5a544dc3381606; http://purl.org/net/provenance/ns#DataItem; 2022-09-17T15:59:52; N27bcd91d749e4e368fbf8bf93413da30,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,https://raw.githubusercontent.com/onekin/ldw/master/vimeo/vimeo.videoobject.xml; http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataCreation; N66b4ed07ad7747e9b70b92baa8267e1d; Nce3ace7df4f74afb94b0d1b6b09e6733; http://rdf.onekin.org/vimeo/videoobject/(video_id); http://purl.org/net/provenance/ns#CreationGuideline; ; N40a0457e9d5e4d229d5a544dc3381606; http://purl.org/net/provenance/ns#DataItem; 2022-09-17T15:59:52; N27bcd91d749e4e368fbf8bf93413da30,absent,absent,Web:http://rdf.onekin.org/vimeo/videoobject/(video_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-09-17,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,https://raw.githubusercontent.com/onekin/ldw/master/vimeo/vimeo.videoobject.xml; http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataCreation; N66b4ed07ad7747e9b70b92baa8267e1d; Nce3ace7df4f74afb94b0d1b6b09e6733; http://rdf.onekin.org/vimeo/videoobject/(video_id); http://purl.org/net/provenance/ns#CreationGuideline; ; N40a0457e9d5e4d229d5a544dc3381606; http://purl.org/net/provenance/ns#DataItem; 2022-09-17T15:59:52; N27bcd91d749e4e368fbf8bf93413da30,False,endpoint absent,endpoint absent,insufficient data,0.487,0.16,-,-,endpoint absent,absent,False
2022-09-18,-1,-1,False,-,vimeo.videoobject,A Vimeo wrapper to create Linked Data from videos,http://rdf.onekin.org/vimeo/videoobject/(video_id),absent,0.75,[],{},nan,-,0,vimeovideoobject_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,http://purl.org/net/provenance/ns#DataItem; ; N0c8c7cb190534653a754cacff1a16b09; http://purl.org/net/provenance/ns#DataCreation; Ncc0ef68f8a5746cc9bee739b698c77f3; http://rdf.onekin.org; N9eaf935bc2a74401bbd920138c1895d6; 2022-09-24T15:01:28; N7c107e9805464f2e8acb28f6b2c7eef1; http://purl.org/net/provenance/ns#CreationGuideline; http://rdf.onekin.org/vimeo/videoobject/(video_id); https://raw.githubusercontent.com/onekin/ldw/master/vimeo/vimeo.videoobject.xml,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,http://purl.org/net/provenance/ns#DataItem; ; N0c8c7cb190534653a754cacff1a16b09; http://purl.org/net/provenance/ns#DataCreation; Ncc0ef68f8a5746cc9bee739b698c77f3; http://rdf.onekin.org; N9eaf935bc2a74401bbd920138c1895d6; 2022-09-24T15:01:28; N7c107e9805464f2e8acb28f6b2c7eef1; http://purl.org/net/provenance/ns#CreationGuideline; http://rdf.onekin.org/vimeo/videoobject/(video_id); https://raw.githubusercontent.com/onekin/ldw/master/vimeo/vimeo.videoobject.xml,absent,absent,Web:http://rdf.onekin.org/vimeo/videoobject/(video_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-09-24,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,http://purl.org/net/provenance/ns#DataItem; ; N0c8c7cb190534653a754cacff1a16b09; http://purl.org/net/provenance/ns#DataCreation; Ncc0ef68f8a5746cc9bee739b698c77f3; http://rdf.onekin.org; N9eaf935bc2a74401bbd920138c1895d6; 2022-09-24T15:01:28; N7c107e9805464f2e8acb28f6b2c7eef1; http://purl.org/net/provenance/ns#CreationGuideline; http://rdf.onekin.org/vimeo/videoobject/(video_id); https://raw.githubusercontent.com/onekin/ldw/master/vimeo/vimeo.videoobject.xml,False,endpoint absent,endpoint absent,insufficient data,0.487,18.38,-,-,endpoint absent,absent,False
2022-10-02,-1,-1,False,-,vimeo.videoobject,A Vimeo wrapper to create Linked Data from videos,http://rdf.onekin.org/vimeo/videoobject/(video_id),absent,0.75,[],{},nan,-,0,vimeovideoobject_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,http://rdf.onekin.org/vimeo/videoobject/(video_id); 2022-10-08T16:34:46; N91c148875447453888812713229cd5c9; N5d1195abfb8a40f5b34724aac96d2daf; https://raw.githubusercontent.com/onekin/ldw/master/vimeo/vimeo.videoobject.xml; Nf6ba1ec3a1b642fcad99f5ea5dca67f0; ; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataItem; Nc5ed7c67193c464ba135aebd7c34ec54; http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataCreation,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,http://rdf.onekin.org/vimeo/videoobject/(video_id); 2022-10-08T16:34:46; N91c148875447453888812713229cd5c9; N5d1195abfb8a40f5b34724aac96d2daf; https://raw.githubusercontent.com/onekin/ldw/master/vimeo/vimeo.videoobject.xml; Nf6ba1ec3a1b642fcad99f5ea5dca67f0; ; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataItem; Nc5ed7c67193c464ba135aebd7c34ec54; http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataCreation,absent,absent,Web:http://rdf.onekin.org/vimeo/videoobject/(video_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-10-08,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,http://rdf.onekin.org/vimeo/videoobject/(video_id); 2022-10-08T16:34:46; N91c148875447453888812713229cd5c9; N5d1195abfb8a40f5b34724aac96d2daf; https://raw.githubusercontent.com/onekin/ldw/master/vimeo/vimeo.videoobject.xml; Nf6ba1ec3a1b642fcad99f5ea5dca67f0; ; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataItem; Nc5ed7c67193c464ba135aebd7c34ec54; http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataCreation,False,endpoint absent,endpoint absent,insufficient data,0.487,18.38,-,-,endpoint absent,absent,False
2022-10-09,-1,-1,False,-,vimeo.videoobject,A Vimeo wrapper to create Linked Data from videos,http://rdf.onekin.org/vimeo/videoobject/(video_id),absent,0.75,[],{},nan,-,0,vimeovideoobject_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,http://purl.org/net/provenance/ns#DataCreation; N39e80ba272e347b995a0b603f60d7e9b; https://raw.githubusercontent.com/onekin/ldw/master/vimeo/vimeo.videoobject.xml; ; N452866257ba94aa1979685d9ec5a6bdb; Nd8f1eab212cb489babd598a90ee752fb; http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataItem; 2022-10-16T09:37:26; N39742adb706a45ae84922da1109f8e00; http://purl.org/net/provenance/ns#CreationGuideline; http://rdf.onekin.org/vimeo/videoobject/(video_id),endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,http://purl.org/net/provenance/ns#DataCreation; N39e80ba272e347b995a0b603f60d7e9b; https://raw.githubusercontent.com/onekin/ldw/master/vimeo/vimeo.videoobject.xml; ; N452866257ba94aa1979685d9ec5a6bdb; Nd8f1eab212cb489babd598a90ee752fb; http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataItem; 2022-10-16T09:37:26; N39742adb706a45ae84922da1109f8e00; http://purl.org/net/provenance/ns#CreationGuideline; http://rdf.onekin.org/vimeo/videoobject/(video_id),absent,absent,Web:http://rdf.onekin.org/vimeo/videoobject/(video_id) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-10-16,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,http://purl.org/net/provenance/ns#DataCreation; N39e80ba272e347b995a0b603f60d7e9b; https://raw.githubusercontent.com/onekin/ldw/master/vimeo/vimeo.videoobject.xml; ; N452866257ba94aa1979685d9ec5a6bdb; Nd8f1eab212cb489babd598a90ee752fb; http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataItem; 2022-10-16T09:37:26; N39742adb706a45ae84922da1109f8e00; http://purl.org/net/provenance/ns#CreationGuideline; http://rdf.onekin.org/vimeo/videoobject/(video_id),False,endpoint absent,endpoint absent,insufficient data,0.487,18.38,-,-,endpoint absent,absent,False
