Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,-1,0,False,-,wunderground.weatherreport,Wunderground LDW for locations weather reports creating  km4c:WeatherReport LD descriptions.,http://rdf.onekin.org/wunderground/weatherreport/(location),absent,0.75,[],{},nan,-,0,wundergroundweatherreport_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,http://purl.org/net/provenance/ns#CreationGuideline; Nd88d2f85473e48788c220973f6ce68f0; N8b110dc1ca534fe5855c8bd05463403a; 2022-07-25T17:16:37; http://purl.org/net/provenance/ns#DataItem; https://raw.githubusercontent.com/onekin/ldw/master/wunderground/wunderground.weatherreport.xml; http://purl.org/net/provenance/ns#DataCreation; Nde49844c4ec646ed9c1980452918b8fc; N7a1a996950b34b6da0cca81647b627c5; http://rdf.onekin.org; http://rdf.onekin.org/wunderground/weatherreport/(location); ,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,http://purl.org/net/provenance/ns#CreationGuideline; Nd88d2f85473e48788c220973f6ce68f0; N8b110dc1ca534fe5855c8bd05463403a; 2022-07-25T17:16:37; http://purl.org/net/provenance/ns#DataItem; https://raw.githubusercontent.com/onekin/ldw/master/wunderground/wunderground.weatherreport.xml; http://purl.org/net/provenance/ns#DataCreation; Nde49844c4ec646ed9c1980452918b8fc; N7a1a996950b34b6da0cca81647b627c5; http://rdf.onekin.org; http://rdf.onekin.org/wunderground/weatherreport/(location); ,absent,absent,Web:http://rdf.onekin.org/wunderground/weatherreport/(location) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-07-25,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,http://purl.org/net/provenance/ns#CreationGuideline; Nd88d2f85473e48788c220973f6ce68f0; N8b110dc1ca534fe5855c8bd05463403a; 2022-07-25T17:16:37; http://purl.org/net/provenance/ns#DataItem; https://raw.githubusercontent.com/onekin/ldw/master/wunderground/wunderground.weatherreport.xml; http://purl.org/net/provenance/ns#DataCreation; Nde49844c4ec646ed9c1980452918b8fc; N7a1a996950b34b6da0cca81647b627c5; http://rdf.onekin.org; http://rdf.onekin.org/wunderground/weatherreport/(location); ,False,endpoint absent,endpoint absent,insufficient data,1.037,44.84,-,-,endpoint absent,absent,False
2022-07-31,-1,0,False,-,wunderground.weatherreport,Wunderground LDW for locations weather reports creating  km4c:WeatherReport LD descriptions.,http://rdf.onekin.org/wunderground/weatherreport/(location),absent,0.75,[],{},nan,-,0,wundergroundweatherreport_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/wunderground/weatherreport/(location) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.237,0.06,-,-,endpoint absent,endpoint absent,True
2022-08-07,-1,0,False,-,wunderground.weatherreport,Wunderground LDW for locations weather reports creating  km4c:WeatherReport LD descriptions.,http://rdf.onekin.org/wunderground/weatherreport/(location),absent,0.75,[],{},nan,-,0,wundergroundweatherreport_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/wunderground/weatherreport/(location) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.237,0.06,-,-,endpoint absent,endpoint absent,True
2022-08-21,-1,0,False,-,wunderground.weatherreport,Wunderground LDW for locations weather reports creating  km4c:WeatherReport LD descriptions.,http://rdf.onekin.org/wunderground/weatherreport/(location),absent,0.75,[],{},nan,-,0,wundergroundweatherreport_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://rdf.onekin.org/wunderground/weatherreport/(location) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.237,10.42,-,-,endpoint absent,endpoint absent,True
2022-08-28,-1,0,False,-,wunderground.weatherreport,Wunderground LDW for locations weather reports creating  km4c:WeatherReport LD descriptions.,http://rdf.onekin.org/wunderground/weatherreport/(location),absent,0.75,[],{},nan,-,0,wundergroundweatherreport_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,http://rdf.onekin.org; N738f5e3c61654749bb1de6b4e03fa626; ; http://purl.org/net/provenance/ns#CreationGuideline; Nf64ff9ac6d414f8791da771c3071da76; http://purl.org/net/provenance/ns#DataItem; https://raw.githubusercontent.com/onekin/ldw/master/wunderground/wunderground.weatherreport.xml; http://rdf.onekin.org/wunderground/weatherreport/(location); N29aa959023384dd5ab78b9c590757cee; 2022-09-03T22:12:34; Nb0ea606c50fa4e8fb3c3cf14b22e621c; http://purl.org/net/provenance/ns#DataCreation,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,http://rdf.onekin.org; N738f5e3c61654749bb1de6b4e03fa626; ; http://purl.org/net/provenance/ns#CreationGuideline; Nf64ff9ac6d414f8791da771c3071da76; http://purl.org/net/provenance/ns#DataItem; https://raw.githubusercontent.com/onekin/ldw/master/wunderground/wunderground.weatherreport.xml; http://rdf.onekin.org/wunderground/weatherreport/(location); N29aa959023384dd5ab78b9c590757cee; 2022-09-03T22:12:34; Nb0ea606c50fa4e8fb3c3cf14b22e621c; http://purl.org/net/provenance/ns#DataCreation,absent,absent,Web:http://rdf.onekin.org/wunderground/weatherreport/(location) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-09-03,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,http://rdf.onekin.org; N738f5e3c61654749bb1de6b4e03fa626; ; http://purl.org/net/provenance/ns#CreationGuideline; Nf64ff9ac6d414f8791da771c3071da76; http://purl.org/net/provenance/ns#DataItem; https://raw.githubusercontent.com/onekin/ldw/master/wunderground/wunderground.weatherreport.xml; http://rdf.onekin.org/wunderground/weatherreport/(location); N29aa959023384dd5ab78b9c590757cee; 2022-09-03T22:12:34; Nb0ea606c50fa4e8fb3c3cf14b22e621c; http://purl.org/net/provenance/ns#DataCreation,False,endpoint absent,endpoint absent,insufficient data,0.487,21.42,-,-,endpoint absent,absent,False
2022-09-04,-1,-1,False,-,wunderground.weatherreport,Wunderground LDW for locations weather reports creating  km4c:WeatherReport LD descriptions.,http://rdf.onekin.org/wunderground/weatherreport/(location),absent,0.75,[],{},nan,-,0,wundergroundweatherreport_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,Na7e96a9af81a4acfa63ab526af90ec4a; https://raw.githubusercontent.com/onekin/ldw/master/wunderground/wunderground.weatherreport.xml; Nb898bf6ae96e41848a78e247945ab384; http://purl.org/net/provenance/ns#CreationGuideline; N56804c47385343e9bea6f36ded6d2071; ; http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataCreation; 2022-09-11T09:10:28; http://purl.org/net/provenance/ns#DataItem; http://rdf.onekin.org/wunderground/weatherreport/(location); Ne72b13f9b54e4b169449a96b8ec344a7,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,Na7e96a9af81a4acfa63ab526af90ec4a; https://raw.githubusercontent.com/onekin/ldw/master/wunderground/wunderground.weatherreport.xml; Nb898bf6ae96e41848a78e247945ab384; http://purl.org/net/provenance/ns#CreationGuideline; N56804c47385343e9bea6f36ded6d2071; ; http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataCreation; 2022-09-11T09:10:28; http://purl.org/net/provenance/ns#DataItem; http://rdf.onekin.org/wunderground/weatherreport/(location); Ne72b13f9b54e4b169449a96b8ec344a7,absent,absent,Web:http://rdf.onekin.org/wunderground/weatherreport/(location) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-09-11,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,Na7e96a9af81a4acfa63ab526af90ec4a; https://raw.githubusercontent.com/onekin/ldw/master/wunderground/wunderground.weatherreport.xml; Nb898bf6ae96e41848a78e247945ab384; http://purl.org/net/provenance/ns#CreationGuideline; N56804c47385343e9bea6f36ded6d2071; ; http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataCreation; 2022-09-11T09:10:28; http://purl.org/net/provenance/ns#DataItem; http://rdf.onekin.org/wunderground/weatherreport/(location); Ne72b13f9b54e4b169449a96b8ec344a7,False,endpoint absent,endpoint absent,insufficient data,0.487,0.16,-,-,endpoint absent,absent,False
2022-09-11,-1,-1,False,-,wunderground.weatherreport,Wunderground LDW for locations weather reports creating  km4c:WeatherReport LD descriptions.,http://rdf.onekin.org/wunderground/weatherreport/(location),absent,0.75,[],{},nan,-,0,wundergroundweatherreport_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,http://purl.org/net/provenance/ns#CreationGuideline; N3161a70e4c364da0b5281d3a2e974ba7; N6626c1b4482f46cd9855885929739d35; http://rdf.onekin.org/wunderground/weatherreport/(location); 2022-09-17T19:40:44; https://raw.githubusercontent.com/onekin/ldw/master/wunderground/wunderground.weatherreport.xml; N3189fc88bebc45d5a97f5534f2baa414; Nece21ba408c1429c9d7dfa3234440313; http://purl.org/net/provenance/ns#DataCreation; http://rdf.onekin.org; ; http://purl.org/net/provenance/ns#DataItem,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,http://purl.org/net/provenance/ns#CreationGuideline; N3161a70e4c364da0b5281d3a2e974ba7; N6626c1b4482f46cd9855885929739d35; http://rdf.onekin.org/wunderground/weatherreport/(location); 2022-09-17T19:40:44; https://raw.githubusercontent.com/onekin/ldw/master/wunderground/wunderground.weatherreport.xml; N3189fc88bebc45d5a97f5534f2baa414; Nece21ba408c1429c9d7dfa3234440313; http://purl.org/net/provenance/ns#DataCreation; http://rdf.onekin.org; ; http://purl.org/net/provenance/ns#DataItem,absent,absent,Web:http://rdf.onekin.org/wunderground/weatherreport/(location) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-09-17,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,http://purl.org/net/provenance/ns#CreationGuideline; N3161a70e4c364da0b5281d3a2e974ba7; N6626c1b4482f46cd9855885929739d35; http://rdf.onekin.org/wunderground/weatherreport/(location); 2022-09-17T19:40:44; https://raw.githubusercontent.com/onekin/ldw/master/wunderground/wunderground.weatherreport.xml; N3189fc88bebc45d5a97f5534f2baa414; Nece21ba408c1429c9d7dfa3234440313; http://purl.org/net/provenance/ns#DataCreation; http://rdf.onekin.org; ; http://purl.org/net/provenance/ns#DataItem,False,endpoint absent,endpoint absent,insufficient data,0.487,0.16,-,-,endpoint absent,absent,False
2022-09-18,-1,-1,False,-,wunderground.weatherreport,Wunderground LDW for locations weather reports creating  km4c:WeatherReport LD descriptions.,http://rdf.onekin.org/wunderground/weatherreport/(location),absent,0.75,[],{},nan,-,0,wundergroundweatherreport_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,http://purl.org/net/provenance/ns#DataCreation; Na60ff2601fb3419685277a048b8f41dd; http://purl.org/net/provenance/ns#CreationGuideline; 2022-09-24T18:12:49; https://raw.githubusercontent.com/onekin/ldw/master/wunderground/wunderground.weatherreport.xml; N1119e4ea50fa4dec812aaa3b43db93f3; http://rdf.onekin.org/wunderground/weatherreport/(location); N75d9409e905b48f0b14ee5c3b614a15d; ; http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataItem; Nde4797450b9a4dfbb0f2d5fc8d34db7e,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,http://purl.org/net/provenance/ns#DataCreation; Na60ff2601fb3419685277a048b8f41dd; http://purl.org/net/provenance/ns#CreationGuideline; 2022-09-24T18:12:49; https://raw.githubusercontent.com/onekin/ldw/master/wunderground/wunderground.weatherreport.xml; N1119e4ea50fa4dec812aaa3b43db93f3; http://rdf.onekin.org/wunderground/weatherreport/(location); N75d9409e905b48f0b14ee5c3b614a15d; ; http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataItem; Nde4797450b9a4dfbb0f2d5fc8d34db7e,absent,absent,Web:http://rdf.onekin.org/wunderground/weatherreport/(location) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-09-24,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,http://purl.org/net/provenance/ns#DataCreation; Na60ff2601fb3419685277a048b8f41dd; http://purl.org/net/provenance/ns#CreationGuideline; 2022-09-24T18:12:49; https://raw.githubusercontent.com/onekin/ldw/master/wunderground/wunderground.weatherreport.xml; N1119e4ea50fa4dec812aaa3b43db93f3; http://rdf.onekin.org/wunderground/weatherreport/(location); N75d9409e905b48f0b14ee5c3b614a15d; ; http://rdf.onekin.org; http://purl.org/net/provenance/ns#DataItem; Nde4797450b9a4dfbb0f2d5fc8d34db7e,False,endpoint absent,endpoint absent,insufficient data,0.487,18.38,-,-,endpoint absent,absent,False
2022-10-02,-1,-1,False,-,wunderground.weatherreport,Wunderground LDW for locations weather reports creating  km4c:WeatherReport LD descriptions.,http://rdf.onekin.org/wunderground/weatherreport/(location),absent,0.75,[],{},nan,-,0,wundergroundweatherreport_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,http://rdf.onekin.org; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataCreation; Nabd1996a42e94af8b297c13a8ca588f0; ; N13eb8ff62a0f466b957948d92937c4d5; Na6c32e82179744b8907be45948c284da; http://rdf.onekin.org/wunderground/weatherreport/(location); https://raw.githubusercontent.com/onekin/ldw/master/wunderground/wunderground.weatherreport.xml; N8e5fcbf855614b049ed3421349c76f0a; 2022-10-08T19:51:55; http://purl.org/net/provenance/ns#DataItem,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,http://rdf.onekin.org; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataCreation; Nabd1996a42e94af8b297c13a8ca588f0; ; N13eb8ff62a0f466b957948d92937c4d5; Na6c32e82179744b8907be45948c284da; http://rdf.onekin.org/wunderground/weatherreport/(location); https://raw.githubusercontent.com/onekin/ldw/master/wunderground/wunderground.weatherreport.xml; N8e5fcbf855614b049ed3421349c76f0a; 2022-10-08T19:51:55; http://purl.org/net/provenance/ns#DataItem,absent,absent,Web:http://rdf.onekin.org/wunderground/weatherreport/(location) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-10-08,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,http://rdf.onekin.org; http://purl.org/net/provenance/ns#CreationGuideline; http://purl.org/net/provenance/ns#DataCreation; Nabd1996a42e94af8b297c13a8ca588f0; ; N13eb8ff62a0f466b957948d92937c4d5; Na6c32e82179744b8907be45948c284da; http://rdf.onekin.org/wunderground/weatherreport/(location); https://raw.githubusercontent.com/onekin/ldw/master/wunderground/wunderground.weatherreport.xml; N8e5fcbf855614b049ed3421349c76f0a; 2022-10-08T19:51:55; http://purl.org/net/provenance/ns#DataItem,False,endpoint absent,endpoint absent,insufficient data,0.487,18.38,-,-,endpoint absent,absent,False
2022-10-09,-1,-1,False,-,wunderground.weatherreport,Wunderground LDW for locations weather reports creating  km4c:WeatherReport LD descriptions.,http://rdf.onekin.org/wunderground/weatherreport/(location),absent,0.75,[],{},nan,-,0,wundergroundweatherreport_,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,Nabd01da7a9af489c93f0cdb922b1297b; http://purl.org/net/provenance/ns#DataCreation; ; 2022-10-16T13:12:12; http://purl.org/net/provenance/ns#CreationGuideline; https://raw.githubusercontent.com/onekin/ldw/master/wunderground/wunderground.weatherreport.xml; Nc3a1deeda0a64b25aa7a2c24e1208139; http://rdf.onekin.org; Nfbf12d6dda18431b8891ec91bc15e8ec; http://rdf.onekin.org/wunderground/weatherreport/(location); N34b7a78bf8664c3682306a36c4908022; http://purl.org/net/provenance/ns#DataItem,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,-,Not indicated,Nabd01da7a9af489c93f0cdb922b1297b; http://purl.org/net/provenance/ns#DataCreation; ; 2022-10-16T13:12:12; http://purl.org/net/provenance/ns#CreationGuideline; https://raw.githubusercontent.com/onekin/ldw/master/wunderground/wunderground.weatherreport.xml; Nc3a1deeda0a64b25aa7a2c24e1208139; http://rdf.onekin.org; Nfbf12d6dda18431b8891ec91bc15e8ec; http://rdf.onekin.org/wunderground/weatherreport/(location); N34b7a78bf8664c3682306a36c4908022; http://purl.org/net/provenance/ns#DataItem,absent,absent,Web:http://rdf.onekin.org/wunderground/weatherreport/(location) Name:Onekin Research Group Email:iker.azpeitia@ehu.eus,endpoint absent,absent,2022-10-16,Not indicated,insufficient data,insufficient data,endpoint absent,endpoint absent,0,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,No new vocabulary defined,endpoint absent,endpoint absent,Nabd01da7a9af489c93f0cdb922b1297b; http://purl.org/net/provenance/ns#DataCreation; ; 2022-10-16T13:12:12; http://purl.org/net/provenance/ns#CreationGuideline; https://raw.githubusercontent.com/onekin/ldw/master/wunderground/wunderground.weatherreport.xml; Nc3a1deeda0a64b25aa7a2c24e1208139; http://rdf.onekin.org; Nfbf12d6dda18431b8891ec91bc15e8ec; http://rdf.onekin.org/wunderground/weatherreport/(location); N34b7a78bf8664c3682306a36c4908022; http://purl.org/net/provenance/ns#DataItem,False,endpoint absent,endpoint absent,insufficient data,0.487,18.38,-,-,endpoint absent,absent,False
